,company_name,Series,Total_Likes,Total_Retweets,Series_Amount,Market,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled,Series_Amount_scaled
0,1stdibs,_Series_C,230,134,15000000,Semiconductors,213,13,7,1.86384976526,1.52112676056,0.957746478873,1.0985915493,130.516431925,0.934272300469,1.09389671362,0.840375586854,0.43661971831,0.145539906103,5.78019212124,7.00981620677,1.087275716,1.88205224381,38.451463677,1.0795697348,1.87601804529,0.458529077456,0.515762698639,0.353475085928,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0382897457317,0.0688502558554,0.010989010989,0.0824175824176,5.49049884802,14.6395063909,5.6046206515,2.91982144309,2.16675294208,0.277494716461,0.444905357812,0.514836553161,0.459288771466,11.3520093339,0.497760466566,0.451868232316,0.811683964292,0.130783730916,0.075215248823,0.616412322038,0.975504855303,0.571855098278,1.16629710504,1.64328459958,0.567139861153,1.19873217803,1.31142155169,0.412411102615,0.242416030856,0.0,0.0,0.0,0.0,0.0,0.0,0.0110273414825,0.0,0.0,0.0,0.0,0.0,0.146929698991,0.0,0.0238059767192,0.0419622655682,0.00940574431735,0.0557600289517,16.5235607591
2,365Scores,_Series_B,15,23,5500000,Apps,163,1,1,0.0920245398773,0.141104294479,0.58282208589,1.51533742331,181.895705521,0.552147239264,1.49079754601,0.914110429448,0.184049079755,0.0490797546012,0.348006952373,0.656188965307,0.822642166934,1.11308617916,43.445668283,0.771029248241,1.09074726995,0.302229840716,0.388718435719,0.216700310254,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.019701216988,0.0468359952723,0.00632911392405,0.00632911392405,2.78503133811,6.24942843091,5.31511622771,0.711572489145,0.702672319005,0.0757175357352,0.117217884162,0.381770098687,0.515317819673,12.9136901856,0.363213212004,0.503920595111,0.880747160058,0.098722058507,0.0382615561461,0.239490970306,0.410240746976,0.487835488379,0.800977427139,1.6605238561,0.467299475346,0.805123958504,0.608540961727,0.326192207955,0.169517570797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533597490953,0.0,0.0,0.015238094332,0.0330286840757,0.00577990178625,0.00612482231293,15.5202586502
3,36Kr,_Series_C,58,21,20000,Startups,173,83,43,1.31213872832,0.393063583815,0.364161849711,0.520231213873,149.664739884,0.28901734104,0.42774566474,0.630057803468,0.0231213872832,0.0,12.9361456169,2.76109987806,0.792617841977,1.00919951801,85.5697918237,0.68006981921,0.896851147877,0.518964193224,0.150725270849,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0363639511363,0.0585894326568,0.0515463917526,0.0773195876289,4.10448674766,5.95719943505,5.37940141558,5.26037091466,4.07999604762,0.269587905115,0.248309805939,0.27371686168,0.316081199204,11.9765098821,0.227012208148,0.277611206045,0.613061445549,0.0211109213828,0.0,0.639419853666,0.794741355758,0.476968717801,0.743542579226,1.73957355345,0.431885120501,0.69073629938,1.69423206222,0.139991261788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146929698991,0.0,0.0231021310731,0.0381690806534,0.0268710945244,0.0534754192969,9.90348755254
4,6fusion,_Series_B,2,28,7000000,Hardware + Software,177,251,131,0.0112994350282,0.158192090395,0.593220338983,0.468926553672,108.621468927,0.564971751412,0.463276836158,0.576271186441,0.38418079096,0.0508474576271,0.105996385282,0.462027531825,0.894147208005,0.783636250428,32.6341321613,0.896656747625,0.776103684187,0.539467008549,0.487780841103,0.220309349673,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0214153612591,0.0378369364046,0.0,0.0,1.10056234311,6.91996948844,5.40410291351,6.85986100717,5.38263878658,0.0110171211189,0.128724669321,0.386229192453,0.296624847618,10.55533744,0.368736648929,0.291959057977,0.561849477387,0.127480385463,0.039307151623,0.0933356795882,0.324586448111,0.512519495473,0.60993003202,1.61848239415,0.511339303865,0.614897876297,1.84114493716,0.394084435449,0.171708517282,0.0,0.0,0.0,0.0,0.0,0.0102396741322,0.0,0.0,0.0,0.0,0.0,0.533597490953,0.0,0.0,0.0162183154243,0.0284138539319,0.0,0.0,15.761420707
5,6sense,_Series_A,42,43,12000000,Invest Online,215,47,24,0.195348837209,0.241860465116,0.646511627907,0.497674418605,104.497674419,0.595348837209,0.451162790698,0.181395348837,0.102325581395,0.0,0.554486159528,1.06653262941,0.782802548841,1.16760966226,74.4572181257,0.748192054025,1.06612498019,0.386244689014,0.303783287929,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0327869010184,0.0705234405094,0.0162162162162,0.113513513514,3.78412232104,8.58213942261,5.61476331484,4.49513380662,3.43128844971,0.132558595196,0.17871852461,0.408271332878,0.307725064724,10.3932065346,0.381483338017,0.287164379935,0.17978968375,0.0704657968211,0.0,0.320380949945,0.541618493151,0.473348192637,0.830200487576,1.72543691938,0.458708070781,0.791060629005,0.940555255993,0.263840501057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213086335038,0.0,0.0,0.0,0.0216954458793,0.0425268567059,0.0129327078304,0.0675197416382,16.3004172078
6,AHAlife,_Series_B,20,46,10100000,Shopping,155,19,9,0.858064516129,0.864516129032,1.47741935484,0.206451612903,115.206451613,1.43225806452,0.18064516129,0.896774193548,0.0838709677419,0.0903225806452,6.11410834913,4.03246149466,1.45644775062,0.505768981111,29.270723988,1.43254996893,0.476335685164,0.397625967109,0.27809273212,0.287572507751,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0221844738466,0.0795364502578,0.014598540146,0.160583941606,3.05952987039,8.87053070307,5.26084751253,3.36089062529,2.40995843282,0.252292673423,0.371114310775,0.63721232098,0.164845145813,10.8056995999,0.612237776961,0.147443926249,0.864534560508,0.0614460926361,0.058379881108,0.618859511645,0.878355726689,0.6625622405,0.42479100509,1.60094201231,0.653939973743,0.407907227972,0.993281293095,0.244145306802,0.209730703363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533597490953,0.0,0.0,0.0166436492032,0.0453355335947,0.0118973617877,0.0799280901424,16.1280459818
7,AbilTo,_Series_A,18,54,3000000,VoIP,194,415,168,0.149484536082,0.463917525773,0.89175257732,0.520618556701,100.221649485,0.829896907216,0.494845360825,0.412371134021,0.139175257732,0.0876288659794,0.929273348223,2.21891004224,1.49043027505,1.04414857541,49.9034024961,1.44571297279,1.04434039812,0.514103219804,0.34702486839,0.283485972808,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0402209835154,0.0626269621407,0.0233918128655,0.0643274853801,2.95847442861,9.58817570008,5.50332921029,7.63482698623,5.68345248942,0.110155788214,0.274107582479,0.494930013381,0.316222079469,10.2203918642,0.466314191553,0.30400606978,0.404642193259,0.0852299201491,0.0573042334261,0.413700526719,0.740787750699,0.669741287174,0.763130743341,1.67889262251,0.656754500759,0.77851071217,1.66072385322,0.296096049333,0.207563675025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213086335038,0.0,0.0,0.0,0.0244767032851,0.0397324551643,0.0169880198347,0.0471144058587,14.9141228466
8,AbilTo,_Series_B,17,52,6000000,VoIP,178,408,159,0.0955056179775,0.348314606742,0.679775280899,0.275280898876,88.9887640449,0.668539325843,0.26404494382,0.320224719101,0.106741573034,0.0168539325843,0.407392178342,1.16056798481,1.21837900788,0.635624324764,52.1186162089,1.21535333549,0.631516369164,0.467878919892,0.309655450154,0.129087151445,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016549350708,0.0267529827702,0.0,0.0487804878049,2.90389570039,9.41511329227,5.41019294087,7.60810876025,5.61657881515,0.0780402761174,0.230003361459,0.421379447954,0.205770220361,9.74096913997,0.41038255137,0.198405529764,0.315435074277,0.0724490010987,0.0154202090449,0.265854146951,0.565173283274,0.607029684562,0.514517556312,1.68439922661,0.603358166885,0.518705270652,1.36601811148,0.268285567089,0.110829126754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533597490953,0.0,0.0,0.0133131686374,0.0217663766941,0.0,0.0383542550577,15.6072700272
9,Abiquo,_Series_A,11,6,2050000,-,167,225,85,0.0658682634731,0.0359281437126,1.01796407186,0.461077844311,94.4730538922,1.01796407186,0.449101796407,0.413173652695,0.299401197605,0.125748502994,0.293251907643,0.394116605106,1.25378008627,1.01047825367,35.9487276064,1.25378008627,0.991886863415,0.505934766285,0.459373198675,0.33256289773,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0202092792651,0.071926534093,0.0,0.131578947368,2.49489804964,2.90147019429,5.34128124733,6.69534178227,4.86791417713,0.0571451807506,0.0341781967911,0.531958035431,0.293502470216,9.97991528622,0.5207395617,0.286338819092,0.405416399876,0.119437344919,0.0701779299503,0.21243097984,0.289446019204,0.615922740341,0.74426418546,1.63334235898,0.61291959534,0.747867112331,1.60552806668,0.375108208289,0.232485778286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213086335038,0.0,0.0,0.0,0.0155333568777,0.0429894606219,0.0,0.0729261707868,14.5333503511
10,Achievers,_Series_A,4,0,4700000,Technology,153,422,168,0.0261437908497,0.0,0.241830065359,0.0130718954248,100.68627451,0.235294117647,0.0,0.352941176471,0.0,0.0,0.160086835741,0.0,0.459206177046,0.113955676089,35.4882246201,0.455445211367,0.0,0.479454023855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0625744047619,0.0336884469697,0.125,0.0,1.61362531906,0.0,5.24685249767,7.66113270082,5.68345248942,0.0246721112671,0.0,0.198218988816,0.012868682667,10.2394113256,0.192465689529,0.0,0.347179808653,0.0,0.0,0.132771370624,0.0,0.33103871367,0.108974500233,1.63140106751,0.328283601492,0.0,1.4358795368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.213086335038,0.0,0.0,0.0,0.0302022121921,0.0260595207623,0.0341889771365,0.0,15.3630730667
