,company_name,Series,Total_Likes,Total_Retweets,Series_Amount,Market,tweet_count,get_dayrange,get_dayiqr,likes_mean,retweets_mean,persontag_count_mean,hashtag_count_mean,text_length_mean,persontags_count_mean,hashtags_count_mean,links_count_mean,self_mention_mean,self_tweet_mean,likes_std,retweets_std,persontag_count_std,hashtag_count_std,text_length_std,persontags_count_std,hashtags_count_std,links_count_std,self_mention_std,self_tweet_std,is_Biotechnology,is_Software,is_Health Care,is_Enterprise Software,is_Clean Technology,is_Hardware + Software,is_Semiconductors,is_Curated Web,is_Mobile,is_Web Hosting,is_Series_A,is_Series_B,is_Series_C,is_Series_D,mean_neg,mean_pos,total_neg,total_pos,Total_Likes_scaled,Total_Retweets_scaled,tweet_count_scaled,get_dayrange_scaled,get_dayiqr_scaled,likes_mean_scaled,retweets_mean_scaled,persontag_count_mean_scaled,hashtag_count_mean_scaled,text_length_mean_scaled,persontags_count_mean_scaled,hashtags_count_mean_scaled,links_count_mean_scaled,self_mention_mean_scaled,self_tweet_mean_scaled,likes_std_scaled,retweets_std_scaled,persontag_count_std_scaled,hashtag_count_std_scaled,text_length_std_scaled,persontags_count_std_scaled,hashtags_count_std_scaled,links_count_std_scaled,self_mention_std_scaled,self_tweet_std_scaled,is_Biotechnology_scaled,is_Software_scaled,is_Health Care_scaled,is_Enterprise Software_scaled,is_Clean Technology_scaled,is_Hardware + Software_scaled,is_Semiconductors_scaled,is_Curated Web_scaled,is_Mobile_scaled,is_Web Hosting_scaled,is_Series_A_scaled,is_Series_B_scaled,is_Series_C_scaled,is_Series_D_scaled,mean_neg_scaled,mean_pos_scaled,total_neg_scaled,total_pos_scaled,Series_Amount_scaled
0,1stdibs,_Series_C,230,134,15000000,Semiconductors,213,13,7,1.86384976526,1.52112676056,0.957746478873,1.0985915493,130.516431925,0.934272300469,1.09389671362,0.840375586854,0.43661971831,0.145539906103,5.78019212124,7.00981620677,1.087275716,1.88205224381,38.451463677,1.0795697348,1.87601804529,0.458529077456,0.515762698639,0.353475085928,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0382897457317,0.0688502558554,0.010989010989,0.0824175824176,5.42268680355,14.7413230725,0.0963244043915,2.9112064352,2.15579476093,0.274242603112,0.443277347794,0.51744890597,0.454442861204,8.18315837792,0.50075913817,0.448111706748,0.816053193077,0.129264502198,0.0742858337391,0.610461594637,0.977022452997,0.577672062867,1.12597525625,1.62498761096,0.571700230872,1.16137814963,1.26226033587,0.403078056338,0.239699485146,0.0,0.0,0.0,0.0,0.0,0.0,0.011377415986,0.0,0.0,0.0,0.0,0.0,0.150086658528,0.0,0.0239606807516,0.0414049645377,0.00941384275038,0.056048052136,16.5235607591
2,365Scores,_Series_B,15,23,5500000,Apps,163,1,1,0.0920245398773,0.141104294479,0.58282208589,1.51533742331,181.895705521,0.552147239264,1.49079754601,0.914110429448,0.184049079755,0.0490797546012,0.348006952373,0.656188965307,0.822642166934,1.11308617916,43.445668283,0.771029248241,1.09074726995,0.302229840716,0.388718435719,0.216700310254,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.019701216988,0.0468359952723,0.00632911392405,0.00632911392405,2.76746188054,6.27540643451,0.0963244043915,0.711033315584,0.701495721168,0.0755725014516,0.117137176586,0.383135252182,0.508888313411,9.07142643126,0.36472193378,0.499000810978,0.8858213662,0.0980173769083,0.0380645579638,0.238900972879,0.410440345391,0.491949437695,0.781448952802,1.64167415187,0.470291465395,0.787708172659,0.593565776537,0.320341792004,0.168247310868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556594133709,0.0,0.0,0.0152941451689,0.0327079519579,0.00578283948011,0.00612765986003,15.5202586502
4,6fusion,_Series_B,2,28,7000000,Hardware + Software,177,251,131,0.0112994350282,0.158192090395,0.593220338983,0.468926553672,108.621468927,0.564971751412,0.463276836158,0.576271186441,0.38418079096,0.0508474576271,0.105996385282,0.462027531825,0.894147208005,0.783636250428,32.6341321613,0.896656747625,0.776103684187,0.539467008549,0.487780841103,0.220309349673,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0214153612591,0.0378369364046,0.0,0.0,1.0978067407,6.95073909145,0.0963244043915,6.81606613081,5.31785863086,0.0110142969433,0.128626529556,0.387628685682,0.294835545275,7.71678160539,0.370295020814,0.290576854175,0.564056497547,0.126078410951,0.0390982994705,0.0932537812731,0.324707577109,0.517097764358,0.598443201491,1.60095128243,0.514975134405,0.604569414213,1.76017062749,0.385558780992,0.170403539158,0.0,0.0,0.0,0.0,0.0,0.0105022297248,0.0,0.0,0.0,0.0,0.0,0.556594133709,0.0,0.0,0.0162826036411,0.0281843006026,0.0,0.0,15.761420707
5,6sense,_Series_A,42,43,12000000,Invest Online,215,47,24,0.195348837209,0.241860465116,0.646511627907,0.497674418605,104.497674419,0.595348837209,0.451162790698,0.181395348837,0.102325581395,0.0,0.554486159528,1.06653262941,0.782802548841,1.16760966226,74.4572181257,0.748192054025,1.06612498019,0.386244689014,0.303783287929,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0327869010184,0.0705234405094,0.0162162162162,0.113513513514,3.75176948166,8.62590673634,0.0963244043915,4.47540613726,3.40427865792,0.132072958261,0.178522069119,0.409847816338,0.305785270629,7.62068502813,0.383159844641,0.285831549867,0.180037596389,0.0701461395039,0.0,0.319261180646,0.54198504707,0.47720304684,0.80926632285,1.70433478489,0.461582912976,0.774227549641,0.910858345116,0.260007347462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204031031258,0.0,0.0,0.0,0.0218196700427,0.0419515006964,0.0129486860418,0.0679705923903,16.3004172078
6,AHAlife,_Series_B,20,46,10100000,Shopping,155,19,9,0.858064516129,0.864516129032,1.47741935484,0.206451612903,115.206451613,1.43225806452,0.18064516129,0.896774193548,0.0838709677419,0.0903225806452,6.11410834913,4.03246149466,1.45644775062,0.505768981111,29.270723988,1.43254996893,0.476335685164,0.397625967109,0.27809273212,0.287572507751,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0221844738466,0.0795364502578,0.014598540146,0.160583941606,3.03834135122,8.91670235348,0.0963244043915,3.3495883121,2.39644780458,0.249930657064,0.370093707649,0.641430064147,0.16433419305,7.86437314269,0.617028867303,0.14712144573,0.869439315145,0.0612104749949,0.0578748656498,0.612825398821,0.879502915871,0.67063282142,0.419139714825,1.58393297045,0.660199994372,0.403276671263,0.960988939421,0.240861556253,0.207738827957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556594133709,0.0,0.0,0.0167117272523,0.0446639557581,0.0119107102162,0.0806146242197,16.1280459818
7,AbilTo,_Series_A,18,54,3000000,VoIP,194,415,168,0.149484536082,0.463917525773,0.89175257732,0.520618556701,100.221649485,0.829896907216,0.494845360825,0.412371134021,0.139175257732,0.0876288659794,0.929273348223,2.21891004224,1.49043027505,1.04414857541,49.9034024961,1.44571297279,1.04434039812,0.514103219804,0.34702486839,0.283485972808,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0402209835154,0.0626269621407,0.0233918128655,0.0643274853801,2.93865734089,9.6405070581,0.0963244043915,7.58137650377,5.61150746898,0.109832604056,0.273605853802,0.497325045705,0.3141620638,7.51779860169,0.468909658687,0.302494966459,0.405829046703,0.0847351133043,0.0568204467053,0.411678327703,0.741540709471,0.67801014342,0.745354281811,1.65943425593,0.663075317032,0.762189819487,1.59103666714,0.291272011195,0.20561534892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204031031258,0.0,0.0,0.0,0.0246421135104,0.0392425599625,0.017017136963,0.047311507914,14.9141228466
8,AbilTo,_Series_B,17,52,6000000,VoIP,178,408,159,0.0955056179775,0.348314606742,0.679775280899,0.275280898876,88.9887640449,0.668539325843,0.26404494382,0.320224719101,0.106741573034,0.0168539325843,0.407392178342,1.16056798481,1.21837900788,0.635624324764,52.1186162089,1.21535333549,0.631516369164,0.467878919892,0.309655450154,0.129087151445,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.016549350708,0.0267529827702,0.0,0.0487804878049,2.88480036667,9.46593669607,0.0963244043915,7.55500493306,5.54625678139,0.0778856984768,0.229663923642,0.423066993897,0.204955614061,7.22983054055,0.412345672893,0.197804148385,0.316172099459,0.0721086716982,0.0153909294443,0.265113675755,0.565576443077,0.613666769765,0.506283832197,1.66475422156,0.608587456662,0.511292251948,1.31377532904,0.264322579168,0.110303808208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556594133709,0.0,0.0,0.0133549606113,0.021637476343,0.0,0.0384798585116,15.6072700272
10,Achievers,_Series_A,4,0,4700000,Technology,153,422,168,0.0261437908497,0.0,0.241830065359,0.0130718954248,100.68627451,0.235294117647,0.0,0.352941176471,0.0,0.0,0.160086835741,0.0,0.459206177046,0.113955676089,35.4882246201,0.455445211367,0.0,0.479454023855,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0625744047619,0.0336884469697,0.125,0.0,1.60770948073,0.0,0.0963244043915,7.60733996771,5.61150746898,0.0246577125007,0.0,0.198564794882,0.0128657981506,7.52914533465,0.192863362071,0.0,0.348065695945,0.0,0.0,0.132601852027,0.0,0.33284230489,0.10859318908,1.61347521188,0.329696919285,0.0,1.37962188304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204031031258,0.0,0.0,0.0,0.0304843927454,0.0258695201379,0.0343660027172,0.0,15.3630730667
12,Acumatica,_Series_C,42,71,10000000,Developer Tools,178,39,19,0.23595505618,0.455056179775,1.11235955056,0.595505617978,112.359550562,1.03370786517,0.589887640449,0.685393258427,0.0898876404494,0.140449438202,0.552804292258,1.06866104893,1.38137900679,1.01089098837,34.3364039626,1.38555451546,1.01140892319,0.489332662555,0.286827550631,0.348432843718,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0439224792899,0.0766014139795,0.0,0.1,3.75176948166,10.988306917,0.0963244043915,4.23496304192,3.15590190789,0.148758795541,0.270585809709,0.560104229768,0.339467289927,7.80141143505,0.528236933911,0.334861006111,0.668593128839,0.0642601100036,0.0731161210527,0.318715446408,0.542540921322,0.653709161145,0.727554581939,1.60860705067,0.649713965057,0.743790459132,1.4376745177,0.247420491227,0.237397368891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150086658528,0.0,0.0258563096056,0.0438217645201,0.0,0.0632129846442,16.118095651
13,AdMeld,_Series_C,7,42,15000000,-,177,136,63,0.0395480225989,0.237288135593,0.751412429379,0.333333333333,105.418079096,0.64406779661,0.327683615819,0.525423728814,0.152542372881,0.118644067797,0.246834088576,0.564246774194,1.07413323115,0.645497224368,39.3972384637,1.04058623989,0.644003592075,0.500769823397,0.360565811136,0.324286582154,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0209858605447,0.0416537445398,0.0,0.0769230769231,2.07655680371,8.52628979847,0.0963244043915,5.92261435434,4.47181739856,0.0362271652499,0.176041311898,0.449984410355,0.23526743919,7.64239149972,0.402858907043,0.231217834707,0.515130795752,0.0891392242101,0.0673975258855,0.18675776634,0.372295376964,0.573852951108,0.512656220531,1.62838796587,0.560340014827,0.519610946889,1.50707734741,0.30082540703,0.226055062854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.150086658528,0.0,0.0160391338031,0.0301824282237,0.0,0.0535527834677,16.5235607591
