,Avg_Tweets,Company,Series,Total_Likes,Total_Retweets,Series_Amount,Market
1,16.3846153846,1stdibs,Series_C,230,134,15000000,Semiconductors
2,1.60396039604,2tor,Series_C,10,32,32500000,
3,163.0,365Scores,Series_B,15,23,5500000,Apps
4,2.10975609756,36Kr,Series_C,58,21,20000,Startups
6,0.696850393701,6fusion,Series_B,2,28,7000000,Hardware + Software
7,4.47916666667,6sense,Series_A,42,43,12000000,Invest Online
9,7.75,AHAlife,Series_B,20,46,10100000,Shopping
10,0.467469879518,AbilTo,Series_A,18,54,3000000,VoIP
11,0.437346437346,AbilTo,Series_B,17,52,6000000,VoIP
12,0.738938053097,Abiquo,Series_A,11,6,2050000,-
13,0.364285714286,Achievers,Series_A,4,0,4700000,Technology
14,69.6666666667,Achievers,Series_C,16,67,24500000,Technology
21,4.5641025641,Acumatica,Series_C,42,71,10000000,Developer Tools
22,1.30147058824,AdMeld,Series_C,7,42,15000000,-
23,1.17730496454,AdReady,Series_C,16,13,5300000,Billing
24,0.552870090634,AdScale,Series_B,8,6,6150000,Advertising
25,0.343003412969,Adaptiveblue,Series_B,2,0,4520000,Celebrity
26,0.602076124567,Adaptivity,Series_B,24,54,3000000,Software
27,1.22619047619,Addepar,Series_B,163,112,50000000,
28,196.0,AdzCentral,Series_A,37,93,3200000,Hardware + Software
29,105.0,AdzCentral,Series_B,101,109,3200000,Hardware + Software
30,inf,Aereo,Series_A,11,61,20500000,
31,inf,Aereo,Series_B,92,109,38000000,
32,inf,Aereo,Series_C,123,122,34000000,
33,2.09459459459,Affectiva,Series_B,12,54,5700000,Fraud Detection
34,0.769911504425,Aipai,Series_C,29,15,38000000,Health Care
35,2.22535211268,Airware,Series_B,58,58,25000000,Enterprise Software
36,10.0952380952,Alfresco,Series_C,8,0,9000000,
37,2.23611111111,AlienVault,Series_B,41,99,8000000,
38,4.04761904762,AlienVault,Series_D,107,85,26500000,
39,227.0,Allegiance,Series_B,12,61,12000000,Network Security
43,0.472891566265,Amplience,Series_B,15,66,5700000,Diabetes
44,196.0,Ampulse,Series_A,7,0,8000000,Software
45,inf,Ampulse,Series_B,7,29,7300000,Software
46,3.06060606061,Andera,Series_B,3,12,9000000,Finance
47,28.6666666667,Animoto,Series_B,36,0,4400000,Real Estate
48,56.6666666667,Animoto,Series_C,9,17,25000000,Real Estate
52,0.798245614035,AppFirst,Series_A,7,39,4000000,Graphics
53,4.0,AppFog,Series_A,30,90,1800000,
54,2.11650485437,Appcelerator,Series_A,4,0,4100000,
55,11.5,Appcelerator,Series_D,150,176,22000000,
56,2.19318181818,Appconomy,Series_B,7,44,10000000,Bridging Online and Offline
57,0.30608974359,Appirio,Series_C,6,1,10000000,
58,6.60714285714,Appirio,Series_D,28,142,60000000,
59,0.350210970464,Appistry,Series_D,15,61,12000000,Cloud Computing
60,1.75806451613,Applause,Series_A,8,1,2300000,
61,19.0909090909,Applause,Series_B,22,0,5000000,
62,inf,Applause,Series_C,25,29,13000000,
63,inf,Applause,Series_D,3,54,17000000,
64,0.715415019763,Apprenda,Series_B,4,83,10000000,Local Based Services
65,2.68181818182,Apprenda,Series_C,101,195,16000000,Local Based Services
66,10.9,Aptana,Series_B,3,0,5500000,Inventory Management Systems
67,0.611538461538,Aptera,Series_C,9,2,24000000,Collaboration
68,0.40133037694,Aquto,Series_A,6,12,8000000,Health Care
70,51.0,Artspace,Series_A,29,100,2500000,Curated Web
71,52.25,Artspace,Series_B,33,80,8500000,Curated Web
72,inf,Artsy,Series_A,6,22,6000000,
73,inf,Artsy,Series_B,223,64,18500000,
74,1.03409090909,Artwise,Series_A,1,9,1000000,Specialty Retail
75,1.5041322314,Artwise,Series_B,35,22,1000000,Specialty Retail
77,9.0,Asana,Series_A,16,2,9000000,
78,13.4285714286,Assistly,Series_B,35,82,4000000,
79,0.536082474227,Authentix,Series_C,1,19,15000000,Security
80,inf,Automatic,Series_A,95,62,5300000,
81,0.468208092486,Avaak,Series_B,1,0,10000000,Audio
82,1.85542168675,Avegant,Series_A,102,102,9370000,-
84,1.82352941176,Aviir,Series_B,7,24,10000000,Biotechnology
85,2.98630136986,Awareness,Series_A,6,0,7000000,Audio
86,inf,Awareness,Series_B,10,64,9900000,Audio
87,40.0,Axial,Series_A,5,20,6500000,B2B
88,103.0,Axial,Series_B,14,19,11000000,B2B
89,4.04651162791,Ayasdi,Series_A,163,309,10000000,
90,2.24418604651,Ayasdi,Series_B,116,198,30600000,
91,1.50714285714,B5M,Series_A,0,24,7100000,Online Rental
92,5.71875,B5M,Series_B,37,78,16000000,Online Rental
93,6.55882352941,BOKU,Series_A,9,0,13000000,
94,inf,BOKU,Series_C,5,8,25000000,
95,8.3,Backupify,Series_A,41,31,4500000,
96,14.8461538462,Backupify,Series_B,48,71,5000000,
97,6.96296296296,Backupify,Series_C,34,53,9000000,
98,2.96875,Balihoo,Series_C,2,0,7000000,mHealth
99,2.64788732394,Balluun,Series_A,19,65,3300000,B2B
100,17.0,BandPage,Series_C,72,75,9250000,Virtualization
101,209.0,Banjo,Series_A,8,18,5000000,Online Gaming
102,0.708502024291,Baronova,Series_C,21,66,27300000,Advertising
103,43.0,BaubleBar,Series_B,245,63,10000000,Fashion Tech
104,2.67142857143,BayRu,Series_C,40,98,4000000,IT Management
105,42.0,Beckon,Series_A,143,90,8000000,Marketing
106,105.0,Become,Series_C,5,0,17500000,Software
107,218.0,Become,Series_D,11,0,8000000,Software
108,0.68085106383,Beepi,Series_A,69,63,5000000,
109,2.05882352941,Bellabox,Series_A,82,36,1400000,E-Commerce
110,5.28205128205,Bellabox,Series_B,51,20,2700000,E-Commerce
111,inf,Belly,Series_A,55,49,2500000,
112,inf,Belly,Series_B,14,42,10000000,
113,0.37067209776,Betaworks,Series_A,5,0,7500000,
114,1.96703296703,Betaworks,Series_B,45,33,20000000,
115,2.01282051282,BetterCloud,Series_C,208,125,8600000,Visual Search
116,28.5,Betterment,Series_A,4,23,3000000,Technology
117,96.5,Betterment,Series_B,33,79,10000000,Technology
118,102.0,Betterment,Series_C,133,111,32000000,Technology
119,inf,Between,Series_A,197,115,3000000,Content
121,5.05714285714,BigDoor,Series_C,25,104,5000000,Biotechnology
122,187.0,Birchbox,Series_A,3,4,10500000,
123,inf,Birchbox,Series_B,125,24,60000000,
124,7.0,Bitly,Series_A,14,0,2000000,
125,24.7142857143,Bitly,Series_B,14,30,10000000,
126,0.845771144279,Bizible,Series_A,14,72,1700000,iPhone
127,25.5,Bizo,Series_B,8,34,10000000,Real Time
128,27.25,BlogHer,Series_B,8,0,5000000,E-Commerce
129,40.4,BlogHer,Series_C,7,0,7000000,E-Commerce
130,inf,BlogTalkRadio,Series_B,2,50,1936608,-
131,5.5625,BloomSpot,Series_A,3,19,9000000,
132,157.0,BloomSpot,Series_B,0,3,35000000,
135,32.6666666667,Bluebox,Series_B,122,92,18000000,Advertising
136,20.625,Bluestacks,Series_A,11,20,7600000,-
137,0.279534109817,BodyShopBids,Series_B,17,101,10000000,Biotechnology
139,3.54098360656,Booyah,Series_A,3,0,4500000,Apps
140,219.0,Booyah,Series_B,7,0,5000000,Apps
141,211.0,Booyah,Series_C,4,10,20000000,Apps
142,0.209230769231,BountyJobs,Series_C,6,27,4800000,Curated Web
