,Unnamed: 0,Company,Href,Likes,Name,Retweets,Series,Text,Time
0,0,Occipital,/yehyehgluglu,0 likes,Maria Melo,0 retweets,_Series_A,@rubaums2 mira in the occipital and frontal to the end! ahahahhahahhahahahah,14 Jul 2011
1,2,Occipital,/ArturoMisifu,0 likes,Arturo Quijano,0 retweets,_Series_A,at the height of the occipital head - hurts if it's accurate-,14 Jul 2011
2,5,Occipital,/victorcab,0 likes,Victor Caballero,0 retweets,_Series_A,Tripod – Timer for 360 Views – iPhone? : http://victorcaballero.com/tripod-timer-for-360-views-iphone/#.Th8TiHCzVt4.tweet … @joe_murphy how can this mount an iPhone? @occipital,14 Jul 2011
3,7,Occipital,/electroniko,0 likes,MIGUEL NEGRETE,0 retweets,_Series_A,"Neurona, glia, axon myelin, parietal, temporal, occipital, hypothalamic, talamo, amygdala, soma, materia gris exam hoyyyyyyyy",14 Jul 2011
4,8,Occipital,/nomina_bot,0 likes,体野ミナ,0 retweets,_Series_A,Greater occipital nerve:nervus occipitalis major/greater occipital nerve #nomina,13 Jul 2011
5,9,Occipital,/capiendo,0 likes,Ted Capiendo,0 retweets,_Series_A,"@occipital this means clearcam gets UI fix? id so sign up if i could code, had artistic skill, or u know… are not dummy. ican haz smart?",13 Jul 2011
6,10,Occipital,/DarinRMcClure,0 likes,Darin,0 retweets,_Series_A,happy happy joy joy! You can embed a @occipital 360 panoramic shot!!!,13 Jul 2011
7,11,Occipital,/occipital,0 likes,Occipital,1 retweet,_Series_A,@DarinRMcClure In fact you can with a nice js embed!  Just hit up your account and tap the 'Embed' link:  http://occipital.com/account/panoramas …,13 Jul 2011
8,13,Occipital,/jrpowers,1 like,Jeff Powers,0 retweets,_Series_A,Absinthe with @occipital/team in commemoration of our comrade   @gmcerveny's departure :( http://yfrog.com/kec9nwej ,13 Jul 2011
9,14,Occipital,/gingerale,0 likes,Ginger Cohen,0 retweets,_Series_A,"RT @MarieSPowers An amazing panorama taken by A. Lunato in Bern, Switzerland using @Occipital 's @360Panorama http://360.io/3rp2Xu   Wow!",13 Jul 2011
