id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670248465092378625,2015-11-27 14:31:01,Participate in #genetics research from your mobile phone with the 23andMe iOS app: https://t.co/bmhtcepygG,9,7,en,,,,,,,,
670241917490237440,2015-11-27 14:05:00,Ancient DNA plots centuries of genetic changes that have shaped modern man: https://t.co/MIGNFfzj8U,9,7,en,,,,,,,,
670176238518976512,2015-11-27 09:44:01,"As part of the newly redesigned 23andMe, Kate Black worked to update the #privacy center. Hear about Kate’s work: https://t.co/em8EuIxyfp",2,2,en,,,,,,,,
670078788902907905,2015-11-27 03:16:47,@Sazzles29 yes. You can still purchase a kit in the UK!,0,0,en,Sazzles29,84559048,670012403699089408,,,,,
670074594724872192,2015-11-27 03:00:07,Happy #Thanksgiving from 23andMe! [4/4] https://t.co/gAUKEeEuel,4,0,en,,,,,,,,
670024393431654400,2015-11-26 23:40:38,Your #Thanksgiving turkey... 40 pairs of chromosomes. Now you know. [3/4] https://t.co/GcxHfJKnOg,9,6,en,,,,,,,,
670010895368478720,2015-11-26 22:47:00,A government panel said drinking coffee is harmless. Why that might be wrong. via @washpo https://t.co/YNCLIgvAdI,8,4,en,,,,,,,,
669900418047086592,2015-11-26 15:28:00,6 perfect gifts in 2015 for science geeks via @ExtremeTech https://t.co/evZhi4QreV,3,3,en,,,,,,,,
669891265069244416,2015-11-26 14:51:38,Which #Thanksgiving side dish has more chromosome pairs? Corn or Pumpkin? [2/4] https://t.co/csQ5XcLEcb,5,0,en,,,,,,,,
669879529385553921,2015-11-26 14:05:00,Mysterious Group of Extinct Humans Was More Diverse Than Neandertals says @sciam https://t.co/PExlhjSy60,7,2,en,,,,,,,,
669802022305050624,2015-11-26 08:57:01,"Check out the new 23andMe health, traits and ancestry reports: https://t.co/jnKjfRbWrC  #video",8,2,en,,,,,,,,
669677332479758336,2015-11-26 00:41:32,How many chromosomes in your #Thanksgiving ear of corn? [1/4] https://t.co/TFqxQfFGM7,4,4,en,,,,,,,,
669675589326893057,2015-11-26 00:34:37,@kimberly_kelsey 6-8 weeks from when we get your kit in the lab. Hope that helps!,0,0,en,kimberly_kelsey,168917198,669643574405787650,,,,,
669648507121242113,2015-11-25 22:47:00,What causes cancer in kids? Genes have always been eyed as a key culprit... https://t.co/zaRpYgrIim via @ScienceNews,8,4,en,,,,,,,,
669606561707241472,2015-11-25 20:00:19,"Meet Kate Black, 23andMe’s #Privacy Officer: https://t.co/em8EuIxyfp",7,1,en,,,,,,,,
669547346418470912,2015-11-25 16:05:01,Listen to 23andMe customer John Vitale’s story on @extremegenes: https://t.co/lsIghTc2KH. #AdoptionMonth #23andMeStory,2,0,en,,,,,,,,
669538029975965698,2015-11-25 15:28:00,How We Are All a Little Neandertal (a #video interview with Svante Paabo) via @sciam https://t.co/zgEIu11ZQ4,3,4,en,,,,,,,,
669517141633204225,2015-11-25 14:05:00,Humans can outlearn chimps thanks to more flexible brain genetics https://t.co/R8YrnZ7usz via @ScienceNews,3,2,en,,,,,,,,
669286119914127360,2015-11-24 22:47:00,Holiday Gift Guide: Women in #STEM Dolls: https://t.co/JjDYDIllb1 #womeninscience,6,1,en,,,,,,,,
669279581224894464,2015-11-24 22:21:01,"Read about Dr. Richard Scheller’s latest honor, being named to the National Academy of Medicine. https://t.co/vpWLgnBbQS",6,3,en,,,,,,,,
669260474236563457,2015-11-24 21:05:05,"@JohnCollison Our pop. geneticists confirmed we don't have a marker on our chip for this variant, so can't assign this Pictish haplogroup.",1,1,en,JohnCollison,20753028,669240729063919616,,,,,
669241100427628544,2015-11-24 19:48:06,@MsKathleen Hi there! Customer care can help you track down his results: https://t.co/qugh1lpal9. Have you logged in to check the status?,0,0,en,MsKathleen,688513,668958648274546688,,,,,
669240317002944512,2015-11-24 19:45:00,"@Derella Hi Matt, The customer care team can help! Contact them here for a replacement or instructions: https://t.co/qugh1lpal9",0,0,en,Derella,31898295,668984267809140737,,,,,
669240212195704832,2015-11-24 19:44:35,"@jmsuth Oh no! If it looks like the kit is damaged inside, contact customer care here: https://t.co/qugh1lpal9",0,0,en,jmsuth,260084490,668989158845579265,,,,,
669239573600321537,2015-11-24 19:42:02,"@JohnCollison Hi John, We're happy to check our raw data for a specific SNP. Let us know the number and we can tell you if it's covered.",0,0,en,JohnCollison,20753028,669013285887324161,,,,,
669238954260992000,2015-11-24 19:39:35,@daronyondem @akhomenko That's right. The 23andMe kit internationally provides ancestry information and raw genetic data. Hope that helps.,0,0,en,daronyondem,14797033,669066066816049152,,,,,
669237899452248064,2015-11-24 19:35:23,@mzt1504 Apologies for the inconvenience. The site should be back up and running now.,0,0,en,mzt1504,2947838270,669178214200164355,,,,,
669236857536774144,2015-11-24 19:31:15,@HarrierThanU Thanks for the heads up. The site should be back up and running now. Apologies for the inconvenience!,0,0,en,HarrierThanU,16543679,669188848941862912,,,,,
669175642500411392,2015-11-24 15:28:00,The Algorithm That Creates Diets That Work for You https://t.co/DGLmtLxacm via @TheAtlantic,15,8,en,,,,,,,,
