id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669924290033135616,2015-11-26 17:02:51,"Hosts, guests, employees, friends. We are thankful today and every day for our global community. Happy #Thanksgiving.",56,15,en,,,,,,,,
669908441247428608,2015-11-26 15:59:53,@babiiangiie It's never too early to start counting down to such an amazing trip Angie.,0,0,en,babiiangiie,3226896793,669901807317979136,,,,,
669904043138031616,2015-11-26 15:42:24,@lettyburgin Go Mom! 👍,1,0,en,LettyBurgin,35884202,669900390595485696,,,,,
669894318832906240,2015-11-26 15:03:46,@vixvixvix That IS cute! This community is the best 🚙,0,0,en,vixvixvix,20150823,669892293470629888,,,,,
669893536305831936,2015-11-26 15:00:39,@doctorhyde Hmmmmm...,0,0,und,doctorhyde,24989263,669871019646128128,,,,,
669892399456526336,2015-11-26 14:56:08,@barillaugo 😊,0,0,und,BarillaUgo,918973872,669890965814059008,,,,,
669877361681301504,2015-11-26 13:56:23,@eatnik Sounds perfect! All that good food...,0,0,en,eatnik,30670624,669873987443367936,,,,,
669864209472204800,2015-11-26 13:04:07,@barillaugo Et on en a plein d'autres en réserve 😃 https://t.co/QhRWIeiZlH,0,0,fr,BarillaUgo,918973872,669859865393815552,,,,,
669860389820190720,2015-11-26 12:48:56,@eatnik They're all special in their own way : ) where's next on your wishlist?,0,0,en,eatnik,30670624,669849937992155137,,,,,
669858632406843392,2015-11-26 12:41:57,@ohheyadamk Just wow! Thanks for sharing Adam. Enjoy your American #Thanksgiving.,0,0,en,OhHeyAdamK,18279474,669819891701186561,,,,,
669842544885440516,2015-11-26 11:38:02,@cninggggz It's ok Ning. We're all learning something every day - keep trying : ),1,0,en,cninggggz,2827570746,669817099364110337,,,,,
669841226909241344,2015-11-26 11:32:48,@briannarama The struggle is real ⭐️ 🌙,0,0,en,briannarama,39548754,669778405919879168,,,,,
669841044587048960,2015-11-26 11:32:04,@pracca Yup - looks pretty awesome to us Marium! Wishing you a very happy #Thanksgiving celebration. Can't wait to see more pictures.,1,0,en,pracca,23482016,669757841213779968,,,,,
669839624634765312,2015-11-26 11:26:26,@seogumaa Welcome to the community! Whereabouts are you exploring??,0,0,en,seogumaa,2592206966,669724136663461889,,,,,
669838777725112320,2015-11-26 11:23:04,@peachestweets6 Sounds pretty good to us! Good coffee is essential.,1,0,en,peachestweets6,22469704,669718186640543744,,,,,
669832017186570240,2015-11-26 10:56:12,@eatnik That's pretty impressive Anna! Where's been your favourite place to explore?,0,0,en,eatnik,30670624,669643972462157828,,,,,
669809838604615680,2015-11-26 09:28:04,@nancykenny And now we're dancing too! So wonderful. Thanks for sharing Nancy.,0,0,en,nancykenny,18312154,669601803223330816,,,,,
669809365193478144,2015-11-26 09:26:11,@mamzellbeauplat Hi Jessica - let us know a little more about what you need and we'll get you the best contact details. Thanks!,0,0,en,MamzellBeauplat,229221008,669596607181115392,,,,,
669567627505885190,2015-11-25 17:25:37,@cynthj We're glad you enjoyed it Cynthia! It was our pleasure to host you.,1,0,en,cynthj,41703119,669553939054989312,,,,,
669561163542319108,2015-11-25 16:59:55,@sigje Hakuna matata Jennifer! Sounds like the host could have been a bit more specific about the pets 😄,1,0,en,sigje,17527655,669479459834073088,,,,,
669559391234998272,2015-11-25 16:52:53,@illuminatatv Great! You can email the team on partnerships-ireland@airbnb.com with all the info.,1,0,en,IlluminataTV,3364256944,669525425543057408,,,,,
669558959599165440,2015-11-25 16:51:10,@adventurezams Looks great guys - welcome to the community! Whereabouts are you exploring?,0,0,en,AdventureZams,4290920719,669491309393014785,,,,,
669558838648037378,2015-11-25 16:50:41,@nicolajenkins27 Hi Nicola - let us know some more info about what you're expecting so we can check on this for you. Thanks!,0,0,en,NicolaJenkins27,86999337,669488272700276740,,,,,
669527843592904704,2015-11-25 14:47:31,@elena_wallingto Your pictures always make us smile Elena! Thanks for making your guests feel so at home.,0,0,en,Elena_wallingto,4170602121,669523591520763904,,,,,
669524970477875201,2015-11-25 14:36:06,@illuminatatv Hi guys - we can do better than that! Let us know where you're based and we'll get you the best direct contact. Thanks!,0,0,en,IlluminataTV,3364256944,669517212869369856,,,,,
669524243135275009,2015-11-25 14:33:13,@maggiesranch Welcome to the host community!,1,0,en,MaggiesRanch,4060737683,669477746989539329,,,,,
669471837475184640,2015-11-25 11:04:58,@my_belonging That lighting! 😍Have a great stay Tommy. We'll look forward to seeing more of your pictures!,1,1,en,my_belonging,24536370,669307284489551873,,,,,
669469753900167168,2015-11-25 10:56:42,@alexnortn Bélo gets everywhere!,0,0,es,alexnortn,278849630,669358810117574656,,,,,
669468083631845376,2015-11-25 10:50:03,@kaekaekoolaid You need a little bit of luxury to recover from all that fun!,1,0,en,kaekaekoolaid,32483156,669370728261681152,,,,,
669467261112029184,2015-11-25 10:46:47,@mariahcarey Looks super cozy Mariah! So pleased you're feeling at home in Malibu.,5,2,en,MariahCarey,19248106,669248857708990465,,,,,
669270750491185152,2015-11-24 21:45:56,@michielbugter We can help! Call us anytime at +31 (0) 20 52 22 333 or DM us the 6-digit reservation code,0,0,en,michielbugter,34608948,669270134633177088,,,,,
669229572693491712,2015-11-24 19:02:18,"2,500 Americans stayed with Airbnb hosts over #Thanksgiving 2010. This year, over 250,000 will stay in an Airbnb. https://t.co/KMWiQYi1kD",139,104,en,,,,,,,,
669222088922816512,2015-11-24 18:32:34,@alstentauro Beautiful! Could you DM us the email address on your account? We'd like to chat about this more!,0,0,en,alstentauro,24723170,668483852931833856,,,,,
669183561405214721,2015-11-24 15:59:28,@marygarden We're going to need more stars! ⭐️ ⭐️ ⭐️,0,0,en,marygarden,19552381,669018940509564929,,,,,
669183304772526080,2015-11-24 15:58:27,@alenavacation1 Thanks for going the extra mile to look after your guests Alena. Wishing you many more great experiences in the future!,1,1,en,alenavacation1,2902532249,669142155605188608,,,,,
669143108442001408,2015-11-24 13:18:43,@snarkysteff It's those glimpses of real life that really make you feel part of it. Another great moment captured Steffani!,0,0,en,SnarkySteff,14523404,669078473634369536,,,,,
669142358911488000,2015-11-24 13:15:45,@monicabeatrice What a view! Have a dreamy time in NYC - we'll look forward to more pictures! 🗽,1,0,en,MonicaBeatrice,206640085,669135909032341510,,,,,
668959413760323584,2015-11-24 01:08:47,@kisonlee Hi! Can you please DM us the email associated with your account? Thank you,0,0,en,kisonlee,212628183,668958690171592704,,,,,
668819358093852672,2015-11-23 15:52:15,@auuubreyrose Amazing! 🐶We hope he had his own captain's hat.,0,0,en,auuubreyrose,28054281,668806727710564352,,,,,
668799649793355777,2015-11-23 14:33:56,@l0v3bomb Such a good feeling! Here's to many more Raphael 😄,0,0,en,l0v3bomb,17108369,667802160785043456,,,,,
668798629201780736,2015-11-23 14:29:53,@snarkysteff We're glad you got sorted Steffani. The place looks great! More pics of your adventures please 📷,0,0,en,SnarkySteff,14523404,668751789173293056,,,,,
668797901838163968,2015-11-23 14:27:00,@kakibot This is adorable Katerina! We're so pleased your host is making you feel at home 💕,0,0,en,KakiBot,56679239,668774642648260611,,,,,
668790428494340096,2015-11-23 13:57:18,@heritagegarden Thank you for the opportunity! It's our pleasure.,0,0,en,HeritageGarden,597873132,668783720300679168,,,,,
668789779203547136,2015-11-23 13:54:43,@buckybeeman Thanks so much for being a part of it all Bucky - was great to host you all! #AirbnbOpen,0,0,en,BuckyBeeman,81833641,668279500862595073,,,,,
668784625418960896,2015-11-23 13:34:14,@auuubreyrose Was the cat on the boat?? That would be the ultimate 🐱,0,0,en,auuubreyrose,28054281,668286199249940481,,,,,
668784426592165888,2015-11-23 13:33:27,@cjlofland Music to our ears Chris! We're glad your host is taking such good care of you. Here's to many more amazing adventures 😄,0,0,en,cjlofland,54430047,668756705245659136,,,,,
668747958473596928,2015-11-23 11:08:32,@lisarosa Life Long Learning is what it's all about Lisa! Thank you so much for welcoming the world.,0,0,en,lisarosa,16850275,668733578440744960,,,,,
668744997118844929,2015-11-23 10:56:46,@cjlofland Sounds delicious Chris! Have a great time in Japan.,1,0,en,cjlofland,54430047,668734870349180928,,,,,
668607125539672064,2015-11-23 01:48:55,@aghanomics Sorry to hear that Kareem! Which browser and device are you currently using?,0,0,en,Aghanomics,265159806,668606850963775488,,,,,
668598289076371456,2015-11-23 01:13:48,"Reclaimed wood + 100 acres of forest + pool + hammocks = the perfect ""adult-sized treehouse"" https://t.co/SwkYM5590H https://t.co/3VPAUcCbvm",102,38,en,,,,United States,US,"San Francisco, CA",city,
667814040396140545,2015-11-20 21:17:29,@dekerdaily Can you please DM us the email you use to login? Thanks,1,1,en,DekerDaily,40387608,667813807750680576,,,,,
667754971094470657,2015-11-20 17:22:46,@manmakecoffee Wow - stunning!,2,0,en,manmakecoffee,2889148967,667751711050702848,,,,,
667753917397213185,2015-11-20 17:18:34,@knoblauchkatze Welcome to the community! Where are you off to first??,0,0,en,Knoblauchkatze,425574781,667584194650968064,,,,,
667722962792013824,2015-11-20 15:15:34,@101holidays Sounds perfect Mark - cheers to a great weekend 🍻,0,0,en,101holidays,18044352,667710026409189376,,,,,
667721315508461568,2015-11-20 15:09:01,@marygarden Wow! That's dedication Mary. Thanks so much for showing your guests the sights 🗻,0,0,en,marygarden,19552381,667524673949663233,,,,,
667718035382403072,2015-11-20 14:55:59,@sarahpeerani Wonderful words indeed! Have an amazing time Sarah.,1,0,en,SarahPeerani,2751387315,667698397915308033,,,,,
667717615083720704,2015-11-20 14:54:19,@akiraaeska Looks pretty good to us Akira! Thanks to Susanna for hosting you so well.,0,0,en,akiraaeska,1204241713,667557904388493313,,,,,
