id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670178409004314626,2015-11-27 09:52:38,"[Jobs] Looking for Account Executive, Commercial 
https://t.co/AaekLGezZn #job",0,1,en,,,,,,,,
668910050824560640,2015-11-23 21:52:38,"[Jobs] Looking for Customer Support Representative 
https://t.co/s5qErHsMOT #job",0,0,en,,,,,,,,
667758738649018369,2015-11-20 17:37:44,RT @Duftydownunder: .@AppDirect getting ready for @IDC  Telco Summit in Asia today ! @LincolnLincoln https://t.co/ZGR6ETc8xq,0,4,en,,,,,,,,
667641693060145152,2015-11-20 09:52:38,"[Jobs] Looking for Technical Program Manager 
https://t.co/B1pMmXkUgw #job",0,2,en,,,,,,,,
667417054723620864,2015-11-19 19:00:00,"Thanks to all who attended the ""10 Keys to Selling SaaS to SMBs"" webinar today! On-demand version available here: https://t.co/6LD0iaa2fr",2,1,en,,,,,,,,
667383019561476100,2015-11-19 16:44:45,"Live Customer Success webinar starts in 15 minutes, there's still time to register! https://t.co/X2zFI5N9Yp https://t.co/Oz5h3bTB4i",0,0,en,,,,,,,,
667099909024256000,2015-11-18 21:59:47,"RT @danielsaks: Big news from @AppCarousel, an @AppDirect company!  https://t.co/cFw9MOVH5A",0,5,en,,,,,,,,
666737450669252608,2015-11-17 21:59:30,Proud to be featured on @CRN's 15 Cool Cloud Companies And Their Even Cooler Products list: https://t.co/TeBSdZkIe9 https://t.co/zAOkwQ4DC6,1,2,en,,,,,,,,
666727733221814272,2015-11-17 21:20:53,"RT @VentureBuilder: Series B it's about momentum, proof points &amp; relationships #CIX2015 great panel w. @iNovia's @varagesale @Appdirect htt…",0,5,en,,,,,,,,
666695784688189440,2015-11-17 19:13:56,.@AppDirect continues to make a splash in Asia at the @Microsoft APAC CSP workshop this week. https://t.co/9Xv2YQtXMF,1,3,en,,,,,,,,
666681631076253696,2015-11-17 18:17:41,"Exciting news! Jaguar Land Rover selects @AppCarousel, an @AppDirect subsidiary, to power its connected cars: https://t.co/H21XWI9mBI",0,5,en,,,,,,,,
666405936165179392,2015-11-17 00:02:11,@beetorr Thanks for reaching out! Please send us your email address (here or via DM) and a member of our team will be in touch shortly.,0,0,en,beetorr,233339257,666305313448923136,,,,,
666404422717677568,2015-11-16 23:56:10,Best practices for @Microsoft CSPs to reduce churn and increase ROI around customer support: https://t.co/0QVc91r9xa https://t.co/WL7PF92GYv,2,5,en,,,,,,,,
666373335677317120,2015-11-16 21:52:38,"[Jobs] Looking for Principal Engineer, Identity and Access Management 
https://t.co/t1DNgwW70X #job",0,0,en,,,,,,,,
665224252057108480,2015-11-13 17:46:35,.@AppDirect Co-CEO @danielsaks to speak on panel about growing and scaling with new funding at #CIX2015 on 11/17. https://t.co/QN5Ckvq2GW,6,2,en,,,,,,,,
665104978277736448,2015-11-13 09:52:38,"[Jobs] Looking for Strategic, New Business Sales Manager, North America 
https://t.co/Ww9BHhlFuo #job",3,2,en,,,,,,,,
664946523818487808,2015-11-12 23:23:00,Our new Montreal team members introducing themselves at Town Hall today! https://t.co/PuSP1C3WcB,5,2,en,,,,,,,,
664563666638012418,2015-11-11 22:01:39,Here's how the @Microsoft CSP program can help you create more value for your company and customers: https://t.co/DbfhsTrEbg,1,2,en,,,,,,,,
663836620827860993,2015-11-09 21:52:38,"[Jobs] Looking for Customer Success Manager, EMEA 
https://t.co/YSIaRe8VMs #job",0,0,en,,,,,,,,
662568263021420544,2015-11-06 09:52:38,"[Jobs] Looking for Director of Content Marketing 
https://t.co/gdsoRw6x7P #job",1,0,en,,,,,,,,
662025168701808640,2015-11-04 21:54:34,Great video of @danielsaks at #WebSummit explaining his strategies for building @AppDirect from the ground up https://t.co/bN2wuW19IH,1,0,en,,,,,,,,
661942228093415424,2015-11-04 16:25:00,RT @e_nation: .@danielsaks from @AppDirect discusses how Europe can create more unicorns https://t.co/duL1wQj83t #WebSummit https://t.co/4t…,0,5,en,,,,,,,,
661661669345656832,2015-11-03 21:50:09,"AppDirect is looking for: Leftronic Senior Backend Engineer
https://t.co/9YsLSeS9QJ #job",0,0,en,,,,,,,,
661646415937040384,2015-11-03 20:49:33,"AppDirect is looking for: Technical Writer
https://t.co/z5YEDTwTsV #job",0,0,en,,,,,,,,
661593182937948160,2015-11-03 17:18:01,.@AppDirect's @danielsaks presenting in front of a packed house on developer monetization strategies at #WebSummit! https://t.co/zS1WfliV1S,5,3,en,,,,,,,,
661585381436051456,2015-11-03 16:47:01,RT @MADARConsulting: Live from #websummit:  @danielsaks CEO of @Appdirect share how exactly we can make money from the cloud.,0,1,en,,,,,,,,
661585306316050432,2015-11-03 16:46:43,RT @danielsaks: Great crowd @WebSummitHQ  so much excitement around the global cloud economy! @AppDirect AppDirect https://t.co/FAlZPuXCBw,0,6,en,,,,,,,,
661576844160999425,2015-11-03 16:13:05,What's important when building an SMB cloud GTM strategy? Find out on 11/19 in this webinar: https://t.co/BvyJNat3e9 https://t.co/Paiwzzsnov,1,1,en,,,,,,,,
