id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
179067471620345857,2012-03-12 04:53:06,"Yunnan coffee green bean, China. http://t.co/s0lbYWg6",0,0,en,,,,,,,,
407297232,2007-11-12 06:09:52,www.beibei.biz 贝贝咖啡同学会，既不空谈咖啡文化，又不拘泥于技法和咖啡职业，只是朴素的喝咖啡；想尽量保持 www.beibei.biz 的纯正性，及时开展边缘服务项目，计划启用新域名 www.HomeCoffee.net 家有咖啡，简单温馨明了。,0,0,zh,,,,,,,,
407289162,2007-11-12 06:04:56,近来每天用 swissgold 瑞士金滤泡器 so...... www.swissgold.cn,0,0,zh,,,,,,,,
278730962,2007-09-19 09:35:40,kipii.com 极派。用心生活，用爱交流。计划中...,0,0,zh,,,,,,,,
231681852,2007-08-28 04:58:21,www.beibei.biz 贝贝咖啡同学会的百度空间备份   http://hi.baidu.com/blogcoffee,0,0,zh,,,,,,,,
231675492,2007-08-28 04:53:52,"其实觉得以前做得更好...

http://www.beibei.biz/957.html 用半小时等一杯好咖啡 --广州《新快报》采访老豆子beibei",0,0,zh,,,,,,,,
231656332,2007-08-28 04:40:11,近来考虑是不是要减少爱好书写战线，或许专注于 贝贝咖啡同学会 www.beibei.biz 会更好。,0,0,zh,,,,,,,,
160459862,2007-07-21 02:25:27,www.beibei.biz 贝贝咖啡同学会 有很多原创的咖啡内容 但 论坛 http://www.beibei.biz/modules/discuz/forum/index.php www.procope.cn 却一直不怎么火  或许都在等待qq群聊天,0,0,zh,,,,,,,,
160458812,2007-07-21 02:24:05,辛辛苦苦的策划、设计 www.myshows.cn  后来不投人、不投钱 哎......可怜俺的创意。,0,0,zh,,,,,,,,
160455672,2007-07-21 02:21:00,"为 www.rocktea.com 增加了国内的种子网站 http://feed.feedsky.com/dahongpao

相当于备份 分散 安全第一",0,0,zh,,,,,,,,
148259882,2007-07-13 14:05:08,"调整 www.beibei.biz 贝贝咖啡同学会
调整 www.rocktea.com 岩茶会",0,0,zh,,,,,,,,
