id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670281605848670208,2015-11-27 16:42:42,@valequai we hope you have a great experience. Enjoy the weekend!,1,0,en,valequai,4010195428,670277440422477824,,,,,
670227804664000512,2015-11-27 13:08:55,"@premkumarcg Hello! Thanks for notifying, I'll forward to the appropriate team (also pinging @BlaBlaCarIN)",0,0,en,premkumarcg,107927058,670223288644210689,,,,,
670218244716945409,2015-11-27 12:30:56,"@RomainQr @Nioushka_MT @UnLvnatique C'est vrai, BlaBlaCar est une entreprise indépendante :-) https://t.co/LKbEwrEwhp",1,0,fr,RomainQr,1691868259,670217448025694208,,,,,
670168559566372864,2015-11-27 09:13:30,RT @_TheFamily: Presentation: How we design at BlaBlaCar by @jupelletier https://t.co/BEIEBnzSse #product #design,0,5,en,,,,,,,,
670156780001955840,2015-11-27 08:26:41,"@MichelNizon @jowyang @rachelbotsman Hi Michel, there are plenty of cross-border trips offered on the platform, including London to Paris !",1,0,en,MichelNizon,3362248523,670152546447704064,,,,,
669904901254864896,2015-11-26 15:45:49,@difkindoftravel crossing fingers you find a ride that suits you!,0,0,en,difkindoftravel,42261034,669903082558529537,,,,,
669901350369673217,2015-11-26 15:31:42,@difkindoftravel You sound like an awesome ridesharer! Enjoy your trip :-),0,0,en,difkindoftravel,42261034,669878549453623297,,,,,
669487813310750720,2015-11-25 12:08:27,RT @girondins: You will never drive alone with @BlaBlaCar_FR and Girondins ! https://t.co/cNttoExxB0 https://t.co/N9ks1BGqKI,0,6,en,,,,,,,,
668798067320168449,2015-11-23 14:27:39,"RT @istanbulstartup: Do you know the Story of Blablacar? 
https://t.co/1vnJDv97kR",0,2,en,,,,,,,,
668794614745341952,2015-11-23 14:13:56,"RT @TheEconomist: A $1.6 billion French startup set to be a roaring success, offering empty car seats https://t.co/bDIu7i5n1X https://t.co/…",0,117,en,,,,,,,,
