id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670305392463880192,2015-11-27 18:17:13,Here’s how all your favorite celebs celebrated Turkey Day https://t.co/RE0Juwq98q https://t.co/ldv4oVMWQx,56,7,en,,,,,,,,
670301369950216192,2015-11-27 18:01:14,19 “She’s The Man” quotes that will always make you laugh https://t.co/98iHOJ6mup https://t.co/VAPq3bcB9m,512,245,en,,,,,,,,
670299872034209792,2015-11-27 17:55:17,RT @BuzzFeedEnt: The story behind the astonishing one-take boxing scene in #CREED: https://t.co/LROsvtCPfA via @adambvary #spoilers https:/…,0,25,en,,,,,,,,
670298823386886148,2015-11-27 17:51:07,This Vine perfectly sums up the difference between the U.S. and the U.K. https://t.co/89NdkN1MOE https://t.co/AaedSKk5Me,1897,1071,en,,,,,,,,
670291759402889216,2015-11-27 17:23:03,Drop everything because it’s fat squirrel season https://t.co/MOpNZLGAsJ https://t.co/qKbi0GXKls,701,349,en,,,,,,,,
670277405911547906,2015-11-27 16:26:01,Here's what it takes to burn off your Thanksgiving dinner https://t.co/TqZ1VPnnlN https://t.co/LRsOJFRZJJ,111,47,en,,,,,,,,
670272939221262336,2015-11-27 16:08:16,"RT @SteveKandell: Last year, these factories in Shenzhen were making selfie sticks; this year, hoverboards https://t.co/TOHohZsQlz https://…",0,47,en,,,,,,,,
670272616062656512,2015-11-27 16:06:59,RT @BuzzFeedNews: Follow @BuzzFeedNews' @marygeorgant who is in Chicago covering the #LaquanMcDonald protests on Black Friday https://t.co/…,0,25,en,,,,,,,,
670261600373350400,2015-11-27 15:23:13,RT @BuzzFeedNews: Here’s How You Should Actually Be Eating Thanksgiving Leftovers https://t.co/fgFwPy2Swc https://t.co/8g1QmsONTe,0,57,en,,,,,,,,
670260696857378816,2015-11-27 15:19:37,RT @BuzzFeedBen: Great Black Friday story: @jbasher went to the heart of the hoverboard boom in Shenzen https://t.co/xAajQyDd7W,0,16,en,,,,,,,,
670260582021513216,2015-11-27 15:19:10,"RT @Bernstein: In October, I went to China to see the factory where hoverboards come from. I discovered a huge+crazy industry https://t.co/…",0,49,en,,,,,,,,
670260511234260997,2015-11-27 15:18:53,"RT @fwd: Here's how China's nimble, versatile, factory system made the Hoverboard explosion possible  https://t.co/RN5acGffql https://t.co/…",0,14,en,,,,,,,,
670260446776152065,2015-11-27 15:18:38,"RT @BuzzFeedSports: The Ludicrously Difficult NFL Geography Quiz

https://t.co/iDZmaIzCtL https://t.co/iQhMAjlde4",0,34,en,,,,,,,,
670258295475585025,2015-11-27 15:10:05,Here’s how you should actually be eating Thanksgiving leftovers https://t.co/gbX4ojgcBf https://t.co/GUSuHqIWBf,338,92,en,,,,,,,,
670243450374066177,2015-11-27 14:11:05,What should you buy on Black Friday? https://t.co/V9YaNwfIrE,174,32,en,,,,,,,,
670233697375928320,2015-11-27 13:32:20,RT @BuzzFeedUK: Important: https://t.co/afK6QvM3vB,0,589,en,,,,,,,,
670227347400867841,2015-11-27 13:07:06,"This is what $1,000 a month in rent would get you all around the U.S. https://t.co/E3kfxOvUsW",316,133,en,,,,,,,,
670214264683036672,2015-11-27 12:15:07,26 Asian beauty products you should totally spend your hard-earned money on https://t.co/IPettQkMmT https://t.co/VeihUfI4yU,594,86,en,,,,,,,,
670203946468700161,2015-11-27 11:34:07,16 situations people who love gossip know too well https://t.co/WogOcrqZyJ https://t.co/mRNvponuCP,397,113,en,,,,,,,,
670188321633468416,2015-11-27 10:32:02,People are proving no dick is too big by dropping condoms on their heads https://t.co/y3D9SDU0fg https://t.co/95CxJLLmEP,372,98,en,,,,,,,,
670176510796570624,2015-11-27 09:45:06,RT @BuzzFeedUK: The real walk of shame: https://t.co/jmPJtivarB,0,230,en,,,,,,,,
670173473818341376,2015-11-27 09:33:02,18 people who have taken things a step too far https://t.co/Hk6KYCmYgd https://t.co/sTcuP1fzGu,216,34,en,,,,,,,,
670159652655534080,2015-11-27 08:38:06,17 comics about being tired that are too real https://t.co/JTxqBAD755 https://t.co/qm3UpD3ud9,499,272,en,,,,,,,,
670143022307250176,2015-11-27 07:32:01,23 historic pictures from the Macy’s Thanksgiving Day Parade https://t.co/rxrhnqWYWG https://t.co/FPDYmZJMOX,204,71,en,,,,,,,,
670134515810045952,2015-11-27 06:58:13,RT @janinegibson: BuzzFeed News’s Tom Warren explaining all on @BBCr4today right now.  https://t.co/eHjBSvoA1c,0,11,en,,,,,,,,
670122660416741376,2015-11-27 06:11:07,What should you buy on #BlackFriday? https://t.co/V9YaNwfIrE,205,47,en,,,,,,,,
670111322873266176,2015-11-27 05:26:04,9 #BlackFriday shopping hacks that will actually blow your mind https://t.co/HCJBzhn2aN https://t.co/OWEwcOniKo,291,66,en,,,,,,,,
670109856628645888,2015-11-27 05:20:14,RT @PaperWash: when the Subway sandwich artist is putting too much lettuce on your sub https://t.co/CvmkJKicMw,0,4578,en,,,,,,,,
670104404616458240,2015-11-27 04:58:34,RT @JasonBretWells: Politics Got Dragged Onto America’s Thanksgiving Table And People Lost It On Twitter https://t.co/odNFtbpf4j https://t.…,0,66,en,,,,,,,,
670102759358746624,2015-11-27 04:52:02,"Politics Got Dragged Onto America’s Thanksgiving Table And People Lost It On Twitter
https://t.co/PqQLafQTHw",182,63,en,,,,,,,,
670091447777947648,2015-11-27 04:07:05,American women are drinking more and men are drinking less https://t.co/QgsxBWWcek,302,135,en,,,,,,,,
670083077641797632,2015-11-27 03:33:49,RT @BuzzFeedSports: Congrats Brett Favre! https://t.co/WMBsFgOBkZ,0,189,fr,,,,,,,,
670081460464984064,2015-11-27 03:27:24,RT @electrolemon: 4 months ago i quietly left 57 dvds of 'click' at my parents' house and they've still never noticed or mentioned it http:…,0,49984,en,,,,,,,,
670080279785156609,2015-11-27 03:22:42,RT @expresident: The 30 Most Glorious Moments In Passive Aggressive History https://t.co/AHl6AzKnnC via @buzzfeed,0,47,en,,,,,,,,
670078067830845440,2015-11-27 03:13:55,"30 Times People Took Passive Aggression To The Next Level
 https://t.co/SiItrOgxi2 https://t.co/WuLg1evaG3",689,151,en,,,,,,,,
670077604297248768,2015-11-27 03:12:04,19 of your most horrifying Thanksgiving family drama stories https://t.co/fvpm6fHwtA https://t.co/pSnF9tDDWB,343,76,en,,,,,,,,
670075713735761921,2015-11-27 03:04:34,RT @polls: On a scale of 1-4 (with 4 being the most bored) how bored are you right now?,0,114,en,,,,,,,,
670075682265919488,2015-11-27 03:04:26,RT @polls: Could you eat another meal right now?,0,94,en,,,,,,,,
670067831808110592,2015-11-27 02:33:15,RT @polls: Which Direction?,0,264,en,,,,,,,,
670067281905344512,2015-11-27 02:31:03,Reminder that it’s not turkey that’s making you sleepy https://t.co/KjclBPshUQ,131,60,en,,,,,,,,
670044389192785922,2015-11-27 01:00:05,18 times the #ThanksgivingClapback was too perfect https://t.co/2PumYFeZiC https://t.co/LjNlggrbI2,927,418,en,,,,,,,,
670040281501335552,2015-11-27 00:43:46,RT @polls: Should you flirt with your hot cousin during your Thanksgiving meal,0,100,en,,,,,,,,
670038842624225280,2015-11-27 00:38:03,21 things we’re all sick of hearing on Thanksgiving https://t.co/AvytAcwje0 https://t.co/Hw97vYmKaR,347,103,en,,,,,,,,
670027311467634688,2015-11-26 23:52:14,RT @polls: Best way to get drunk,0,69,en,,,,,,,,
670027281147035648,2015-11-26 23:52:06,RT @polls: What would you do if you were dating someone and then you found out they like pulp with their orange juice?,0,259,en,,,,,,,,
670027271831425024,2015-11-26 23:52:04,RT @polls: Are you eating pie right now?,0,54,en,,,,,,,,
670018466296893442,2015-11-26 23:17:05,Here are the stores that are actually closed on Thanksgiving  https://t.co/2AkPb5LRPh,216,73,en,,,,,,,,
670008956107022337,2015-11-26 22:39:17,RT @MattBellassai: thankful for guys with good butts who photograph them for the Internet 🍑🦃,0,752,en,,,,,,,,
670000587069480960,2015-11-26 22:06:02,21 tweets about Thanksgiving that are way too real https://t.co/eVxye3Rv40 https://t.co/0pTvuU3LIU,1055,261,en,,,,,,,,
669987496210509825,2015-11-26 21:14:01,How to draw a really cool turkey and impress everyone https://t.co/Zdm8CEdwRK https://t.co/mL7dnbrYyS,635,261,en,,,,,,,,
669983040618254337,2015-11-26 20:56:19,RT @polls: Best Thanksgiving side,0,56,en,,,,,,,,
669983031571140609,2015-11-26 20:56:17,RT @polls: .@dallascowboys or @Panthers?,0,59,und,,,,,,,,
669983007839617024,2015-11-26 20:56:11,RT @polls: Coffee or tea?,0,63,en,,,,,,,,
669982997094006784,2015-11-26 20:56:08,RT @polls: Does @Drake eat everything on his plate or leave a little unfinished,0,95,en,,,,,,,,
669976495436075009,2015-11-26 20:30:18,"How to get your green card in America
https://t.co/z6uvmE3HGN https://t.co/Im1shgttIR",188,51,en,,,,,,,,
669975623104913408,2015-11-26 20:26:50,RT @BuzzFeedSports: The Washington Redskins are getting ripped on Twitter for their annual Thanksgiving tweet: https://t.co/I8KsmgFDIC,0,49,en,,,,,,,,
669972989555929088,2015-11-26 20:16:22,RT @BuzzFeedHealth: Time to get my priorities in order. https://t.co/9NwPPeRqcZ,0,208,en,,,,,,,,
669968910746152960,2015-11-26 20:00:10,19 hilarious tweets about having to sit at the kids’ table on Thanksgiving https://t.co/Alo2jLk3R5 https://t.co/hfJl53XuAQ,513,112,en,,,,,,,,
669962858403237888,2015-11-26 19:36:07,Here’s exactly how to handle every awkward holiday conversation https://t.co/hT7JevAzRY https://t.co/UYj2NNWqGv,263,67,en,,,,,,,,
669959924093485057,2015-11-26 19:24:27,RT @BuzzFeedSports: Rolling into Thanksgiving dinner like https://t.co/MPwZOkcZOs,0,822,en,,,,,,,,
669955849067044864,2015-11-26 19:08:16,RT @polls: Spend time with your family or talk to strangers online?,0,50,en,,,,,,,,
669955760156184581,2015-11-26 19:07:55,RT @polls: Best meal of the day,0,38,en,,,,,,,,
669955726165471232,2015-11-26 19:07:46,RT @polls: Turkey or chicken?,0,37,en,,,,,,,,
669954408013254656,2015-11-26 19:02:32,RT @BuzzFeedNews: 37 Facts You Probably Never Knew About The Macy’s Thanksgiving Day Parade https://t.co/hQRXhsYYFX https://t.co/hMo1V1kVVe,0,57,en,,,,,,,,
669949523352018946,2015-11-26 18:43:08,RT @BuzzFeedNews: Chicago Protesters Want Attention On More Than The #LaquanMcDonald Video https://t.co/Hdc3afpZe8 https://t.co/G9aZ1ukRZI,0,38,en,,,,,,,,
669948470954999809,2015-11-26 18:38:57,RT @BuzzFeedFood: Wake me up when it's time for pie https://t.co/1f7vbVJTrs,0,181,en,,,,,,,,
669944731242131457,2015-11-26 18:24:05,26 pictures anyone who’s celebrated Thanksgiving will recognize https://t.co/YXCkdrAtBG https://t.co/YANhAGBYJU,559,139,en,,,,,,,,
669939318086086656,2015-11-26 18:02:34,RT @BuzzFeedAnimals: What do you mean it isn’t done yet? https://t.co/FsXTtmruDQ,0,148,en,,,,,,,,
669934850720342016,2015-11-26 17:44:49,RT @BuzzFeedComics: Louis C.K. was right https://t.co/be3Gqhy0Vw,0,330,en,,,,,,,,
669930383178240001,2015-11-26 17:27:04,17 things picky eaters don’t want to hear at Thanksgiving https://t.co/2gqGa5ei0l https://t.co/0K4AluHEFE,439,211,en,,,,,,,,
669930151883337729,2015-11-26 17:26:09,"RT @BuzzFeedBooks: “The book I’m most thankful for this year is AMONG OTHERS by Jo Walton."" -@rainbowrowell: https://t.co/KJv2Thjyu5 https:…",0,55,en,,,,,,,,
669930141716520960,2015-11-26 17:26:07,"RT @BuzzFeedMusic: I’ve been thankin’, I’ve been thankin’. https://t.co/GF3R21N97g",0,1835,en,,,,,,,,
669927391402307584,2015-11-26 17:15:11,Plan ahead! https://t.co/7NLYtIGUH6,157,24,en,,,,,,,,
669917133497856002,2015-11-26 16:34:25,"RT @BuzzFeedFood: We turned classic Thanksgiving foods into boozy cocktails. Because reasons. 
https://t.co/BJif7z1TMA https://t.co/xz17w2o…",0,60,en,,,,,,,,
669913533673398273,2015-11-26 16:20:07,Happy Thanksgiving! 🍴🍗 https://t.co/0apm6bJp9Q,1781,1804,en,,,,,,,,
669909950492188672,2015-11-26 16:05:53,"RT @BuzzFeedBiz: How Black Friday become a thing, from gold panics in the 1860s to to today's Walmart fights https://t.co/SlIcF88b1W https:…",0,40,en,,,,,,,,
669907600310452224,2015-11-26 15:56:32,RT @YrBFF: wow https://t.co/Jtuzo3B2vA,0,714,und,,,,,,,,
669906679232921601,2015-11-26 15:52:53,RT @YrBFF: same https://t.co/c3nIPrprW2,0,1461,en,,,,,,,,
669906644793499653,2015-11-26 15:52:45,RT @YrBFF: If you need a Thanksgiving outfit https://t.co/dL1LTyuXYF,0,743,en,,,,,,,,
669904033893752832,2015-11-26 15:42:22,RT @BuzzFeedComics: Awkward https://t.co/31P39nNM2O,0,126,en,,,,,,,,
669899936109076481,2015-11-26 15:26:05,"The 30 most glorious moments in passive aggressive history
https://t.co/yzyNhPHEWs https://t.co/dJEP3ZznFX",1279,334,en,,,,,,,,
669896766045757440,2015-11-26 15:13:29,RT @BuzzFeedComedy: 9 Ways To Avoid Uncomfortable Conversations With Your Relatives This Thanksgiving https://t.co/mSWPdUu6ut https://t.co/…,0,62,en,,,,,,,,
