id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669657990245412864,2015-11-25 23:24:41,Thanks for coming by to visit us today @Jon_Favreau! We were thrilled to share our technology with you #3dprinting https://t.co/rjqR7SO09w,12,9,en,,,,,,,,
669186028767342592,2015-11-24 16:09:16,RT @Joseph_DeSimone: Honored for @Carbon3D to be recipient of 2015 CG Technology Award. https://t.co/odwPOgNIBc. On behalf of our team and …,0,6,en,,,,,,,,
669184921928249344,2015-11-24 16:04:52,"We just watched it. Too funny! ""Who me, as for me."" @warrenhogarth @Joseph_DeSimone",0,0,en,warrenhogarth,16685069,669059928141631488,,,,,
667868776906387456,2015-11-21 00:54:59,RT @Joseph_DeSimone: Enjoying watching the Cal-Stanford rivalry among our engineers @Carbon3D Reminiscent of our @UNC @DukeU rivalry! https…,0,2,en,,,,,,,,
667545611013505029,2015-11-20 03:30:50,"""Feeling I can truly make a difference &amp; knowing I have full support as a working parent makes me feel privileged to be here""- @hamiksch",2,2,en,,,,,,,,
667541369049628672,2015-11-20 03:13:59,"""If you don't have an array of perspectives and backgrounds around the table, you're missing out""- @Joseph_DeSimone on diversity",3,5,en,,,,,,,,
666283607699226624,2015-11-16 15:56:05,RT @PhDeSimone: Excited to represent @Carbon3D in Frankfurt for the start of #formnext looking forward to seeing what's new! #3dprinting #f…,0,6,en,,,,,,,,
665316938000666625,2015-11-13 23:54:53,"You learn the most from those that you have the least in common with. Join our @Carbon3D  #diversity event on 11/19
https://t.co/IrKwfnILvO",5,5,en,,,,,,,,
665013329027469313,2015-11-13 03:48:27,RT @EY_Growth: You learn the most from those that you have the least in common with: @Joseph_DeSimone of Carbon3D on the importance of dive…,0,8,en,,,,,,,,
664866725771345920,2015-11-12 18:05:54,"RT @Joseph_DeSimone: ""Things have never been faster, and today is slower than tomorrow will be"" @JenniferBMorgan @EY_Growth @Carbon3D Great…",0,1,en,,,,,,,,
662744350070206464,2015-11-06 21:32:20,RT @jimgoetz: partners moved from disbelief to awe after @Joseph_DeSimone @UNC demo. @aatilley on @Carbon3D's manufacturing plans: https://…,0,18,en,,,,,,,,
662720277386674180,2015-11-06 19:56:41,Looking for a great opp at a company that's committed to continued innovation? Attend our workplace diversity talk https://t.co/TNu11qNKSs,2,6,en,,,,,,,,
662502116678746112,2015-11-06 05:29:47,"Check out a new story from @aatilley @Forbes ""How Carbon3D Plans To Transform The Way We Make Stuff"" #3Dprinting https://t.co/DvxWihx1jr",7,8,en,,,,,,,,
662058364751319040,2015-11-05 00:06:29,RT @PhDeSimone: Brother @jasonmlopes continues to be an awesome @Carbon3D beta user. #3dprinting  https://t.co/MgYr8VKIIi,0,4,en,,,,,,,,
662058268685021184,2015-11-05 00:06:06,.@jasonmlopes You're the best Jason!,1,0,en,jasonmlopes,82656089,662001771649323008,,,,,
662038241478971392,2015-11-04 22:46:31,We're excited to host our first talk on workplace diversity and its vital role in innovation (11/19). Learn more: https://t.co/IrKwfnILvO,3,3,en,,,,,,,,
661591776147304448,2015-11-03 17:12:25,Just wrapped the intelligent manufacturing panel w/@brianbokeefe @HelmuthLudwig @Dyson @Flextronics #fortuneglobal https://t.co/QpAXGLCIDY,8,7,en,,,,,,,,
661218008589701120,2015-11-02 16:27:12,We're excited to have @Joseph_DeSimone on the Intelligent Manufacturing panel w/ @Dyson @Siemens at this year's #FortuneGlobal Forum 11/3,2,1,en,,,,,,,,
660885366174388224,2015-11-01 18:25:24,"RT @Joseph_DeSimone: The hardware engineering team @Carbon3D during our weekly review, on Halloween! Despite looks, amazing talent! https:/…",0,3,en,,,,,,,,
659165535779745792,2015-10-28 00:31:25,RT @Joseph_DeSimone: In San Diego to attend Illumina Sci Adv Bd Mtg to share exciting healthcare opportunities w @Carbon3D CLIP tech! https…,0,1,en,,,,,,,,
657647579560153088,2015-10-23 19:59:36,Our very own @hamiksch teaching us her philosophy about customer service. She's the greatest. Yay!!! https://t.co/TC5JJP1Vlf,6,1,en,,,,,,,,
657636985092214784,2015-10-23 19:17:30,bringing all our groups together for some usual Friday lunchtime bonding #3dprinting https://t.co/MIXXM97gmJ,4,0,en,,,,,,,,
648546981984387072,2015-09-28 17:17:04,RT @PhDeSimone: On my way to visit my UK friends  @RPGary @swearstoomuch @RPES12 and attend @TCTEvents! Can't wait! @carbon3d #3dprinting #…,0,2,en,,,,,,,,
646815171902509056,2015-09-23 22:35:28,RT @PhDeSimone: Ready to kick off my European tour to show folks what we are up to @Carbon3D! Can't wait to attend @TCTEvents next week! #3…,0,8,en,,,,,,,,
639226498470187008,2015-09-03 00:00:48,Special guests @lukekelly1 &amp; @Joseph_DeSimone showing their support at the @Carbon3D women's get together yesterday! http://t.co/Hsk8kChpdl,10,4,en,,,,,,,,
638441034293252096,2015-08-31 19:59:38,"RT @GoogleVentures: Portfolio company job of the week: Director of Recruiting at @Carbon3D (Redwood City, CA) — https://t.co/n4s7QrItnu",0,16,en,,,,,,,,
634533539288059906,2015-08-21 01:12:39,"RT @TechCrunch: .@Carbon3D will make 3D manufacturing a reality, raising $100M led by Google Ventures http://t.co/gwhT8uqm5G http://t.co/J4…",0,208,en,,,,,,,,
634369666090033152,2015-08-20 14:21:29,More from @Forbes @aatilley on our $100M series c funding led by @GoogleVentures #3dprinting http://t.co/neoKxYeA33,18,10,en,,,,,,,,
634357307657183232,2015-08-20 13:32:22,RT @VentureBeat: Carbon3D nabs $100M round led by Google Ventures for its 3D printing tech http://t.co/raWhy6V4uC by @thekenyeung http://t.…,0,41,en,,,,,,,,
634356905314377728,2015-08-20 13:30:46,Today we announced a $100M Series C investment led by @GoogleVentures check out the news via @TechCrunch http://t.co/8vEfuEf3jD,25,18,en,,,,,,,,
