id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669817028790886400,2015-11-26 09:56:38,@riboe_kent How are the tests being performed?,0,0,en,riboe_kent,1566071318,669799716683710464,,,,,
669553483293437952,2015-11-25 16:29:24,@drchuck @1and1 What's up?,0,0,en,drchuck,10185562,669553221334114304,,,,,
669419148976476160,2015-11-25 07:35:36,@zimmergren I'd be happy to look into this. Please contact me jgc @ cloudflare . com.,0,0,en,zimmergren,15281261,669411344240746498,,,,,
669121106020802560,2015-11-24 11:51:18,@1fix Please contact support (support @ cloudflare . com) or open a support ticket.,0,0,en,1fix,29691921,669117761939972096,,,,,
669097635815534592,2015-11-24 10:18:02,@thomasmoen support @ cloudflare . com,0,0,en,thomasmoen,8184422,669096423586144256,,,,,
669096326559375361,2015-11-24 10:12:50,@thomasmoen Is it a support or sales question?,0,0,en,thomasmoen,8184422,669092971246170112,,,,,
668812542983188480,2015-11-23 15:25:10,"@lewispb yes, and it needs to be orange clouded too. If we can't receive the request for the URL, we can't redirect it for you :)",0,0,en,lewispb,15496561,668809951377272832,,,,,
668809381195227136,2015-11-23 15:12:37,@Sami_Lehtinen Sorry about that. We'll get that pointer moved to the correct spot.,1,0,en,Sami_Lehtinen,631599218,668806083536908288,,,,,
668805134139412480,2015-11-23 14:55:44,@Techhelplistcom @PayPal Could you please send some more information to our abuse team: https://t.co/ekcyEjgVya,0,0,en,Techhelplistcom,1222068722,668787455756111873,,,,,
668751244098424832,2015-11-23 11:21:36,@FredBrooker not clear what you mean - write to support with more details about what you're asking for and we can take a look,1,0,en,FredBrooker,49638970,668735052180758528,,,,,
668435338377961472,2015-11-22 14:26:18,@supergirlsally send an email support at cloudflare dot com with some details,1,0,en,supergirlsally,55120183,668424942346612736,,,,,
668035621500411904,2015-11-21 11:57:58,@influenc3 Visit https://t.co/ekcyEjgVya for information and instructions,0,0,en,influenc3,46092842,668034356833857536,,,,,
668031469273669632,2015-11-21 11:41:28,@creazionim send details in to support and we'll take a look,0,0,en,creazionim,553476213,668025746183598080,,,,,
668025210629681153,2015-11-21 11:16:36,@creazionim typically means your origin is refusing TCP connections. Please write to our support team with more detail so we can guide you,0,0,en,creazionim,553476213,668023153201954816,,,,,
