id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669617955462709249,2015-11-25 20:45:36,Biz travelers WILL use mobile next year. Whether they stay compliant on mobile is up to you. https://t.co/QXQIVTJ35T https://t.co/dJY94CfwOs,1,1,en,,,,,,,,
669258403189907456,2015-11-24 20:56:52,"What do Apple, Microsoft, Toyota, Ford and chauffeured transportation operators have in common? https://t.co/4tlBX2u06N @NLA4",0,0,en,,,,,,,,
669257867396968448,2015-11-24 20:54:44,RT @RAndrewMinko: How do you protect your employees while they’re in the field? Find out from industry experts on the @deem blog https://t.…,0,1,en,,,,,,,,
669196640566292480,2015-11-24 16:51:26,"Rivals are rivals and competition is competition, but sometimes cooperation is the best thing for you and them https://t.co/4tlBX2LBvn",0,0,en,,,,,,,,
669191414098493440,2015-11-24 16:30:40,Comprehensive analysis of #procurement pressures from @andrewbartolini - with spend management strategies. https://t.co/TOTRHAwK00,1,3,en,,,,,,,,
668948895490158592,2015-11-24 00:26:59,Great #procurement leadership insights from @SigiOsagie and others from @procurious_ #BigIdeas2015 panel. https://t.co/EcbvvbpxJ6,3,2,en,,,,,,,,
668876196143173632,2015-11-23 19:38:06,"""Speaking frankly, Sourcing has never had it so good...Procurement can’t say the same."" @sourcingdoctor on the blog https://t.co/XaRQDDwqm2",0,0,en,,,,,,,,
667753864758607872,2015-11-20 17:18:22,"New on the blog: ""Procurement Project Management Part II: Procurement is Behind the Times"" from @sourcingdoctor https://t.co/XaRQDDwqm2",0,0,en,,,,,,,,
667488593472983041,2015-11-19 23:44:16,The Bangalore #DeemTeam celebrated Diwali last week with some visitors from the SF HQ https://t.co/coHqpPFR2q @WThomasMarks,0,0,en,,,,,,,,
667021719861772288,2015-11-18 16:49:05,"Planning for 2016? Take a Test Drive of our T&amp;E solution, see how much money and time you could be saving next year https://t.co/Ne1nNi8Ucm",0,2,en,,,,,,,,
667020576771301376,2015-11-18 16:44:32,To reimburse or not reimburse: What's your org's policy on expedited airport processing? @TheCoDime  https://t.co/7msE9XgnPW,0,1,en,,,,,,,,
666835481343221760,2015-11-18 04:29:02,RT @Candace_ASUAlum: @deem is looking for a #ProductMarketingManager with a background in #Travel ! Visit https://t.co/6oG3NtWZ8E to apply!…,0,1,en,,,,,,,,
666755586164326400,2015-11-17 23:11:34,"Today on the blog: @Gartner_inc's Chris Pang, @NormTravelTech and @jay_campbell discuss duty of care for #biztravel https://t.co/gOEKX2zVNZ",0,0,en,,,,,,,,
664861479191994368,2015-11-12 17:45:03,"Meet John Trammel, Sr. Manager, Interaction Design on the #UX team at Deem. https://t.co/r6bGGn1Bf3 #DeemTeam",0,0,en,,,,,,,,
664849870931398656,2015-11-12 16:58:56,"""In the beginning, procurement was pretty simple.."" history lesson from @sourcingdoctor in #procurement project mgmt https://t.co/ukc3I8Kak7",0,0,en,,,,,,,,
664531659488759808,2015-11-11 19:54:28,"""B2B can learn from B2C and...the best B2B shopping platforms can improve on the B2C experience."" @sourcingdoctor https://t.co/DKsceboGpD",0,0,en,,,,,,,,
664492123895435264,2015-11-11 17:17:22,RT @WThomasMarks: It's been a truly magical week in India celebrating Diwali with the @deem India team. We have an amazing group of colleag…,0,1,en,,,,,,,,
664118146668728320,2015-11-10 16:31:19,Check out our new expense management case study https://t.co/KVhHz0WdGJ and take a Deem Test Drive today https://t.co/Ne1nNi8Ucm,1,0,en,,,,,,,,
663862403826716673,2015-11-09 23:35:05,Test Drive Deem Travel and Expense today to see how much easier your employee spend management can be https://t.co/Ne1nNi8Ucm,0,1,en,,,,,,,,
663779108388605952,2015-11-09 18:04:06,"Adding a ""Built for @NetSuite"" verification to the Deem SuiteApp https://t.co/7f5udtfqcT. Visit https://t.co/Zp3ftMFw9V for more information",0,0,en,,,,,,,,
663768601271267328,2015-11-09 17:22:21,RT @RAndrewMinko: @Deem New Expense features available https://t.co/yYQT3CYU9P Check them out and take a T&amp;E test drive https://t.co/ICnWYU…,0,1,en,,,,,,,,
662353891757981696,2015-11-05 19:40:48,The #DeemTeam pulled out all the stops for Halloween costumes this year https://t.co/zxDY3ouu9w #DaleyCantDribble https://t.co/GQuKljPpTm,3,1,en,,,,,,,,
662321629469392896,2015-11-05 17:32:36,"Follow up to last week's B2B shopping platform post, @sourcingdoctor shows why even consumers will be envious https://t.co/YHX4yi48ah",0,0,en,,,,,,,,
661974779679797248,2015-11-04 18:34:21,"RT @LeeBellon: Deem Upgrades Digital Wallet with Intelligent Transaction Matching, Simplifying Expense Management @deem https://t.co/rmAMnL…",0,1,en,,,,,,,,
661957690374029312,2015-11-04 17:26:26,New Expense features available today https://t.co/wDG5yKGFOZ Check them out and take a Deem T&amp;E test drive https://t.co/EtOD1enebK,1,1,en,,,,,,,,
661605577722753025,2015-11-03 18:07:16,Interested in world class T&amp;E management? Take a free test drive of Deem Travel &amp; Expense today https://t.co/EtOD1enebK,0,0,en,,,,,,,,
661588729274863616,2015-11-03 17:00:19,"10 ways T&amp;E software helps reduce ""fudged"" expense reports and the need for manual monitoring https://t.co/rkb5GcK6Jl @heather_lohmann",1,1,en,,,,,,,,
659808052799893504,2015-10-29 19:04:33,Today’s consumer shopping platforms contain functionality well beyond what first gen platforms offer @sourcingdoctor https://t.co/KHaepks2Cp,0,1,en,,,,,,,,
659775746290810880,2015-10-29 16:56:10,Reason #10 Why Modern Corporate Travel Mgmt Software=Happier Travelers: Employees can focus on what they do best. https://t.co/nzJtj9zrkr,0,0,en,,,,,,,,
659765627628843008,2015-10-29 16:15:58,Always proud to see Deem employees finding creative ways to give back #DeemTeam #DeemCares https://t.co/kOxFkgCzDp,0,0,en,,,,,,,,
659446408479576064,2015-10-28 19:07:30,Looking for a new #expensemanagement solution? Not sure where to start? Join us for a Deem Expense demo/Q&amp;A friday https://t.co/K7hCDZg1NK,1,2,en,,,,,,,,
659400820065046528,2015-10-28 16:06:21,10 reasons why corporate travel management software makes business travelers happier: #3 - Comfort rules the day. https://t.co/nzJtj9zrkr,0,1,en,,,,,,,,
659080917550403584,2015-10-27 18:55:10,Proud to have the endorsement of Limo Assoc. of NJ and Pres. Jeffrey Shanker https://t.co/pwUxp29Oi6 Sign up here: https://t.co/SX3HbFgzqw,0,0,en,,,,,,,,
659061247808114688,2015-10-27 17:37:00,RT @LeeBellon: Limos and @deem @DeemCEO https://t.co/qAGQqXf50p,0,1,en,,,,,,,,
659047582417575936,2015-10-27 16:42:42,10 Reasons Why Modern Corporate Travel Management Software Means Happier Travelers https://t.co/nzJtj9zrkr @heather_lohmann,1,0,en,,,,,,,,
658680824871518208,2015-10-26 16:25:21,RT @RAndrewMinko: What good’s a great contract if you can’t back it up with an e-procurement system? @sourcingdoctor explores https://t.co/…,0,1,en,,,,,,,,
657592613197840385,2015-10-23 16:21:11,"Sourcing and negotiation are key to identifying savings, procurement is key to capturing savings @sourcingdoctor https://t.co/T40TYPYaI1",0,1,en,,,,,,,,
657240986020548608,2015-10-22 17:03:56,RT @heather_lohmann: What good’s a great contract if you can’t back it up with a modern e-procurement system? The @deem blog explores https…,0,1,en,,,,,,,,
657235357268766720,2015-10-22 16:41:34,"World, meet @Candace_ASUAlum. https://t.co/9QMSvxro3S",0,0,en,,,,,,,,
656893761738309632,2015-10-21 18:04:11,@ScoMo We serve companies of all sizes but our sweet spot is 500-5000 employees,0,0,en,ScoMo,15805710,656892641859211264,,,,,
656891496847704064,2015-10-21 17:55:11,Excited to hear all the insights from #CEBSummit @WThomasMarks @CEB_Challenger  https://t.co/KInhnASs1N,0,0,en,,,,,,,,
656866620875395072,2015-10-21 16:16:21,Proud to have Teddy's on the Deem network!  https://t.co/hfeqZA6Sx0,0,0,en,,,,,,,,
656504918027563008,2015-10-20 16:19:04,Here are 5 core questions to determine if your company's travel and expense management system holds up on the go...https://t.co/pdCo2DcuaH,0,0,en,,,,,,,,
656152275430191104,2015-10-19 16:57:47,"2/2 @jay_campbell @TheCoDime : that's a LOT of wasted negotiating, off-policy spend! How do you book hotels? http://t.co/p4R9t3daKV",0,0,en,,,,,,,,
656151192465108992,2015-10-19 16:53:29,"1/2 .@jay_campbell @TheCoDime: only 16% of biz travelers booked last hotel with company's OBT, 36% at 5K+ companies http://t.co/Ul3xJ9m4z6",0,0,en,,,,,,,,
655154179896418304,2015-10-16 22:51:43,"""getting tail spend under control is easy with an integrated e-shopping and e-procurement platform."" @sourcingdoctor http://t.co/9hxlu21SCU",0,0,en,,,,,,,,
655150776357158912,2015-10-16 22:38:11,RT @AirwaysNews: HighFlyer Interview with @hharteveldt: What is the Significance of AA/US Integration Day? http://t.co/SfmWZFVJFG http://t.…,0,7,en,,,,,,,,
654693103656300545,2015-10-15 16:19:34,Myth #5: Adopting new expense management software will be too costly. http://t.co/tPRu2rSL8A,0,0,en,,,,,,,,
654688760462905347,2015-10-15 16:02:18,What's the most important reason to get tail spend under control? Hint: it's not 'avoid overspending' http://t.co/xKoH6zwBaG,0,0,en,,,,,,,,
654631090544508928,2015-10-15 12:13:09,Myth #2: A better approach to expense management won’t save us that much. http://t.co/tPRu2rSL8A http://t.co/Y50Zd4DYMH,1,1,en,,,,,,,,
654629979691487233,2015-10-15 12:08:44,Deem's longest standing cultural tradition? Beer Club! http://t.co/yo3nGCbK4p @JQcontent,2,1,en,,,,,,,,
654057071944466432,2015-10-13 22:12:12,"Behind the curtain: Companies don't modernize expense software, myths support status quo http://t.co/bZHQy2wjND http://t.co/PQCp4tAgnF",0,0,en,,,,,,,,
653992633350524928,2015-10-13 17:56:09,Packed house for a great session at #CDShowMiami with @DeemCEO @MusicExpressInc and @EmpireCLS @Chauff_Driven http://t.co/l6XojAIfVW,2,2,en,,,,,,,,
