id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670307802452242433,2015-11-27 18:26:48,@SkizzyGP just giveaways,0,0,en,SkizzyGP,2745004629,670195965291286528,,,,,
670307574458269697,2015-11-27 18:25:54,"@earle33 you won a millionaire ticket valued at $20, go to my account, my tickets to find it",0,0,en,earle33,3300868647,670234853254815746,,,,,
670307038174539776,2015-11-27 18:23:46,@ManOfGod1200 please email support@draftkings.com,0,0,en,ManOfGod1200,1637087592,670267508742557696,,,,,
670306798222602244,2015-11-27 18:22:49,@SherryLHoward please email support@draftkings.com,0,0,en,SherryLHoward,624162674,670278359176335361,,,,,
670306626566537218,2015-11-27 18:22:08,@_LordSnow_ please email support@draftkings.com,0,0,en,_LordSnow_,269393959,670288606183866368,,,,,
670306402150273026,2015-11-27 18:21:14,@T_JFARRAR nice! 😀,1,2,en,T_JFARRAR,224380996,670291817007419392,,,,,
670306304964055040,2015-11-27 18:20:51,@Instigator75 please email support@draftkings and we will look into this,0,0,en,Instigator75,137815228,670292877012918272,,,,,
670305918085632000,2015-11-27 18:19:19,@lakerpat213 pretty hilarious!,1,0,en,lakerpat213,4334839152,670305331885445120,,,,,
670305862028775424,2015-11-27 18:19:05,@holey57 sweet view 👍,0,0,en,holey57,2401613900,670305693732347904,,,,,
670303902500265985,2015-11-27 18:11:18,@sportexpertadam @JasonDRobins Please DM us your username and we would be happy to help you!,0,0,en,sportexpertadam,3068831167,670301784322129920,,,,,
670301079586873344,2015-11-27 18:00:05,A must-read for all #FantasyFootball fans: Levitan's Leverage for NFL Week 12 https://t.co/4DSb5gVxez https://t.co/6mvi0IoNS0,16,1,en,,,,,,,,
670294780069478401,2015-11-27 17:35:03,Last 2 Mill Maker ticket winners: @RSchol12 and @sisco510!,9,2,en,,,,,,,,
670293593316311040,2015-11-27 17:30:20,"NFL Week 12 keeps rolling on Sunday, study up with the NFL Cheat Sheet: https://t.co/me6GCYLbJN https://t.co/U7NhlYO0G2",16,4,en,,,,,,,,
670288713923100672,2015-11-27 17:10:57,"Mill Maker tix winners: @stubrstud13, @MikeMooreFSU, @barleybear22, @CincyFishing, @Kyle_Shimb, @Tripm17, @EastieBoSoxFan, @DaTransporter6",19,7,en,,,,,,,,
670286011499470850,2015-11-27 17:00:13,RT to enter to win 1 of 10 DK snapbacks! #BlackFriday https://t.co/IcMoV2wI9y,57,806,en,,,,,,,,
670278508267089920,2015-11-27 16:30:24,Who's out and who's on the fence? Stay up-to-date with the NFL Week 12 Injury Report: https://t.co/SlYRhICBcG https://t.co/qTLxBtztkC,6,1,en,,,,,,,,
670274645489287168,2015-11-27 16:15:03,No Lines. No Crowds. No Frenzy. Just great deals! Come check out Black Friday on DK! https://t.co/M50OGzJhiL https://t.co/slxABQL3os,14,9,en,,,,,,,,
670267859919048704,2015-11-27 15:48:05,@stevster77 You should be able to DM us!,0,0,en,stevster77,50194245,670267717027561472,,,,,
670267509271080960,2015-11-27 15:46:41,"Cam Newton is starting his own Dance Dance Revolution  https://t.co/bueD0yK8z4
https://t.co/6TQ2drGjmy",95,58,en,,,,,,,,
670261057630380032,2015-11-27 15:21:03,DK Hoodie winners: @GuayJoshua @bstauf14 @trclove3 @pcprice18 @redpossom @amieo108 @tonycapasso7 @stutterman418 @chaz1499 @Matthew_Broda,8,5,nl,,,,,,,,
670255792579354624,2015-11-27 15:00:08,RT to enter to win 1 of 10 Millionaire Maker tickets! #BlackFriday https://t.co/nGQdoJGHQY,140,1958,en,,,,,,,,
670210520092450816,2015-11-27 12:00:14,RT to enter to win 1 of 10 DK hoodies! #BlackFriday https://t.co/C8NlEZU2db,109,1716,en,,,,,,,,
670195414147211264,2015-11-27 11:00:13,It's officially Black Friday on DraftKings! Come check out the deals:https://t.co/fgL6HWXQTD https://t.co/NJ1UTYJCTS,26,12,en,,,,,,,,
670101009247678466,2015-11-27 04:45:05,Black Friday on DraftKings is almost here!  https://t.co/M50OGzJhiL https://t.co/pq5rxPUuQt,26,8,en,,,,,,,,
670082130672812036,2015-11-27 03:30:04,Sweat the last Millionaire Maker of the month!! 😅💸🏈 Draft your NFL Week 12 lineup here: https://t.co/e0CQmUOCvX https://t.co/btxtyYVM1E,10,1,en,,,,,,,,
670061037861867520,2015-11-27 02:06:15,@occasioalthief @JasonDRobins Hi Craig. We applied an update to email #913422 at 5:48PM. Please respond to that email for further assistance,1,0,en,occasioalthief,146138554,670037167842926592,,,,,
670059485734531072,2015-11-27 02:00:05,"Express your thanks and refer your friends! 
https://t.co/EOZwrQyJS9 https://t.co/t2CJa0jCOc",9,4,en,,,,,,,,
