id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669904189879943168,2015-11-26 15:42:59,"@jmason  Emoji mileage may vary.* (It's a turkey, Justin)",0,0,en,jmason,773664,669903769157660673,,,,,
669903599930093568,2015-11-26 15:40:39,"@Medvidekpu  Hi Daniel, it's a turkey!",0,0,en,Medvidekpu,14880513,669902640835358721,,,,,
669901193884241920,2015-11-26 15:31:05,Happy 🦃 Day! https://t.co/xJnChdmhYR,114,45,en,,,,,,,,
669679426410532864,2015-11-26 00:49:51,"@liberosist  Thanks for the kind words, Sarthak! 😊",2,0,en,liberosist,228968505,669639531784568833,,,,,
669679338623787008,2015-11-26 00:49:31,"@kusmu  😊Thanks, Petros!",1,0,en,kusmu,201355011,669620775368945669,,,,,
669577992910323713,2015-11-25 18:06:48,@martipedraza 😊,1,1,und,martipedraza,125668911,669517900592623616,,,,,
669577221552631808,2015-11-25 18:03:44,@wojlys  Thank you! 😊,0,0,en,wojlys,3070864690,669439574578438144,,,,,
669576738071031808,2015-11-25 18:01:49,@geekcross  💛,0,0,und,geekcross,451316363,669498049215918080,,,,,
669576137249550336,2015-11-25 17:59:25,@CRPipes Welcome. 😊,0,0,en,CRPipes,2295760200,669339135186833408,,,,,
669570561044029441,2015-11-25 17:37:16,@spadezxo 👍,0,1,und,spadezxo,329483775,669361933229789185,,,,,
669570476285521921,2015-11-25 17:36:56,"@alanbuxton Thanks, Alan!",0,0,en,alanbuxton,14124839,669433827513786368,,,,,
669570184307482624,2015-11-25 17:35:46,@TechIsFun 😊,0,0,und,TechIsFun,542567135,669490036149256192,,,,,
669567400619212800,2015-11-25 17:24:42,"@TomFlowers Hi, Tom. 👋",0,0,en,TomFlowers,293768205,669419938868830208,,,,,
669305141523324928,2015-11-25 00:02:35,"@yiogia  Thanks for the kind words, Gloria!",0,0,en,yiogia,2151183610,669067703013928960,,,,,
669304087771529217,2015-11-24 23:58:24,"@megmmcguire  High five, Megan! ✋",0,0,en,megmmcguire,282301252,669019558821429249,,,,,
669303897400483840,2015-11-24 23:57:38,@truthovafiction  Our pleasure! 😊,1,0,en,truthovafiction,155589738,668975857323511808,,,,,
669303847907631104,2015-11-24 23:57:27,"@SerafinDominik Wow, thanks Dominik! 😊",0,0,en,SerafinDominik,2484526105,669149519758643201,,,,,
669303430314393604,2015-11-24 23:55:47,"@jenndrago  TFW you almost lost all your stuff. Thanks for your kind words, Jenny! &lt;3",0,0,en,jenndrago,16515309,669163013782532096,,,,,
669288167195992064,2015-11-24 22:55:08,@bryanbirtles  💨😷,1,0,und,bryanbirtles,67911634,669220328048955392,,,,,
669286760594186240,2015-11-24 22:49:33,"@QueenPitchNYC  You may have to pitch more than twice, but we're here for all the times in between pitching.",0,1,en,QueenPitchNYC,3408681653,669246088768016386,,,,,
669286594562662400,2015-11-24 22:48:53,@thewondering1  How about some 🎂 🎂 🎂?,0,0,en,thewondering1,9079602,669246212307075072,,,,,
669286213875064833,2015-11-24 22:47:22,"@vlad003  Thanks, Andrei!",0,0,en,vlad003,44299499,669282379245076480,,,,,
669274912868159488,2015-11-24 22:02:28,"@ebuckleylennox  Thanks for the kind words, Emma! Glad you got everything back. 😊",1,0,en,ebuckleylennox,32343207,669068802252931072,,,,,
669274643543547904,2015-11-24 22:01:24,"@webdarren Glad to help, Darren! Glad you got your stuff back.",1,0,en,webdarren,14919212,669125385922179072,,,,,
669274344619696129,2015-11-24 22:00:12,@Kocourvbotach  :),0,0,und,Kocourvbotach,18147484,669072246720339968,,,,,
669274082526019584,2015-11-24 21:59:10,"@iamkgn  Thanks, David! 👍",0,0,en,iamkgn,33350886,669186990559125504,,,,,
669273583768719360,2015-11-24 21:57:11,@extremejohn Glad to help you out -- thank goodness it's a short week. 🙌,1,0,en,extremejohn,17935958,669115556558188545,,,,,
668967672835670021,2015-11-24 01:41:36,"@jonomallanyk Thanks for the kind words, Jono! 🙌",0,0,en,jonomallanyk,15108094,668966663073767424,,,,,
668957605516083201,2015-11-24 01:01:36,We’re proud to stand up for LGBT equality in the workplace. https://t.co/4eQK7NYmWR #CEI2016 https://t.co/sZbmlLiQjg,220,69,en,,,,,,,,
668922659456028672,2015-11-23 22:42:44,"@ringlas Welcome, Victor! 😊",0,0,en,ringlas,190194026,668725017463660544,,,,,
668922548923559936,2015-11-23 22:42:18,@vngannxx  Thanks for the kind words. :),0,0,en,vngannxx,614832507,668291844149747712,,,,,
668922268597288960,2015-11-23 22:41:11,@thenetbox 😊,0,0,und,thenetbox,349890577,668798367204548609,,,,,
668876305581121537,2015-11-23 19:38:33,"@macinthemiddle  Thanks, Thomas!",2,0,en,macinthemiddle,394209121,668838077805277185,,,,,
668875928441896960,2015-11-23 19:37:03,"@etrangent Freebie? At least, that's what we're hoping for.",0,0,en,etrangent,2320056529,668862729688498176,,,,,
668858588962668544,2015-11-23 18:28:09,@cesstowantree  We're glad to hear that! 🙌,0,0,en,cesstowantree,265241035,668767238921449473,,,,,
668858386574872576,2015-11-23 18:27:20,@Domenicoalgna  💛,1,0,und,Domenicoalgna,109684586,668738129071861761,,,,,
668858197927714816,2015-11-23 18:26:35,"@stevemuench  Thanks for the kind words, Steve!",0,0,en,stevemuench,41832819,668751056831160320,,,,,
668857195459715073,2015-11-23 18:22:36,"@Rebecca1KS  But are you remembering, ""everything, everything, everything,"" Rebecca? 😉",0,0,en,Rebecca1KS,18816061,668477306004992000,,,,,
668847333887582209,2015-11-23 17:43:25,"@PinotAlex  Thanks, Alexandre. We're glad to hear that.",1,0,en,PinotAlex,2290195778,668729348162211840,,,,,
668843864657141760,2015-11-23 17:29:38,"@GAUG_zilla We're not sure we can go that far, Brett. Thank you for the kind words. 😊",2,1,en,GAUG_zilla,141015152,668447459090141184,,,,,
668835684170334208,2015-11-23 16:57:08,Edit PDFs on the go with the new Adobe and Dropbox integration for iOS. https://t.co/kpwLGIONaI https://t.co/5CAid8pC93,147,68,en,,,,,,,,
668148572727193600,2015-11-21 19:26:47,"@simonwheatley Thanks for the feedback, Simon. We'll look for better ways to keep users informed. Appreciate your patience :)",0,0,en,simonwheatley,4371541,668147409411817473,,,,,
668134237887987712,2015-11-21 18:29:50,"@muhammadwajeeh Hi there, sorry about that. We expect the maintenance to take about two hours. We'll tweet when we're back.",5,5,en,muhammadwajeeh,533401896,668133419205967873,,,,,
668134131159736320,2015-11-21 18:29:24,"@CussSweeneyBird Hi Marcus, sorry about that. We're doing planned maintenance right now. Thanks for your patience.",2,0,en,CussSweeneyBird,348632507,668133287521615873,,,,,
668098353616576514,2015-11-21 16:07:14,"@CandoJaime  Thanks for the kind words, Jaime!",0,0,en,CandoJaime,292505275,668045871628488704,,,,,
667813481064738816,2015-11-20 21:15:15,@danita483  😊,1,1,und,danita483,148177370,667761764247973888,,,,,
667793185742131201,2015-11-20 19:54:37,"@simoncorry Thanks for the kind words, Simon! 😊",1,0,en,simoncorry,17674378,667790756086616064,,,,,
667766711731404800,2015-11-20 18:09:25,Furthering accessibility: KNFB Reader + Dropbox https://t.co/iHd4njoGAY https://t.co/8h8D0PlJlK,79,67,en,,,,,,,,
667747691129135108,2015-11-20 16:53:50,"@santaleman  Thank you, Julio! 👍",1,1,en,santaleman,302594916,667743213554372608,,,,,
667738367036104704,2015-11-20 16:16:47,@barbarella89 We're flexible.,0,1,en,barbarella89,38680152,667558631630462977,,,,,
667738066929508352,2015-11-20 16:15:35,"@NabilDhirani  Thanks for the kind words, Nabil! Glad we could help.",0,0,en,NabilDhirani,63774593,667530969054744577,,,,,
667737439356764160,2015-11-20 16:13:06,"@jjcollinsworth  Thank you, Josh! The feeling is mutual. 💛",0,0,en,jjcollinsworth,21283188,667733151964246020,,,,,
667513445311467520,2015-11-20 01:23:01,"@SouthLaDoc  Thanks, Dr. Powell!",1,0,en,SouthLaDoc,15737069,667203048406544384,,,,,
667513206152237058,2015-11-20 01:22:04,"@sirjames132  Welcome, Alec!",1,0,en,sirjames132,2433920737,667027496152379392,,,,,
667513091299672064,2015-11-20 01:21:37,"@ManMadeofGold  Good one, Aaron. 👏",0,0,en,ManMadeofGold,283288519,667416047025152000,,,,,
667512802895134720,2015-11-20 01:20:28,"@marissaa_rod  Thanks for the kind words, Marissa!",1,1,en,marissaa_rod,2780882654,666998528405667840,,,,,
667501770315276288,2015-11-20 00:36:38,@giovannini_bru  😊,1,0,und,giovannini_bru,33739315,667379754132197376,,,,,
667500461348491265,2015-11-20 00:31:26,"@deangelanapier  Thank you, DeAngela!",1,0,en,deangelanapier,34875729,667462471767171074,,,,,
667500372429246465,2015-11-20 00:31:05,"@johnemoore3  Thanks, John! 😊",0,0,en,johnemoore3,32621940,666741618355998720,,,,,
667500032539652096,2015-11-20 00:29:43,"@internetAaron Thanks for the kind words, Aaron! 😊",0,0,en,internetAaron,19565880,667370111548788736,,,,,
667499689927950336,2015-11-20 00:28:22,"@prent_  Thanks for the nice words, Ronan!",0,0,en,prent_,248856825,667468676136837120,,,,,
667499342098522112,2015-11-20 00:26:59,"@akosua18  We don't want to imagine what we'd do with you either, Val. 😊",1,0,en,akosua18,44963251,667351292524806144,,,,,
667499217812897792,2015-11-20 00:26:29,"@DrewChowen  You're doing good work, Drew.",0,0,en,DrewChowen,67525295,667416263858061313,,,,,
667498877390598144,2015-11-20 00:25:08,"@TrevorGoss  Thanks, Trevor!",0,0,en,TrevorGoss,13676232,667360354503016448,,,,,
667498836219314176,2015-11-20 00:24:58,@ThisIsKrystina  That does seem really important. One GIF folder to rule them all. 👑,0,0,en,ThisIsKrystina,26936293,667328031971606529,,,,,
667498197267386369,2015-11-20 00:22:26,"@GarethRedfern  Thank you for such kind words, Gareth! We're glad you like it.",0,0,en,GarethRedfern,72934491,667264338386898944,,,,,
667498107014369280,2015-11-20 00:22:04,"@drizzie  Thanks, Adrian! 🙌",1,0,en,drizzie,17127246,667207338231791616,,,,,
667495221538746369,2015-11-20 00:10:36,@maique  Thanks for the kind words! 😊,0,0,en,maique,685313,667312036443918336,,,,,
667495086842859520,2015-11-20 00:10:04,@galenking  👍,0,0,und,galenking,14906611,667489433050988544,,,,,
667390466078302208,2015-11-19 17:14:21,"This year, give the gift that keeps on syncing. https://t.co/31norslHvX https://t.co/WEsS0fVhdE",91,23,en,,,,,,,,
667111414042140672,2015-11-18 22:45:30,"@twanlass 👍 Thanks, Tyler!",0,0,en,twanlass,36606677,667016103202156544,,,,,
667110289956016128,2015-11-18 22:41:02,"@erikwesslen  Thanks for the kind words, Erik! We're glad to hear you're enjoying it.",1,0,en,erikwesslen,29541474,667078999378628608,,,,,
667109032633716736,2015-11-18 22:36:02,"@mitja_i  Thanks for the nice words, Mitja! We're glad to hear you like it.",0,0,en,mitja_i,7345532,667056020208934913,,,,,
667108247858475008,2015-11-18 22:32:55,"@LoveandData  Glad to hear it, Taylor!  💌",0,0,en,LoveandData,3048163893,667079769570209793,,,,,
667107732332376064,2015-11-18 22:30:52,@gregchristian  😊,1,0,und,gregchristian,14263283,666748206143795200,,,,,
667103881709621253,2015-11-18 22:15:34,@AsiaThaThug  Excellent work! Maybe someday we'll get a repeat. 👏,2,1,en,AsiaThaThug,451567698,667020890593468416,,,,,
666725541052063750,2015-11-17 21:12:10,"@louieneira  Maybe your future is on YouTube, Louie! 🎵 🎵",1,0,en,louieneira,430352583,666677802947575808,,,,,
666724243623792640,2015-11-17 21:07:01,"@begraffic  Thanks, Brandon! 💛",0,0,en,begraffic,901291933,666636981821009920,,,,,
666723815465070593,2015-11-17 21:05:19,"@codyglundquist  Thanks, Cody! Glad to hear you're enjoying it.",1,0,en,codyglundquist,16610930,666670462731063296,,,,,
666710272468492292,2015-11-17 20:11:30,"@gracelivingston  The feeling is mutual, Grace! Thanks for the many kind words. 💛",0,1,en,gracelivingston,71140447,666706692135088129,,,,,
666709317740023808,2015-11-17 20:07:42,"@dashaun  We don't think you have, but we're glad to hear it! Thanks for the kind words. 🙌",0,0,en,dashaun,14264560,666454691065171969,,,,,
666708670311473152,2015-11-17 20:05:08,@delao27  Quite the trip down memory lane.,1,0,en,delao27,76562193,666497037576237060,,,,,
666702250929201154,2015-11-17 19:39:38,"@IanHoyt  Cheers, Ian! Here's to an organized Dropbox! 👏",2,0,en,IanHoyt,395701788,666687962810200064,,,,,
666700835980754945,2015-11-17 19:34:00,@seefrvncis  Howdy. 👋,0,0,en,seefrvncis,59726393,666562040144642048,,,,,
666677208405028867,2015-11-17 18:00:07,"✏ + ✏ = 🎵 #CampusCup
https://t.co/lnu0pTnEiw",84,38,und,,,,,,,,
666402785005584384,2015-11-16 23:49:39,"@MillinerSheila  Thanks, Sheila! :)",0,0,en,MillinerSheila,4197267376,666018778149478400,,,,,
666402199128440832,2015-11-16 23:47:20,"@WendyVonPan  Thanks for the nice words, Wendy!",0,0,en,WendyVonPan,587729757,666266228143562754,,,,,
666377931132968960,2015-11-16 22:10:54,"@DannAshfield Glad we could help, Dann! 🙌",1,1,en,DannAshfield,333424589,665928627310215169,,,,,
666377739411308545,2015-11-16 22:10:08,@drawohara  Sorry about that. We've made changes for this to be an accurate email.,1,0,en,drawohara,17058191,665038654495178752,,,,,
666377027033964544,2015-11-16 22:07:18,"@coreycrosby  Thanks, Corey!",0,0,en,coreycrosby,14114894,665305555058077696,,,,,
666375030075432960,2015-11-16 21:59:22,"@moaazsidat  Thanks for the kind words, Moaaz! We'll share with our team. 😊",1,0,en,moaazsidat,148282304,665676486414725120,,,,,
666374589107302400,2015-11-16 21:57:37,@Cre8iveNC  Thanks for the kind words! 😊,0,0,en,Cre8iveNC,2986218932,666310017956642816,,,,,
666373470138327042,2015-11-16 21:53:10,"@benadam11  Thanks for the kind words, Ben! Glad to hear you're enjoying it.",0,0,en,benadam11,394753175,666271968925122560,,,,,
666371116861034496,2015-11-16 21:43:49,Our thoughts are with the people of Paris. https://t.co/7qP9K6TMsm,470,105,en,,,,,,,,
666369994771537921,2015-11-16 21:39:21,@adaywithoutlove  Welcome! 😊,0,0,en,adaywithoutlove,154298905,666138484290273280,,,,,
666369586934243328,2015-11-16 21:37:44,"@ryanAmurphy Thanks for the kind words, Ryan!",0,0,en,ryanAmurphy,35450703,666299036471816192,,,,,
666367990825410561,2015-11-16 21:31:24,@adrechsel @l_wagener  👍,0,0,und,adrechsel,28400383,665609549278236672,,,,,
666339657408487428,2015-11-16 19:38:48,@meggs_andbacon  Oh no! Here's hoping you got the real assignment in on time.,2,0,en,meggs_andbacon,456993005,666060996151255041,,,,,
666338265457381376,2015-11-16 19:33:17,"@brandonclark  Glad we could help, Brandon! Thanks for the kind words. 🙌",1,0,en,brandonclark,15247886,665549268325765122,,,,,
666338169101660160,2015-11-16 19:32:54,"@ByronCoach  Maybe not the most fun, but future you will thank current you.",0,0,en,ByronCoach,2887761695,666036664888901632,,,,,
666337993171582977,2015-11-16 19:32:12,"@katejohnso_n  Glad we could help, Kate! 🙌",1,1,en,katejohnso_n,2370338242,665992202036772864,,,,,
666336917554929665,2015-11-16 19:27:55,"@lizziebknight Glad we could help, Lizzie! Thanks for the kind words. 😊",0,0,en,lizziebknight,21611007,665292312696647680,,,,,
666336342054449152,2015-11-16 19:25:38,"@katingalls  Thanks for the kind words, Kat! Glad to hear you're enjoying it.",1,0,en,katingalls,17201615,665896549822693377,,,,,
666335960611819520,2015-11-16 19:24:07,@mattMONTANEZ 😊,0,0,und,mattMONTANEZ,144716431,665996627195260928,,,,,
666335235454423040,2015-11-16 19:21:14,@davidvkimball 😊,3,1,und,davidvkimball,158043220,666329896403140608,,,,,
666332918810288130,2015-11-16 19:12:02,@AMarkdalen Sorry about that! We shared this with our email team. You should definitely sleep in on Sundays. 😊,0,1,en,AMarkdalen,20466412,,,,,,
666320239022514181,2015-11-16 18:21:39,"@myurbangen Glad to bump your efficiency, Eliza! :)",1,0,en,myurbangen,245463516,666291741960609792,,,,,
666317603464421376,2015-11-16 18:11:10,"@WichitaCindy  That's a lot of memories to look at, Cindy! :)",1,0,en,WichitaCindy,14076555,665924015467331585,,,,,
666314861576478720,2015-11-16 18:00:17,"@jwebcat Oops! Meant to say, ""we're back up now.""",0,0,en,jwebcat,623618021,,,,,,
665287216311214080,2015-11-13 21:56:47,"@4LittleLight  Glad to help, Kay!",2,0,en,4LittleLight,3000283562,664957190512377856,,,,,
665287143984623616,2015-11-13 21:56:30,"@LauraMich57  Thanks, Laura! 😊",3,0,en,LauraMich57,4164297673,664987004921208832,,,,,
665286752349913088,2015-11-13 21:54:56,"@jramsden271  Welcome back, James.",1,0,en,jramsden271,236992556,664967103133425664,,,,,
665283929440669696,2015-11-13 21:43:43,@thoughtmerchant @aq Possibly the best photo album ever. 🍕🍕,1,2,en,thoughtmerchant,15824480,665281225372790784,,,,,
665283238953361408,2015-11-13 21:40:59,"@michaelbuss Thanks for the kind words, Michael. 😊",1,0,en,michaelbuss,25602270,665245439843635200,,,,,
665279998404780034,2015-11-13 21:28:06,@310enterprises  😊,0,0,und,310enterprises,49668105,665279851629256704,,,,,
