id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669761504963620865,2015-11-26 06:16:01,6 Event Planning Shortcuts for the Smart Event Planner https://t.co/pSmr6ydefX,1,3,en,,,,,,,,
669695910532816901,2015-11-26 01:55:22,Booking a Band for Events: The Checklist https://t.co/bV0S9psETZ https://t.co/IbOmQbzw8O,3,1,en,,,,,,,,
669605011366768641,2015-11-25 19:54:10,10 Ways to Double Your Ticket Sales in 2016 https://t.co/eP3ab9OUQI https://t.co/D8gv9eSA7D,0,0,en,,,,,,,,
669469849941385217,2015-11-25 10:57:05,Success Ahead: 7 Things to Do on the Day Your Event Goes Live https://t.co/S7Sg6cJvaA https://t.co/w80i13kqI1,3,4,en,,,,,,,,
669399114942128128,2015-11-25 06:16:00,That is Soooo 90s – 10 Outdated Event Habits You Should Drop in 2016 https://t.co/BWvahQNaYi,7,2,en,,,,,,,,
669333481248436225,2015-11-25 01:55:12,10 Ideas to Spice Up Your Holiday Event https://t.co/Zn93Tq4BQK via @EventMB https://t.co/agXyzvkbnY,2,3,en,,,,,,,,
669242582669664256,2015-11-24 19:54:00,7 Ideas for 'Star Wars'-Theme Events https://t.co/DEYwDdeMA7 via @BizBash,0,3,en,,,,,,,,
668880258200903680,2015-11-23 19:54:15,"“I don’t use the word employee – it’s not in my vocab. It’s ‘people’, &amp; we’re a team.” @JuliaHartz https://t.co/ikWCst58Ny via @SELFmagazine",8,11,en,,,,,,,,
667430661523972096,2015-11-19 19:54:04,7 Friends Every Successful Event Planner Needs https://t.co/qUV0nxhvuI via @EventMB,10,4,en,,,,,,,,
667295560706076673,2015-11-19 10:57:14,RT @TheBritelist: Field Ops checking in from @WORLDCLUBDOME in DE. Want to help lead the team? We're hiring https://t.co/HwLuM6Xptd https:/…,0,2,en,,,,,,,,
667224836155002880,2015-11-19 06:16:12,"RT @emeyerson: Eventbrite is looking for Account Specialist. This place rules. Learn more.
https://t.co/2qyCjU9NwQ #job",0,4,en,,,,,,,,
667159105065328641,2015-11-19 01:55:00,RT @TheBritelist: Are you a #MySQL expert with #Python or R experience? We're hiring a Data Scientist in San Francisco https://t.co/k9azAFk…,0,6,en,,,,,,,,
667068289605062657,2015-11-18 19:54:08,The Fun Is Over: Music Festivals Are Being Invaded By Baby Boomers https://t.co/hmsPxDj71H via @EliteDaily,13,6,en,,,,,,,,
666705888242180096,2015-11-17 19:54:05,Decorating on a quick timeline? Here's how to transform a room in 20 minutes --&gt; https://t.co/GRUV1FCaOc via @BizBash,10,0,en,,,,,,,,
666700996731650049,2015-11-17 19:34:38,@gilleechi :-o,2,0,und,gilleechi,27782543,666692219760476164,,,,,
666434349580034048,2015-11-17 01:55:05,3 Ways to Monetize Your Audience with Events https://t.co/qdSGqT7WvF https://t.co/egynay91Pg,5,7,en,,,,,,,,
666343488334729216,2015-11-16 19:54:02,Quiz: What Type of Event Planner Are You? https://t.co/ZCUHpxVVv4 https://t.co/RwItu4M3qm,8,3,en,,,,,,,,
665256371030331392,2015-11-13 19:54:13,How a @MCAChicago Used Decor to Challenge Guests' Senses https://t.co/iCCFBVVj2N via @BizBash https://t.co/a42A58l809,5,2,en,,,,,,,,
665247972104400896,2015-11-13 19:20:50,@ayepee_ &lt;3,1,0,und,ayepee_,61603423,665242373488709632,,,,,
665247924188659712,2015-11-13 19:20:39,:) https://t.co/CO6XHyzRIA,2,2,und,,,,,,,,
665121202978050048,2015-11-13 10:57:06,RT @TheBritelist: Our @eventbritede team is looking for the first  Berlin-based Account Manager https://t.co/kJSKkPK3dV,0,7,en,,,,,,,,
665050482658922496,2015-11-13 06:16:05,How new wifi pricing rules affect meeting planners --&gt; https://t.co/fegYXheRk9 via @nytimes,5,6,en,,,,,,,,
664984805231185920,2015-11-13 01:55:07,RT @EventbriteUK: 8 Fundraising Event Ideas for the Festive Season https://t.co/x84sC8JtYY #Charityprofs #Eventprofs #Charity https://t.co/…,0,11,en,,,,,,,,
664893940118757376,2015-11-12 19:54:03,6 Tips for Managing Event Growth https://t.co/ddcMflSMzI via @BizBash https://t.co/1nd5jnjtxs,7,3,en,,,,,,,,
664758823694049280,2015-11-12 10:57:08,"RT @EventbriteIE: 6 Daily Habits That Will Radically Improve Your Day, Your Mood and Your Events https://t.co/JRot8rBm7N https://t.co/6rHtN…",0,4,en,,,,,,,,
664688095099527168,2015-11-12 06:16:05,Join us for a free webinar on how to grow your congregation through events with @HartSem's Scott Thumma on 11/18: https://t.co/2rEbO6JbSW,2,4,en,,,,,,,,
664622407508959233,2015-11-12 01:55:04,RT @EventbriteUK: 9 #Eventprofs Share their Most Important Event KPIs https://t.co/W5kHkshna0 https://t.co/35fW6wj5MK,0,4,en,,,,,,,,
664534834975518720,2015-11-11 20:07:05,RT @Indiegogo: Bring your #crowdfunding campaign to life with these fantastic tips from @eventbrite: https://t.co/6tFOktCgHF #event https:/…,0,19,en,,,,,,,,
664487540846669824,2015-11-11 16:59:09,RT @emmaemail: Guest post from @Eventbrite: 4 tips to become an event marketing pro https://t.co/RdHLe5Gyrr,0,3,en,,,,,,,,
664396433043386368,2015-11-11 10:57:08,How to master email marketing to sell out your event via @mwschiff on the @emmaemail blog: https://t.co/RKfvvu3nVF https://t.co/7JvAEDMzhx,5,4,en,,,,,,,,
664296013797171200,2015-11-11 04:18:06,6 NYE Party Theme Ideas to End the Year with a Bang https://t.co/TsfyLh6wSb https://t.co/lbsxQUvdtN,3,0,en,,,,,,,,
664260015134519296,2015-11-11 01:55:03,RT @emmaemail: Wisdom from @eventbrite: How to master #email marketing to sell out your #event https://t.co/W7CaPEVpJW https://t.co/G2qN1rx…,0,5,en,,,,,,,,
664172440654905346,2015-11-10 20:07:04,5 Tools For Finding Your Event's Biggest Fans on Social Media https://t.co/JvLTt6RK6e,3,2,en,,,,,,,,
663447657143255044,2015-11-08 20:07:02,7 Things Innovative Event Organizers Are Doing https://t.co/G0RV74ctHt via @EventMB,8,6,en,,,,,,,,
