id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670348950508085248,2015-11-27 21:10:18,VIDEO: #Bucks coach Jason Kidd suspended for tonight's game in Orlando: https://t.co/r9Y5fpaivP https://t.co/E4jHHMZUan,7,6,en,,,,,,,,
670344607000076288,2015-11-27 20:53:03,VIDEO: #Falcons RB Devonta Freeman officially ruled OUT Sunday against Minnesota: https://t.co/FTmMhsqPvA https://t.co/L05GYVLiSZ,9,7,en,,,,,,,,
670344246386368512,2015-11-27 20:51:37,"RT @AlanGoldsher: In my @FanDuel Insider Friday #NBA preview, I discuss Black Friday #FantasyBasketball bargains. https://t.co/daYkpudOG4",0,1,en,,,,,,,,
669914789779521536,2015-11-26 16:25:06,"When you try and sneak a taste in the kitchen... #HappyThanksgiving
https://t.co/Z9UHPxTyXN",78,59,en,,,,,,,,
669649713495416832,2015-11-25 22:51:47,"RT @Pacers: Check out last night’s game leader, presented by @FanDuel. Get in on the action: https://t.co/8QnO3m7Oj3 https://t.co/rKkJ88N15G",0,57,en,,,,,,,,
669622610817363968,2015-11-25 21:04:06,"RT @KleinschmidtJD: A lot of great content on @FanDuel Insider today to get you geared for the holiday weekend. Check it out! 

https://t.c…",0,5,en,,,,,,,,
669618660575715329,2015-11-25 20:48:24,"RT @NBAonTNT: Automatic ""H"" if we're playing HORSE here... https://t.co/TQK1COrr53 https://t.co/Nj64SZvSQ8",0,186,en,,,,,,,,
669616745171128320,2015-11-25 20:40:47,"▶︎Get your #FanDuel fill.
▶︎Thanksgiving contests now available. 
▶︎https://t.co/DqNGBDs7QX https://t.co/XyOAJ8x6F3",9,7,en,,,,,,,,
669606618674429953,2015-11-25 20:00:33,RT @_COESIGN: @FanDuel Orlando serving the homeless with the Orlando Union Rescue Mission! @jayalford13 @AlysseMetzler @Spoony29 https://t.…,0,11,en,,,,,,,,
669603884252471297,2015-11-25 19:49:41,"RT @AlanGoldsher: In today's @FanDuel Insider NBA lineup, I give my pre-Thanksgiving props to @kevinlove, @RondaeHJ24 &amp; @gordonhayward http…",0,2,en,,,,,,,,
669600272428199940,2015-11-25 19:35:20,"RT @NBA: 12 games.. 5 ‘Players to Watch’ in tonight’s @FanDuel action: https://t.co/8u6Eejlved

Play: https://t.co/1HlNDBGlDY https://t.co/…",0,120,en,,,,,,,,
669596720502857728,2015-11-25 19:21:13,@JonathanNono1 Someone from support should be getting back to you within a few hours. Thanks for your patience.,1,0,en,JonathanNono1,473557874,669594985046474752,,,,,
669596610981199872,2015-11-25 19:20:47,@mikebmeiz Someone from support should be getting back to you within a few hours. Thanks for your patience.,0,0,en,mikebmeiz,50714664,669595333740126208,,,,,
669591985318047744,2015-11-25 19:02:24,Do you think centers are playing bigger roles this season? @EricMackFantasy highlights the top FanDuel bigs so far. https://t.co/jR7exleW8Z,3,5,en,,,,,,,,
669591960664059904,2015-11-25 19:02:18,@maddenbeast12 More on FanDuel points here: https://t.co/I3epKHjGYd,0,0,en,maddenbeast12,1942567542,669591265391063040,,,,,
669591818158362624,2015-11-25 19:01:44,@FantasyFox01 ouch.,0,0,en,FantasyFox01,3973010657,669591458622472192,,,,,
669589714102583296,2015-11-25 18:53:22,@BeeCallaway Thanks for the feedback. I'll pass this along to the Product Team.,1,0,en,BeeCallaway,467985339,669588169831116800,,,,,
669589593252102145,2015-11-25 18:52:54,@JakeRubs Could you please contact us through our support channel? https://t.co/2HuCNOcSVt,0,0,en,JakeRubs,1711511096,669588190471188480,,,,,
669587867925024768,2015-11-25 18:46:02,"Got five? Five NFL &amp; NBA things you need to know heading into the holiday. #DFS #FanDuel
https://t.co/saTGrJHsdl https://t.co/DQrbt6vv8c",7,1,en,,,,,,,,
669587028141596673,2015-11-25 18:42:42,@tsimy Sure thing! You should be credited by later this evening and emailed.,0,0,en,tsimy,249701681,669583349900554240,,,,,
669584116162039808,2015-11-25 18:31:08,"Not sure which is better, Lebron's stache or this premium dance cut. #FanDuel
https://t.co/ewBCTr3a6v",30,26,en,,,,,,,,
669584113376997376,2015-11-25 18:31:07,"Hall of Famers — they really are just like us. Find out for yourself at the FanDuel #WFFC.
https://t.co/RSPQp7P4hA https://t.co/mspFNEqN2q",3,1,en,,,,,,,,
669581964249313280,2015-11-25 18:22:35,@tsimy Agreed. What is your FanDuel username and we'll credit you a $5 🏈 contest.,1,0,en,tsimy,249701681,669581703615225857,,,,,
669581509091692545,2015-11-25 18:20:46,"Retweet &amp; Guess the number of times you will see this Vine on Twitter before Thanksgiving. #FanDuel
https://t.co/jhzC0ZUrYl",67,110,en,,,,,,,,
