id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
627264500119396352,2015-07-31 23:48:05,Happening in Singapore today! #grabdurian  https://t.co/dmM8vZ0cHZ,7,2,en,,,,,,,,
615920075598532608,2015-06-30 16:29:23,RT @myteksi: #MyTeksi drivers pick up their most unforgettable passengers. Watch it here: http://t.co/OSiYKyTt0A,0,17,en,,,,,,,,
613640483529580544,2015-06-24 09:31:06,RT @missy_gi: The transport industry has been disrupted by apps like @Uber @GrabTaxi and @TheGoGoVan. Great panel at #ECAsia2015! http://t.…,0,3,en,,,,,,,,
608408056389607426,2015-06-09 22:59:18,@minamiworld @GrabTaxiTH กดปุ๊บ รอแป๊ป ขึ้นรถสวยๆเรยค่า #ชายตามองคนอื่นต่อคิวหยิมๆ,1,1,th,minamiworld,41079723,608402037362065409,,,,,
606884735327928321,2015-06-05 18:06:10,RT @Techinasia: GrabTaxi’s journey to a billion-dollar startup (INFOGRAPHIC) http://t.co/p1PNkOes1r by @leighton_c http://t.co/32f4uhtrQ1,0,22,en,,,,,,,,
604436401929613313,2015-05-29 23:57:22,"RT @myteksi: Dear friends at @MAS during this time of uncertainty,we’re with u. Fill in our form at http://t.co/gOh3PFRQup to join http://t…",0,31,en,,,,,,,,
602376446175105024,2015-05-24 07:31:51,@joshtws ahhh phew - my records doesn't show the transaction. Glad to know it's been sorted. Have a great Sunday :),1,1,en,joshtws,21842329,602372880215584769,,,,,
602371338255273985,2015-05-24 07:11:33,@joshtws yikes. On it. Will get our team to reach out.,1,0,en,joshtws,21842329,602128539605979136,,,,,
601206131772428290,2015-05-21 02:01:26,"RT @johnfitzpatrick: Proud to have @GrabTaxi CTO Wei Zhu at @awssummit2015 in Malaysia.  7 bookings/sec, $330m VC raise, &amp; growing fast! ht…",0,5,en,,,,,,,,
600912071824310272,2015-05-20 06:32:56,RT @e27co: GrabBike zooms into Indonesia; offers free rides to users http://t.co/SocJsy5ryM,0,2,en,,,,,,,,
