id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670286245784891392,2015-11-27 17:01:08,Feeling stuffed? We've got just the solution! #Detox #HelloFreshTips Recipe here: https://t.co/xmliYSnUpo https://t.co/fZ2rTlD81H,1,0,en,,,,,,,,
669969382517448704,2015-11-26 20:02:02,Enjoying dessert yet? We're loving these #GlutenFree Pumpkin Cupcakes! #Thanksgiving Recipe: https://t.co/AFFiIKxSbV https://t.co/lyGuOaDDUl,1,1,en,,,,,,,,
669943938682327040,2015-11-26 18:20:56,@micaelaseals Please contact customer care at 1(800)733-2414 or hello@hellofresh.com so that we can help :),0,0,en,micaelaseals,919114832,669681439730851843,,,,,
669943017080532992,2015-11-26 18:17:16,@Jborshak Oh no this does look correct! Please contact customer care at 1(800)733-2414 or hello@hellofresh.com so that we can help :),0,0,en,Jborshak,175546982,669670809611468800,,,,,
669924711397224450,2015-11-26 17:04:32,We're so thankful for all of you for inviting us into your kitchens every week. #HappyThanksgiving #GetStuffed https://t.co/p3VNxvLdmZ,6,0,en,,,,,,,,
669924646171578368,2015-11-26 17:04:16,Jessica rocks it in the kitchen and behind the camera. Congrats on winning this week's #HelloFreshPics contest! https://t.co/XffPUNifRk,0,0,en,,,,,,,,
669644303698894848,2015-11-25 22:30:18,"HelloFresh featured as one of the best gift subscriptions in @ParadeMagazine by @MrsWrite!
https://t.co/asjozbJ5CE https://t.co/IeIizg7joy",5,0,en,,,,,,,,
669639420077830153,2015-11-25 22:10:53,@MisTodd1 Welcome!,1,0,en,MisTodd1,2560163360,669603681478815744,,,,,
669637683354984448,2015-11-25 22:03:59,@CoffeeBookChick Amazing!  Thanks for sharing!,0,0,en,CoffeeBookChick,201456036,669591379450994688,,,,,
669636838362058752,2015-11-25 22:00:38,@MichaelSpain very soon!,0,0,en,MichaelSpain,16661344,669583690201210880,,,,,
669636770078806016,2015-11-25 22:00:21,"@MichaelSpain So sorry about that-- We'll pass that along! Just so you know, we have a fantastic iOS app, and we're launching an Android app",0,0,en,MichaelSpain,16661344,669583690201210880,,,,,
669633842186231808,2015-11-25 21:48:43,@jacintaac Welcome to the family and happy cooking!,0,0,en,jacintaac,276527973,669577718783156224,,,,,
669628723080077313,2015-11-25 21:28:23,"@veronicamcc11 Awesome work, Veronica! Thanks for sharing!",1,0,en,veronicamcc11,2580958376,669354869623386112,,,,,
