id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670276136388182016,2015-11-27 16:20:58,Storage has to get cheaper.... INFINIDAT CTO @initzero sits down w/the GreyBeards on Storage https://t.co/g2xp25yOHV,1,1,en,,,,,,,,
670259816653307905,2015-11-27 15:16:07,"End those sleepless nights, be a better manager &amp; stay on trend - 10 tips for IT leaders @Computerworld https://t.co/fhO8MQOjRJ",0,0,en,,,,,,,,
670241650074132480,2015-11-27 14:03:56,Had a great time talking about end-to-end data management for all workloads with @commvault at our CIO banquet yesterday.,0,0,en,,,,,,,,
670229598379057152,2015-11-27 13:16:03,"A look at InfiniBox's hardware, software features &amp; IO handling. Thanks for the write up @vipinvk111 #SFD8 https://t.co/qK9CuMrIPa",3,2,en,,,,,,,,
670163978778230784,2015-11-27 08:55:18,What's a Moshe v3.0? @penguinpunk shares his thoughts on our tech from @TechFieldDay https://t.co/rGxf8OP1ve,0,0,en,,,,,,,,
670132529341595648,2015-11-27 06:50:20,Need to respond to customers’ changing storage demands more efficiently? @INetU gets it done with INFINIDAT https://t.co/8aVYXWZbpP,1,0,en,,,,,,,,
670116199037050882,2015-11-27 05:45:26,Learn why industry leaders are storing the future of their businesses with #INFINIDAT. See us at #GartnerDC Dec 7-10 https://t.co/XRJPYvAGpU,0,0,en,,,,,,,,
670109946529374208,2015-11-27 05:20:35,"The all flash data center SOUNDS awesome, but it's not realistic. Podcast with our CTO &amp; the GreyBeards https://t.co/OxMSsvckqI",0,0,en,,,,,,,,
669969289051508736,2015-11-26 20:01:40,We’re truly thankful for the @INFINIDAT family. Wishing you and yours a Happy #Thanksgiving!,0,0,en,,,,,,,,
669956412416630785,2015-11-26 19:10:30,All flash versus hybrid?  The death of backup? The Storage Alchemist @skenniston weighs in https://t.co/vKi2yiS4TE,1,1,en,,,,,,,,
669936284593451008,2015-11-26 17:50:31,We burn in every system for 3 weeks.Why? It delights our customers. Podcast with @RayLucchesi @DeepStorageNet https://t.co/9zXJ2YxGjd,0,0,en,,,,,,,,
669921157181800448,2015-11-26 16:50:25,"""The InfiniBox doesn't blink an eye."" INFINIDAT passes storage reliability test for cloud service provider @INetu https://t.co/8aVYXWZbpP",3,2,en,,,,,,,,
669872198887284736,2015-11-26 13:35:52,The enterprise-defined #datacenter should focus on business outcomes. Couldn't agree more. #GartnerDC https://t.co/1QHNYTpXC0,0,0,en,,,,,,,,
669654494041518080,2015-11-25 23:10:47,Has the next generation of monolithic storage arrived? @TheRegister https://t.co/jjzd4kvcjs,0,1,en,,,,,,,,
669624304968028160,2015-11-25 21:10:49,We burn in every system for 3 weeks.Why? It delights our customers. Podcast with @RayLucchesi @DeepStorageNet https://t.co/9T3Y0HpjwX,2,1,en,,,,,,,,
669574074314702848,2015-11-25 17:51:14,Suffering from a rigid &amp; outdated storage infrastructure? We've got the cure. Learn more at #GartnerDC Dec 7-10 https://t.co/jw61zOwOu9,1,1,en,,,,,,,,
669563980965367808,2015-11-25 17:11:07,Need to make #storage decisions about #bigdata? Better understand its different sizes. From @techrepublic https://t.co/z60fCy9Fap,3,1,en,,,,,,,,
669548846410817536,2015-11-25 16:10:59,@IDC sees hybrid IT trending in 2016. See more #datacenter trends at @datacentertt https://t.co/x4pOT648zz,0,1,en,IDC,2670321,,,,,,
669502206123630592,2015-11-25 13:05:39,Computer systems that are hacked in seconds? Funny how TV tech fails to reflect reality @Gizmodo https://t.co/Gofsrx49Qn,2,1,en,,,,,,,,
669471963803422720,2015-11-25 11:05:29,"End those sleepless nights, be a better manager &amp; stay on trend - 10 tips for IT leaders @Computerworld https://t.co/bOYSLeGwu6",1,1,en,,,,,,,,
669275069768708097,2015-11-24 22:03:05,We're a platinum sponsor at #GovInnovate Nov 25-26 in Canberra. Meet our storage experts @ stand 9 https://t.co/0wrLw7LMsj,2,3,en,,,,,,,,
