id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
223082745172197378,2012-07-11 15:54:05,RT @IamJessWhite: Thank You Lord for giving me another day to correct my wrongs from yesterday. #Blessed,0,13,en,,,,,,,,
222378349476057088,2012-07-09 17:15:04,"RT @RevRunWisdom: O Lord bless me &amp; enlarge my territory. Be with me, &amp; keep me from harm so that I will be free from pain. -Jabez",0,2046,en,,,,,,,,
219824358867210240,2012-07-02 16:06:25,"RT @RevRunWisdom: Today I WILL keep in mind &gt;&gt; “All of my good days outweigh my bad,, and I won't complain"" #NOPE!  #ForeverGrateful",0,2379,en,,,,,,,,
216532909052538884,2012-06-23 14:07:23,"@LelandStinson Bitch stop sending me msgs, we're not friends!!!!!!!!",2,0,en,,,,,,,,
216022158390992897,2012-06-22 04:17:50,RT @MonicaBrown: Goodnight everyone. Know that what is meant will be....Have Faith &amp; know that your destiny awaits you if u believe!!!,0,899,en,,,,,,,,
215441716365369345,2012-06-20 13:51:22,Hope I'm there when you drag that bitch!!!!!!!,0,0,en,,,,,,,,
182335997248413698,2012-03-21 05:21:04,"RT @TamekaRaymond: RT @Women_Of_Christ: And let us not grow weary of doing good, for in due season we will reap, if we do not give up. ~ ...",0,10,en,,,,,,,,
175209988925558784,2012-03-01 13:24:51,RT @TamekaRaymond: RT @WilI_Smith: The biggest mistake I have made in my life is letting people stay in my life far longer than they des ...,0,106,en,,,,,,,,
166239328798904320,2012-02-05 19:18:39,RT @RevRunWisdom: Who says nice ppl finish last?? Not true.. Nice ppl finish before the race even gets started  #TRUTH,0,2103,en,,,,,,,,
164145254860197890,2012-01-31 00:37:33,@LaNarahK On my way 2 St. Martin.....WYD?,0,0,en,,,,,,,,
163726767159394304,2012-01-29 20:54:37,"RT @KrisJenner: ""When arguing with a fool, don't answer their foolish arguments, or you become as foolish as they are."" Proverbs 26:4",0,5803,en,,,,,,,,
161509502540201986,2012-01-23 18:04:00,RT @TK_Kinsey: Great minds discuss ideas; average minds discuss events; small minds discuss people.,0,230,en,,,,,,,,
128471976590315520,2011-10-24 14:04:40,"Never assume the obvious is true
                               ~William Safire~",0,0,en,,,,,,,,
123378951828684801,2011-10-10 12:46:49,"Whoever is careless with the truth in small matters cannot be trusted with important matters
                               -Albert Einstein",0,0,en,,,,,,,,
123378868865339392,2011-10-10 12:46:29,"Add me on LiveProfile my PIN is LPJCYRHB - LiveProfile is a free messenger for Android, iPhone, and BlackBerry. Get it from http://liveprofi",0,0,en,,,,,,,,
19072520379,2010-07-21 12:29:05,http://twitgoo.com/19pht1,0,0,und,,,,,,,,
