id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670109366125752320,2015-11-27 05:18:17,@emptyphoto Glad we could be there for you! Happy Thanksgiving :),0,0,en,emptyphoto,40141810,670077807100354560,,,,,
670014579645239301,2015-11-26 23:01:38,@LuxurieBabie Glad we could be there for you!,0,0,en,LuxurieBabie,425481001,670005082537127936,,,,,
670003477477765121,2015-11-26 22:17:31,RT @littleariskye: #Thanksgiving Im thankful for @lyft for being by my side all those turnt nights. Thanks fam 👌,0,1,en,,,,,,,,
670000661740822529,2015-11-26 22:06:20,@bgallo https://t.co/GENKBKFJmx,2,1,und,bgallo,27809806,669998274569334784,,,,,
669999304069771264,2015-11-26 22:00:56,@mmolaro Glad they could be there for you! Happy Thanksgiving :),0,0,en,mmolaro,56243194,669998482120441856,,,,,
669940776890052608,2015-11-26 18:08:22,"Go ahead, eat all the pies. We'll be your ride home. 🍴 https://t.co/mVuZCV6byU",32,12,en,,,,,,,,
669898785435353088,2015-11-26 15:21:31,"@dirak3000 We love hearing how Lyft brings people together. Thanks for sharing, Warner. Happy Thanksgiving!",1,2,en,dirak3000,128987597,669887776326852608,,,,,
669709702096228354,2015-11-26 02:50:10,Wanna win $500 Lyft credit? Head to our Instagram &amp; vote in our #MostLikelyToLyft contest: https://t.co/4pYVYntq8D https://t.co/19mwFxLxAg,21,7,en,,,,,,,,
669659585423106048,2015-11-25 23:31:01,Going out tonight? Get a Lyft ride discount at select bars nationwide with code BACKINTOWN: https://t.co/8rmjsDJOwS https://t.co/ZmysFGuLMh,26,19,en,,,,,,,,
669616568482033665,2015-11-25 20:40:05,@kerriolsen We're glad you liked it! https://t.co/LPOtSIOwJQ,1,0,en,kerriolsen,163163764,669606277006278656,,,,,
669615366373556225,2015-11-25 20:35:18,"RT @kerriolsen: @lyft +1,000,000 points for usage of a Bluth family gif!!",0,1,en,,,,,,,,
669610495356379136,2015-11-25 20:15:57,@DeLaSoulsDugout https://t.co/pUGzDjvGCM,1,0,und,DeLaSoulsDugout,20496340,669601764019208193,,,,,
669600781411049474,2015-11-25 19:37:21,We're thankful for easy holiday travel! Enter FLY2015 for $5 off 2 rides at these airports: https://t.co/1w8HRduGvR https://t.co/WdpssW00UE,27,10,en,,,,,,,,
669596357481603077,2015-11-25 19:19:46,@jesseaaronbrown We're happy you're enjoying them! https://t.co/4gAgZWUAHn,1,0,en,jesseaaronbrown,97604976,669570605985853440,,,,,
669594029760229376,2015-11-25 19:10:31,@JessMMMcG https://t.co/c5xhtbxnSn,3,1,und,JessMMMcG,211168591,669561243686989825,,,,,
669574123916365825,2015-11-25 17:51:25,@ellebelle1 We're happy to hear you had a great experience! https://t.co/6AmSDqRJsg,1,0,en,ellebelle1,22746317,669470114178334721,,,,,
669562579103051777,2015-11-25 17:05:33,@c_fitzpatrick36 We love you as well! https://t.co/UPNDQrJhtz,0,0,en,c_fitzpatrick36,116279744,669416591759695872,,,,,
669558595718107136,2015-11-25 16:49:43,@BubbleLyft https://t.co/UwaNiPY2kp,2,1,und,BubbleLyft,3302833478,669557098687143937,,,,,
669554847079727104,2015-11-25 16:34:49,@ethnhns https://t.co/s3phYQSKqJ,0,1,und,ethnhns,3076392655,669391357291667456,,,,,
669530736433758208,2015-11-25 14:59:01,@spencermoya https://t.co/0UrUN6JBqP,2,0,und,spencermoya,28687296,669519555534786560,,,,,
669349889235521536,2015-11-25 03:00:24,"""Took a trip to Dubai &amp; Abu Dhabi thanks to money I made driving with Lyft!"" #TravelTuesday https://t.co/qFlkLps3gA https://t.co/Od9TvOJ7qq",43,10,en,,,,,,,,
669326060182466560,2015-11-25 01:25:42,"""Took the bus then Lyft to downtown just in time to catch the sunset."" #FriendsWithTransit https://t.co/9WW0Rj8fmu https://t.co/NYYUEKuOrK",20,2,en,,,,,,,,
669287471285460992,2015-11-24 22:52:22,@ckbarrett Happy Birthday!!! https://t.co/EfMFmwUTQi,2,1,en,ckbarrett,21067730,669286596290678784,,,,,
669271531508338688,2015-11-24 21:49:02,@PaisleyandGray https://t.co/hmBsrlxv7X,1,0,und,PaisleyandGray,3332993565,669269045343100929,,,,,
669266288062169089,2015-11-24 21:28:12,@verizon Nope! This is just not valid until tomorrow. Try re-entering tomorrow :),1,0,en,verizon,59889953,656922270921850880,,,,,
669255436181364736,2015-11-24 20:45:04,@aleexisfbby The feeling is mutual! https://t.co/MtYRKcW9a9,1,1,en,aleexisfbby,378428977,669252293447938052,,,,,
669249853126381568,2015-11-24 20:22:53,@biancabergado https://t.co/jVUamvAt70,0,0,und,biancabergado,54815357,669248710052864000,,,,,
669234912734658560,2015-11-24 19:23:31,"""Shoutout to my Lyft driver who drove back around &amp; got out of the car to take my photo at this cool sign we saw!"" https://t.co/1F0Xa7ehYS",45,7,en,,,,,,,,
669233369503285248,2015-11-24 19:17:23,@GottAmanda Can we hug him??? https://t.co/jZFVKcyYac,1,0,en,GottAmanda,479822217,669232020942225408,,,,,
669212019959181312,2015-11-24 17:52:33,@gymyboys Welcome to the party! https://t.co/e82CsLZ7MO,1,0,en,gymyboys,2324709576,669211031088967680,,,,,
669210161119109120,2015-11-24 17:45:10,@lobese Happy to help!,1,0,en,lobese,15871300,669209394219905024,,,,,
669210101669085184,2015-11-24 17:44:56,@mrchick123 Happy to help!,0,0,en,mrchick123,2537655991,669209918709239808,,,,,
669201952958345216,2015-11-24 17:12:33,@lucynix https://t.co/AtJgjY5lE5,2,1,und,lucynix,47580007,669040106972577792,,,,,
669198400638840832,2015-11-24 16:58:26,@mls888 https://t.co/z1hHgPy6ud,0,0,und,mls888,14067490,669020406691442688,,,,,
669198058450620418,2015-11-24 16:57:04,@jenawong_ https://t.co/VzIZ70EohH,2,0,und,jenawong_,2196357697,669197092741627904,,,,,
669197912061120512,2015-11-24 16:56:29,@Mr_Huhn_ Maybe these could help? https://t.co/lUYq7RKVxd,0,0,en,Mr_Huhn_,3907946738,669197146449510400,,,,,
669197085078593536,2015-11-24 16:53:12,"@megreenwald Awesome, Morgan! Have a safe flight and happy Lyfting :) https://t.co/4IpfbCvsng",1,0,en,megreenwald,1856184426,669019458770374656,,,,,
669195508716453888,2015-11-24 16:46:56,"@Mr_Huhn_ One day, friend :-) https://t.co/C8HhiSbZ7X",0,0,en,Mr_Huhn_,3907946738,669193645807943681,,,,,
669192631910465536,2015-11-24 16:35:31,@Jonah_Rodriguez https://t.co/BQzKsTmUiP,1,1,und,Jonah_Rodriguez,27950593,669143677789278208,,,,,
669189810297421826,2015-11-24 16:24:18,@AntDoggyDogg  Awesome! Keep spreading the Lyft love around!,1,1,en,AntDoggyDogg,180649463,669151321568772097,,,,,
669179879959764992,2015-11-24 15:44:50,"@Cliff_brown90 Sounds great! Send us pictures when you complete the project, Cliff!",0,0,en,Cliff_brown90,2241940136,669178369674641409,,,,,
669177419522174977,2015-11-24 15:35:04,"@Metal_Mark @mastodonmusic Get it! Have a great trip home, Mark. https://t.co/QggMtNAqb6",1,0,en,Metal_Mark,23967047,669176572092555265,,,,,
668973092534808578,2015-11-24 02:03:08,Winter is coming. #WhyILyft https://t.co/7CR2KryItM,38,13,en,,,,,,,,
668945676588331008,2015-11-24 00:14:12,@ZombieLyftLA Looking good! Happy Lyfting :) https://t.co/zY47tQLZbo,2,1,en,ZombieLyftLA,2188382660,668940734968389638,,,,,
