id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670315155134087168,2015-11-27 18:56:01,Facing new industry challenges requiring expanded capabilities? @TriumphLearning could relate before they met us. https://t.co/FIvQ2cRs7x,0,1,en,,,,,,,,
670283194575392768,2015-11-27 16:49:01,You and your #data should have a personal relationship. Start developing one now: https://t.co/oEpLF9eJm6 #Semantics4Dummies,0,2,en,,,,,,,,
669890104698105856,2015-11-26 14:47:01,"Happy Thanksgiving! Enjoy all the turkey, friendships and family that surround you today! #gobblegobble",3,3,en,,,,,,,,
669604723209596928,2015-11-25 19:53:01,".@eWEEKNews looks at 8 issues relational #databases have with #BigData &amp; how #MarkLogic can bridge that gap 
https://t.co/uPAUrt705B",6,9,en,,,,,,,,
669585182601576448,2015-11-25 18:35:22,RT @clickfarmer: How does @MarkLogic store and search #semantic triples? Find out from my latest blog article. https://t.co/RBiZBjpIcd via …,0,3,en,,,,,,,,
669576788423475201,2015-11-25 18:02:01,Relational databases that organizations relied on for decades are no longer a match for today’s tsunami of #data https://t.co/40lDlq15Cr,3,5,en,,,,,,,,
669576714830266368,2015-11-25 18:01:43,What’s in the way of effectively leveraging #bigdata to deliver optimal #healthcare? https://t.co/fghWofXZbu https://t.co/Xrrk1UiFwH,4,4,en,,,,,,,,
669563199109238784,2015-11-25 17:08:01,.@TriumphLearning focuses on delivering an exceptional #CustomerExperience . https://t.co/QY4jB84995 #MarkLogic #BigData,0,0,en,,,,,,,,
669285622947799040,2015-11-24 22:45:01,Wish your #database could mix &amp; match workloads? If you stop working w/ your #RDBMS you can! https://t.co/KFxkAWi2PS,1,2,en,,,,,,,,
669225891197677568,2015-11-24 18:47:40,"RT @ExecutiveBiz: .@marklogic public sector head Kevin Shelly talks data mgmt trends at agencies, NoSQL outlook in Q&amp;A. #GovCon https://t.c…",0,5,en,,,,,,,,
