id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670274971931922434,2015-11-27 16:16:21,Just in time for #BlackFriday — how to use a crowd to create positive customer experiences: https://t.co/hr2TlEY0hj,0,0,en,,,,,,,,
670003028703977476,2015-11-26 22:15:44,Loyalty marketers and the struggle to keep up with rapidly changing tech: https://t.co/Puy1mfXvvi @Loyalty360,1,0,en,,,,,,,,
669972963857403905,2015-11-26 20:16:16,Saying you'll put customers first and systematically doing so are two VERY different things. https://t.co/rO7QGWhxZl,1,0,en,,,,,,,,
669912565175230464,2015-11-26 16:16:16,"Happy Thanksgiving to the Medallia family of brands, Medallians, and all of their loved ones! We are #thankful for our customers!",0,0,en,,,,,,,,
669640682831761409,2015-11-25 22:15:54,Banks: Are you ready for Millennials? https://t.co/RDGiWLn05K,0,0,en,,,,,,,,
669610599635136512,2015-11-25 20:16:22,Case study: What happens when you tie executive compensation to CX metrics? https://t.co/voamKEaXjD,0,0,en,,,,,,,,
669580294048096256,2015-11-25 18:15:56,Brands Need Highly Integrated Tech to Simplify Customer Engagement - https://t.co/qasDhAQ1kU,1,1,en,,,,,,,,
669278172043730944,2015-11-24 22:15:25,Did you know that 6 current Medallians (including our President and co-founder) were in the @PeaceCorps? https://t.co/rPe2JB1zyf,0,0,en,,,,,,,,
669248214026031104,2015-11-24 20:16:22,Just in time for #BlackFriday — how to use a crowd to create positive customer experiences: https://t.co/rFUYUrwVr8,0,0,en,,,,,,,,
669225263742480384,2015-11-24 18:45:11,Secret Life of Medallians: Coming Home from the @PeaceCorps - https://t.co/OSkaQ8F49h,0,0,en,,,,,,,,
669221496179527681,2015-11-24 18:30:12,"RT @jtang0: ￼￼After a positive experience, #Millennials are two and a half times as likely as #Boomers to post about it online. https://t.c…",0,2,en,,,,,,,,
669221331884449792,2015-11-24 18:29:33,"RT @trechtin: What makes an effective CEM platform? Tips from John Abraham, GM of Medallia.  #Medallia #CX #CEM #VOC #BigData https://t.co/…",0,2,en,,,,,,,,
669202937705570304,2015-11-24 17:16:28,The key to walking the talk of customer-centricity - https://t.co/fXX7ZzdUWY,1,0,en,,,,,,,,
668893923868323841,2015-11-23 20:48:33,RT @chrisbalck: EXPERIENCE 2016 - Registration for the largest gatherings of CX leaders is open. Become a member of Generation CX! https://…,0,1,en,,,,,,,,
668893450960576513,2015-11-23 20:46:40,RT @SpirosMargaris: Insightful graphics. What #Millennials Want in a Banking Experience https://t.co/Dt124Xe8bj @Medallia #fintech https://…,0,5,en,,,,,,,,
668885782007054338,2015-11-23 20:16:12,"When you make important business decisions, how often are you thinking about your customers? https://t.co/mFihNw2RGD",1,1,en,,,,,,,,
668855570527617024,2015-11-23 18:16:09,Turning the Crowd into a Party: Thoughtfully Dealing with Peak Demand - https://t.co/hZhaedszCR,0,0,en,,,,,,,,
668523287530614784,2015-11-22 20:15:46,"What it Really Takes to ""Put the Customer First"" - https://t.co/L3hr2tMwDh",0,0,en,,,,,,,,
668160936461627397,2015-11-21 20:15:55,"How do you say, ""Unsatisfactory customer experience,"" in Japanese? https://t.co/ahmbhiEIHx",0,0,en,,,,,,,,
667830357169836032,2015-11-20 22:22:19,"RT @MikeBarrowJr: What It Really Takes to ""Put the Customer First"" - Medallia https://t.co/ApE8FaYpKt",0,1,en,,,,,,,,
667828687341907969,2015-11-20 22:15:41,"When you make important business decisions, how often are you thinking about your customers? https://t.co/cyzvpgIJve",0,0,en,,,,,,,,
667798589863776256,2015-11-20 20:16:05,How will disruption in the retail space manifest itself during Black Friday (and Cyber Monday) this year? https://t.co/xlhqGrfrjB,1,0,en,,,,,,,,
667753359559008256,2015-11-20 17:16:21,Peak demand doesn't have to ruin customer experiences: https://t.co/g9cCcRWUbr,0,0,en,,,,,,,,
667481293500899328,2015-11-19 23:15:16,How to wire the customer into business decisions: https://t.co/MJPqAQveqQ,0,0,en,,,,,,,,
667458626739691520,2015-11-19 21:45:12,"What it Really Takes to ""Put the Customer First"" - https://t.co/BkY4IyKU7F",1,2,en,,,,,,,,
667436202065338369,2015-11-19 20:16:05,How Sage is upping their customer experience game - https://t.co/UqP3XkqQm8,1,1,en,,,,,,,,
667409101849260032,2015-11-19 18:28:24,RT @HireOnLinkedIn: 5 lessons @Medallia learned about providing a great candidate experience: https://t.co/9AE3HSY68r https://t.co/pWpHnsMr…,0,5,en,,,,,,,,
667409042264989696,2015-11-19 18:28:10,RT @appirio: Medallia and the Evolution of Employee Feedback https://t.co/yWUYBtx3F3 https://t.co/mpEXVKFeu5,0,3,en,,,,,,,,
667408599807893505,2015-11-19 18:26:24,RT @vegafactr: ICYMI: How Your #Workplace Culture Impacts #CustomerExperience @Medallia https://t.co/4ZgOje1zX2,0,1,en,,,,,,,,
