id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670285961088131072,2015-11-27 17:00:01,Do you know what doesn't have a line today? Our downloads page. #BlackFriday https://t.co/o4TPCWIKHO https://t.co/jnM7mnDben,11,6,en,,,,,,,,
670029266843750400,2015-11-27 00:00:00,Prove your MongoDB expertise w/ MongoDB professional certification https://t.co/uk44AU8GCP #GIANTideas,15,11,en,,,,,,,,
669968868979404800,2015-11-26 20:00:00,"In his 2 years at #MongoDB, @danielcoupal has worked with 100+ customers. Join him on a ride through his most memorable stories at #MDBDays.",13,19,en,,,,,,,,
669636685056106496,2015-11-25 22:00:01,Maintain 100% availability while upgrading your deployment w/ Cloud Manager. Try it for free https://t.co/M51qyO5wOk https://t.co/a5ea3veKCf,21,11,en,,,,,,,,
669627581138800640,2015-11-25 21:23:51,"RT @sequoia: Both new and experienced users will learn something new at @MongoDB Days. Use code ""sequoia"" for 25% off  #MDBDays https://t.c…",0,4,en,,,,,,,,
669621581413531648,2015-11-25 21:00:00,Join @blimpyacht as he presents on #MongoDB &amp; #Spark at #MDBDays Silicon Valley! https://t.co/F2u0gtcDwO https://t.co/C85IvQ0WU2,9,5,en,,,,,,,,
669606483701735424,2015-11-25 20:00:01,Are you using MongoDB? Submit your app and get featured: https://t.co/lJXex9CJEx,8,8,en,,,,,,,,
669561187227578369,2015-11-25 17:00:01,"What are you excited for in 3.2? See what the owner of Plus N Consulting, Inc. has to say!
https://t.co/X7haTaafn7 https://t.co/BXHjpEQkOZ",7,27,en,,,,,,,,
669546092825047042,2015-11-25 16:00:02,The ops guide to a peaceful #Thanksgiving https://t.co/JbVeG4IfvF https://t.co/P776oXlFrI,12,31,en,,,,,,,,
669530984614920192,2015-11-25 15:00:00,Don't miss this top session: Bringing Giant Ideas to Life at the Gap. Delivered by @Gap's VP of Product Engineering at #MDBDays on Dec 2!,5,21,en,,,,,,,,
669274294153830400,2015-11-24 22:00:00,#MongoDB President &amp; CEO @dittycheria behind the scenes on #theCUBE last week at #StructureConf https://t.co/MsTcp8hOsS,21,28,en,,,,,,,,
669244092623290368,2015-11-24 20:00:00,"Join @stbrody as he discusses ""Distributed Consensus in #MongoDB's Replication System"" at #MDBDays. Register now: https://t.co/IYPq6rnBLV",6,2,en,,,,,,,,
669228722860388352,2015-11-24 18:58:55,RT @concord: We launched our blog in advance of #MDBDays - see you there! https://t.co/5LDQoLx5aN,0,7,en,,,,,,,,
669168595344183296,2015-11-24 15:00:00,Learn all about building applications with the #MEAN Stack at #MDBDays Silicon Valley. Get your tickets today: https://t.co/LXSZtbdBB3,10,29,en,,,,,,,,
668911906703413250,2015-11-23 22:00:00,Find out how #Apervita implements graph databases with MongoDB. Register now for #MDBDays Silicon Valley on Dec 2. https://t.co/Ukl9citnco,10,29,en,,,,,,,,
668866609134632960,2015-11-23 19:00:01,MongoDB veteran @blimpyacht will present on Event Sourcing at #MDBDays Silicon Valley. Don't miss this session: https://t.co/FvN04BAA2e,4,3,en,,,,,,,,
668534416331902978,2015-11-22 21:00:00,"#MongoDB and @Hadoop work powerfully together as complementary technologies. Learn how to leverage them at #MDBDays, Dec 2 in San Jose.",25,17,en,,,,,,,,
668141829888606209,2015-11-21 19:00:00,Coming Soon: Tales from the Field by @danielcoupal. Only at #MDBDays Silicon Valley. Register now: https://t.co/VUNgDuWh33,9,21,en,,,,,,,,
668111631113695232,2015-11-21 17:00:00,Version 3.1.1 of the MongoDB Python driver has been released. https://t.co/upHHICGclv,21,21,en,,,,,,,,
667809649110855681,2015-11-20 21:00:02,.@Vormetric's thoughts on #MongoDB 3.2. What are your thoughts on MongDB 3.2? https://t.co/dZGPqHmRCK #GIANTideas https://t.co/1CyOX6UQcL,20,36,en,,,,,,,,
667800582481121281,2015-11-20 20:24:00,"RT @BertLatamore: MongoDB can go anywhere -- on prem, in cloud, hybrid. No architectureal constraints. @DIttycheria on #theCUBE from #struc…",0,7,en,,,,,,,,
667794544050745344,2015-11-20 20:00:00,Coming Soon: Building an An Artificial Intelligence Startup with MongoDB at @xdotai. Grab your seat for #MDBDays Silicon Valley!,28,39,en,,,,,,,,
667779444464091137,2015-11-20 19:00:00,Are you a MongoDB expert? Sign up for MongoDB professional certification today. https://t.co/JGXDZ82r0d,8,7,en,,,,,,,,
667764342964756482,2015-11-20 18:00:00,"Ray Lai, Director @Cisco shares a real-time analytics infrastructure case study using MongoDB, Hadoop/Spark on AWS: https://t.co/ORSsXhekSG",24,32,en,,,,,,,,
667755282957770752,2015-11-20 17:24:00,"RT @BertLatamore: MongoDB has rich query language, other good features of RDBMS. @DIttycheria on #theCUBE from #structureconf",0,3,en,,,,,,,,
667447253800517632,2015-11-19 21:00:00,.@Cisco built a real-time analytics platform for the corporate social responsibility (CSR) platform with #MongoDB. How? Find out at #MDBDays,8,27,en,,,,,,,,
667432910681743360,2015-11-19 20:03:00,"RT @BertLatamore: MongoDB was built on a vision of flexible, massively scaleable &amp; run anywhere on the cloud. @DIttycheria on #theCUBE from…",0,5,en,,,,,,,,
667432251257462785,2015-11-19 20:00:23,RT @BertLatamore: In latest release #MongoDB can feed data to latest BI tools directly. Important for real-time @DIttycheria on #theCUBE fr…,0,8,en,,,,,,,,
667432157544062978,2015-11-19 20:00:01,Learn more about the new Cloud Manager integration w/ @newrelic https://t.co/ZUQmxnTUZ2 https://t.co/SxqAx4yett,35,36,en,,,,,,,,
667431272579522561,2015-11-19 19:56:30,RT @SiliconANGLE: Dev Ittycheria (@dittycheria) of MongoDB is LIVE NOW on #theCUBE.  Join us at https://t.co/tYbaMC1pzH #StructureConf http…,0,10,en,,,,,,,,
667430391750504449,2015-11-19 19:53:00,Thank you @derrickharris for speaking with @dittycheria - lots of great insights shared! #structureconf,2,3,en,,,,,,,,
667428631803789312,2015-11-19 19:46:00,"RT @tomk_: Developers are kingmakers, driving technology adoption. They choose MongoDB for cost, agility, dev productivity.
@dittycheria #s…",0,8,en,,,,,,,,
667428547208835074,2015-11-19 19:45:40,RT @StructureSeries: #MongoDB seeing a surge in demand from IoT businesses capturing vast amounts of data from multiple sensors. @dittycher…,0,7,en,,,,,,,,
667426741074423808,2015-11-19 19:38:29,"On stage now, @dittycheria speaking with @derrickharris #structureconf Watch live now https://t.co/RZTovGlZfw",4,4,en,,,,,,,,
667424940849803266,2015-11-19 19:31:20,"RT @DocuSign: Diverse teams make better decisions.

@TechCrunch ""How to hire female engineers"": https://t.co/hT4vu33e7u",0,10,en,,,,,,,,
667386857777401856,2015-11-19 17:00:00,At #structureconf today? Don't miss @dittycheria &amp; @derrickharris talking about the future of the data driven enterprise!,4,21,en,,,,,,,,
667356657928794112,2015-11-19 15:00:00,Bring your team to #MDBDays and save 25% on ticket prices https://t.co/oTFEV1Amu0 https://t.co/bQuOdbWOaD,12,5,en,,,,,,,,
667341557981409281,2015-11-19 14:00:00,Version 2.9.1 of the MongoDB Python driver has been released. https://t.co/N7Xph5o8n9,11,20,en,,,,,,,,
667311358963134464,2015-11-19 12:00:00,Become a MongoDB certified #DBA https://t.co/alNhhNwXMn https://t.co/DmCBUop4CR,21,17,en,,,,,,,,
667107788838039552,2015-11-18 22:31:05,RT @Jennifer_Seelin: 2 yrs strong w/ @MongoDB. Still as excited as day 1 to be working here! #loveyourjob https://t.co/XAYLWRnwJB,0,7,en,,,,,,,,
667107101571997696,2015-11-18 22:28:21,RT @SystemsandTech: You're invited to spend 1x1 time w a #MongoDB engineer &amp; learn about @MongoDB on IBM #LinuxONE.  Register &gt; https://t.c…,0,7,en,,,,,,,,
667099966326874112,2015-11-18 22:00:00,We're excited to announce enhanced APM integration w/ MongoDB Cloud &amp; Ops Manager https://t.co/XlQaZoK5Zu,7,7,en,,,,,,,,
667091268128923648,2015-11-18 21:25:26,RT @xdg: The #MongoDB #Perl driver v1.1.0-TRIAL (development release) is available on CPAN. https://t.co/0qMH6hhMgO,0,9,en,,,,,,,,
667069770752270336,2015-11-18 20:00:01,"Are you powered by MongoDB? Submit your app, we'll share your story w/ the community. https://t.co/Knmjq0u5Zm https://t.co/0DgQulijM5",12,32,en,,,,,,,,
667039566717677568,2015-11-18 18:00:00,Don't miss: From Story to Document: Applying MongoDB Thinking to Business Requirements by @nurih at #MDBDays! https://t.co/BbvgY1yDCW,4,21,en,,,,,,,,
666994272298774528,2015-11-18 15:00:01,"Last chance to register for today's presentation, What's New in MongoDB 3.2 https://t.co/SAPWAUC6ml",5,5,en,,,,,,,,
666992004677677056,2015-11-18 14:51:00,MongoDB 3.2.0-rc3 is released and ready for Bug Hunt testing! https://t.co/XTMyEVFCeJ,12,17,en,,,,,,,,
666745634700066816,2015-11-17 22:32:01,RT @itgawker: Announcing enhanced APM integration w/ MongoDB Cloud &amp; Ops Manager https://t.co/UStRfaOvSQ -via @MongoDB https://t.co/af2yrYz…,0,8,en,,,,,,,,
666745130473402368,2015-11-17 22:30:01,@danielgynn Thanks for the great write up! We'd like to invite you to join our Customer Advocacy Hub https://t.co/5W7qI9DLh6 Check it out.,1,0,en,danielgynn,2483852947,666698659816411137,,,,,
666742008564883456,2015-11-17 22:17:36,RT @datos_io: We’re sponsoring #MDBDays Silicon Valley! Join us Dec 2. Use code: MDBSponsor for discounted tickets. https://t.co/5J5DKKheuC…,0,5,en,,,,,,,,
666737577572081665,2015-11-17 22:00:00,"Cloud Manager makes ops effortless, reducing complicated tasks to a single click. Want to see a demo? Join us at #MDBDays Silicon Valley!",10,26,en,,,,,,,,
666692279059501056,2015-11-17 19:00:00,Looking forward to tech sessions at #MDBDays Silicon Valley? We're hosting a happy hour after the event! Enjoy craft drinks and talking code,7,23,en,,,,,,,,
666678905563013120,2015-11-17 18:06:52,"RT @skiphp: It's an honor to have @jmikola coming to speak to us on ""DOs and DON'Ts of MongoDB"". Get your #SkiPHP ticket today at…",0,4,en,,,,,,,,
666657644464226305,2015-11-17 16:42:22,RT @nleite: Vaya pedazo de #mongodb user group Barcelona vamos a tener el proximo 15 de Diciembre https://t.co/LptQvnLR0R. No te lo pierdas!,0,5,es,,,,,,,,
