id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670262187127128065,2015-11-27 15:25:32,Mozido’s building greatness by innovating mobile payments. Join our Product team in ATL or ATX to lead HCE. https://t.co/5bXB4XqG48 #careers,0,0,en,,,,,,,,
670261015054065668,2015-11-27 15:20:53,Build it or buy it? Find out how Mozido and other companies feel about the subject in @BuiltinAustin feature https://t.co/Ik7YYWIwBE,0,0,en,,,,,,,,
669629352947097600,2015-11-25 21:30:53,Mozido’s building greatness by being more agile. Join our Innovation team in Austin as Sr. Java Developer. https://t.co/IxjkMr1o7K #careers,0,1,en,,,,,,,,
669568934044151808,2015-11-25 17:30:48,"Who are the fintech unicorns? @BIAUS has a list of payment &amp; lending companies, including Mozido. https://t.co/Sf2Aq11RsA #fintech #unicorn",2,0,en,,,,,,,,
669532563480961026,2015-11-25 15:06:17,Three of our HCE experts talked with @pymnts about how HCE is altering the payment world. https://t.co/iTHc0PLNmA,0,0,en,,,,,,,,
667723035777069056,2015-11-20 15:15:52,"After our recent TradeEase launch, China gave us a commemorative stamp. Check it out!  https://t.co/ddhR5es3Ml https://t.co/MJnyqCyMoY",0,0,en,,,,,,,,
667426885094219776,2015-11-19 19:39:04,"Get to know our CTO, Pat Downing, in @BuiltInAustin! &gt;&gt; https://t.co/PftUTDXZ6d",0,0,en,,,,,,,,
666723186961203200,2015-11-17 21:02:49,"RT @nhglass: ""Digital or Die: The $100 Billion Shift Toward Digital Ordering"" by @nhglass on @LinkedIn https://t.co/YwX5meqi2X",0,0,en,,,,,,,,
666423817389101056,2015-11-17 01:13:14,RT @pymnts: Did you know we have a podcast? Listen to @karenmpd interview @Mozido's Michael Liberty about financial inclusion: https://t.co…,0,1,en,,,,,,,,
666069417109774336,2015-11-16 01:44:58,#DisruptiveTechnology https://t.co/XJiiNYvLrP,0,0,und,,,,,,,,
666064740150415360,2015-11-16 01:26:23,Mike Love is participating in the UBS Disruptive Technology conference in Hong Kong today,2,0,en,,,,,,,,
665311011860258816,2015-11-13 23:31:20,We're looking for Sr. PHP developer for Loyalty &amp; Rewards Mobile app. Come work with Mozido. https://t.co/ZAJbz6t9GN #careers,1,0,en,,,,,,,,
665287828318892033,2015-11-13 21:59:13,"RT @BuiltInAustin: .@Mozido CTO Pat Downing on scale: ""In mobile, you have to assume millions of users."" https://t.co/bhzSngzG1k https://t.…",0,2,en,,,,,,,,
665216413091647488,2015-11-13 17:15:26,How will #mobile #technology drive holiday shopping? Find out our thoughts. https://t.co/ErOlYd82Wq,0,0,en,,,,,,,,
664688179430068224,2015-11-12 06:16:25,Mobile Payment System Expands Capabilities with Partnership https://t.co/excPWCp2Qu,0,0,en,,,,,,,,
664570866827702272,2015-11-11 22:30:16,How does Mozido do #HCE? Download our new quick guide to find out. https://t.co/877qT3O1HC #mobile #payments https://t.co/KSXpgrb4oU,0,0,en,,,,,,,,
664218583648641024,2015-11-10 23:10:25,9 Reasons Why Now Is The Time For FinTech https://t.co/lEtUCUyBxd @Forbes @bdstolle,1,0,en,,,,,,,,
664182096794112000,2015-11-10 20:45:26,Do you have what it takes to join our team? We're always looking for talented folks!  #careers #greatplacetowork https://t.co/zYYSvIoeIV,0,0,en,,,,,,,,
663939611769503748,2015-11-10 04:41:53,"Square Will Soon Exit the Ranks of Unicorns, But Those Ranks Are Fast Expanding https://t.co/31A9NcRfve",0,0,en,,,,,,,,
663791416569495552,2015-11-09 18:53:01,How will #mobilepayments grow in 2016? @FortuneMagazine investigates &gt;&gt; https://t.co/xRH6SWFsr8 via @sarahsilbert,0,0,en,,,,,,,,
663760500547674113,2015-11-09 16:50:10,When's the last time you used a #mobilepayment program? #mobilemonday,0,0,en,,,,,,,,
663510564602179584,2015-11-09 00:17:00,We are excited to have been selected by @deutschetelekom to provide advertising and loyalty services: https://t.co/RMrhyrHLW2,1,1,en,,,,,,,,
663430805381779456,2015-11-08 19:00:04,Get an inside look at some of the work we're doing in #ElSalvador: https://t.co/KyMZp415il https://t.co/igdd4Kx4v6,0,0,en,,,,,,,,
663129806880399360,2015-11-07 23:04:00,Want to get the latest update on our most recent news? Check out our blog: https://t.co/uVocZN55iC,0,0,en,,,,,,,,
663008029567139840,2015-11-07 15:00:06,Be sure to get the latest insights on cross-border commerce: https://t.co/x33shDIubt #podcast #mobile #finance,1,0,en,,,,,,,,
