id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670284840558809088,2015-11-27 16:55:33,How microservices are shaking up the world of enterprise IT (via @InformationAge) https://t.co/WlS5dREzL3 #CIO #integration,2,0,en,,,,,,,,
669705964308811776,2015-11-26 02:35:19,How does MuleSoft use Anypoint Platform in our own IT infrastructure? Find out in our upcoming Webinar https://t.co/Bj8unfI3Cu #CIO,8,11,en,,,,,,,,
669613577079246848,2015-11-25 20:28:12,SOA governance for the modern business https://t.co/3iRE6mssdz #CIO #integration,2,0,en,,,,,,,,
669587412025081856,2015-11-25 18:44:14,Wishing the entire MuleSoft and @MuleDev family a wonderful #Thanksgiving weekend! https://t.co/1nyQmZtoCU,7,4,en,,,,,,,,
669271085066534912,2015-11-24 21:47:15,RT @sannipal2011: @MuleDev is just Awesome made everything too easy..!!!!,0,3,en,,,,,,,,
669240384090935296,2015-11-24 19:45:16,Digitization is threatening Germany's industrial leadership (via @TheEconomist) https://t.co/hfJVTy6CWI #CIO #IoT,2,1,en,,,,,,,,
669215260675473408,2015-11-24 18:05:26,RT @sdtimes: #Developers can now manage the full #API life cycle w/ the recently launched API Workbench: https://t.co/nH7oMJZYAO https://t.…,0,2,en,,,,,,,,
668926683118989314,2015-11-23 22:58:43,Do you know how to enable #omnichannel retail? Learn the secrets! https://t.co/vaIpdRklnS #ecommerce,2,1,en,,,,,,,,
668870683078864896,2015-11-23 19:16:12,Are you a MuleSoft Partner? Learn how to get trained on everything Mule https://t.co/DlTdBIacER,1,1,en,,,,,,,,
668835314719420416,2015-11-23 16:55:40,[Whitepaper] What is the Composable Enterprise? Understand the future of IT architecture https://t.co/Rp42SGaTUS #CIO #dev,6,2,en,,,,,,,,
668522044854784000,2015-11-22 20:10:50,Are you following @LearnMuleSoft and @MuleDev? Because you should be. They're awesome. #dev #integration,4,4,en,,,,,,,,
668472839843028993,2015-11-22 16:55:19,Get a quick 1 min overview of Anypoint Studio - our graphical design environment for #integration &amp; #API design https://t.co/WPS0ikWEYw #dev,3,8,en,,,,,,,,
668158301205581824,2015-11-21 20:05:27,"It's time to register for #CONNECT16. Register now! Yes, now. This moment. Register now. https://t.co/9T3h0RJNmX #CIO #dev #API",2,1,en,,,,,,,,
668110457727750144,2015-11-21 16:55:20,Join @ProgrammableWeb's Editor-in-Chief @DBerlind to discuss the biggest #API #security fails https://t.co/GbJqQYaFkh #dev,3,0,en,,,,,,,,
667814666844831744,2015-11-20 21:19:58,@tomkompare Hope you've enjoyed the training Tom! Would love to hear feedback :) @learnmulesoft,0,0,en,tomkompare,326523934,667481959636049921,,,,,
667813664292868100,2015-11-20 21:15:59,RT @MuleDev: At #APIstrat?  Be sure to pick up your FREE copy of @mikegstowe's API book from the @MuleSoft booth!!! https://t.co/JsJyUF1vqf,0,5,en,,,,,,,,
667746895574474752,2015-11-20 16:50:40,[Webinar] Learn about one of the biggest #security challenges facing the Internet today: #API security https://t.co/vi6Bu8XUrO #dev,4,3,en,,,,,,,,
667461948175310849,2015-11-19 21:58:23,"@kyyberi Hey Jarkko, cc'ing @MuleDev to help you out :)",0,0,en,kyyberi,174365411,667442283390873604,,,,,
667460152480567296,2015-11-19 21:51:15,"RT @Fabian_Elliott: Hands down, the best API description I have seen. Thanks @mulesoft What is an API? https://t.co/ArYgD6Ekm1 via @YouTube",0,4,en,,,,,,,,
667415824978808833,2015-11-19 18:55:07,Watch this short 1 min overview on Anypoint #API Designer to see how easy it is to design &amp; document APIs https://t.co/0dV6nGLyYC #dev,3,6,en,,,,,,,,
667385723692171264,2015-11-19 16:55:30,MuleSoft at MuleSoft: fighting the custom code temptation https://t.co/fvMHfJXjyj #dev #integration,1,0,en,,,,,,,,
667089999750385665,2015-11-18 21:20:24,The pros and cons of treating internal IT like a business (via @ComputerWeekly) https://t.co/ffRwubvhXl #CIO #API,1,0,en,,,,,,,,
667057833720938496,2015-11-18 19:12:35,RT @mikegstowe: Off to @apistrat!!!  Super excited for this year's conference. Come check out one of my sessions or stop by the @MuleSoft b…,0,1,en,,,,,,,,
667049078413479936,2015-11-18 18:37:48,Why DataWeave - our new data query and transformation language - matters https://t.co/6tjD2Yj2Ha #dev #integration,0,2,en,,,,,,,,
666747715011784704,2015-11-17 22:40:17,"RT @zsim0n: API Workbench, a full-featured IDE for designing, building and sharing RESTful APIs. - @mulesoft #api #rest #atom https://t.co/…",0,1,en,,,,,,,,
666718756102651904,2015-11-17 20:45:13,How can we inspire young women to code? https://t.co/fpgoNMxYqv #GirlsInTech #STEM @GirlsinTech,1,0,en,,,,,,,,
