id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
667039735185997824,2015-11-18 18:00:40,RT @geanuracos: .@Science_37 named one of LA's most innovative companies! Thank you @solvehealthcare @LABJcommunity https://t.co/kQ9pzxxP5j,0,2,en,,,,,,,,
667036053589528577,2015-11-18 17:46:02,RT @ITAbuzz: The afternoon is FULL of amazing presentations - @Healthsense @gThriveAg @nanthealth @digidotcom @cradlepoint @PhysIQ_Health @…,0,4,en,,,,,,,,
667035915097800706,2015-11-18 17:45:29,RT @kparsapour: Wow! DrPSS talks about the medical #moonshot as being the #cancervaccine - @solvehealthcare @NantWorks @LABJnews https://t.…,0,19,en,,,,,,,,
616986517769039872,2015-07-03 15:07:03,"Supported by $200M Allscripts Investment, NantHealth Aims to Make Precision Oncology a Reality https://t.co/X17AxVsXs3 @Allscripts #genomics",13,20,en,,,,,,,,
616126619233599488,2015-07-01 06:10:07,Excited about today's news!  @Allscripts #precisiongenomics #genomics  http://t.co/MQYBLHZ8Nq,6,8,en,,,,,,,,
606818677804179456,2015-06-05 13:43:41,RT @gvanantwerp: @nanthealth CEO speaking at #AHIPInstitute next. @gnshealthcare and @billclinton later. Big day,0,3,en,,,,,,,,
606818588385792000,2015-06-05 13:43:20,"RT @Resultant: Don't Miss Patrick Soon-Shiong, MD CEO of @nanthealth at 8:30am in Grand Ballroom A #AHIPInstitute http://t.co/JJxtKR2W6g",0,5,en,,,,,,,,
606818547952721920,2015-06-05 13:43:10,"RT @MHbkutscher: Dr. Patrick Soon-Shiong, CEO and founder of @nanthealth, will kick off the final day of #AHIPInstitute",0,5,en,,,,,,,,
606818490046119936,2015-06-05 13:42:56,"RT @AHIPEducation: ""Health Care Disruptive Innovator: Moving From Innovation to Impact"" is next w/Dr. Soon-Shiong of @nanthealth #AHIPInsti…",0,3,en,,,,,,,,
606818421792239617,2015-06-05 13:42:40,RT @gvanantwerp: @solvehealthcare #healthcare is broken. Is #valuebasedcare = outcomes/cost? #AHIPInstitute,0,5,en,,,,,,,,
595260222504972289,2015-05-04 16:14:31,RT @NaomiFried: .@solvehealthcare giving keynote at #ATA2015. Looking forward to his remarks! http://t.co/5PYPKFXuO5,0,5,en,,,,,,,,
595260208915419137,2015-05-04 16:14:27,"RT @WilliamVanNoll: We became inspired by the concept of monitoring astronauts in space, today we can treat everyone as astronauts -@solveh…",0,5,en,,,,,,,,
595260188757622784,2015-05-04 16:14:23,RT @janground: #ATA2015 Patrick Soon-ShiongMD keynote speaker at american telemed assn mtg:fundamental change in HC in big data era http://…,0,4,en,,,,,,,,
593278696233897985,2015-04-29 05:00:38,"RT @solvehealthcare: Dr. Haile Debas, Dir, of @ucghi ,and Dr. Patrick Soon-Shiong,catching up before #UCGHD begins #UCGHD2015 @nanthealth h…",0,5,en,,,,,,,,
593278684347281408,2015-04-29 05:00:35,RT @solvehealthcare: #MIGlobal,0,3,und,,,,,,,,
