id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669589047543599104,2015-11-25 18:50:43,Neighbors Come Together to Help Homeless Veteran in Honor of the Holidays || https://t.co/mrzpLeQaVs #ShareKindness @TODAYshow,4,4,en,,,,,,,,
669588697717673984,2015-11-25 18:49:20,RT @robbglow: Somebody posted our lost dog on @Nextdoor &amp; I got a call a few minutes later and found her! @NextdoorSTL #lostandfound,0,1,en,,,,,,,,
669553591682600960,2015-11-25 16:29:50,"@gupt0166 hi Vishal, you can find instructions on how to do so here: https://t.co/NMAzSb4Vtf",0,0,en,gupt0166,29021405,669390883209519105,,,,,
669197192616386560,2015-11-24 16:53:38,RT @carriehebert: Love all that is @Nextdoor. They're bringing back the Holiday Cheer Map. #community #connectingneighbors https://t.co/GAe…,0,4,en,,,,,,,,
667855988486082560,2015-11-21 00:04:10,Neighbors Come Together to Help Elderly Man Duped by Contractor || https://t.co/U1tMeDUJAC https://t.co/gaZFA2DK58,9,5,en,,,,,,,,
667437426797903873,2015-11-19 20:20:57,RT @CharmaineSNero: @AlachuaSheriff deputies say @Nextdoor application will help bring community and law enforcement together. @WCJB20 More…,0,2,en,,,,,,,,
667227255001628676,2015-11-19 06:25:48,"@irosenb @benthomaspayne it’s a bug and we are on it, thanks for reporting!",2,0,en,irosenb,358231514,667220787166707712,,,,,
666722786061234177,2015-11-17 21:01:13,RT @CityOfArlington: .@MyArlingtonTV City of #ArlingtonTX Now Part of the Social Network @Nextdoor! Read more: https://t.co/GBA9BM76pp http…,0,7,en,,,,,,,,
665299447321006080,2015-11-13 22:45:23,"RT @lexdispatch: TPD launches Nextdoor, a private social network https://t.co/pOgMB5GGgc",0,3,en,,,,,,,,
664618203708977152,2015-11-12 01:38:22,"@cellbubbles hi there, our support team would be happy to help – you can contact them directly here: https://t.co/AvipuZzLR3",2,0,en,cellbubbles,31039217,664579008827232256,,,,,
664231271892029440,2015-11-11 00:00:50,"@Lovesmytwoboys hi Jennifer, sorry about that. You’ll have an email in your inbox shortly. Thanks for your patience!",1,0,en,Lovesmytwoboys,276520075,664228628209750017,,,,,
663765353760100353,2015-11-09 17:09:27,"@ApplegateMary hi Mary, we’re sorry to hear that. Please contact our support team directly here and we’ll help: https://t.co/AvipuZzLR3",0,0,en,ApplegateMary,531375704,663764923839856641,,,,,
663526634503335936,2015-11-09 01:20:52,"@wlconcierge glad to hear it, Andy!",2,0,en,wlconcierge,1529179315,663523191617294336,,,,,
663526605759758338,2015-11-09 01:20:45,RT @wlconcierge: Thanks to @Nextdoor we were able to get this sweet girl back home https://t.co/EAnQPJ91Bo,0,8,en,,,,,,,,
662849976859406336,2015-11-07 04:32:04,"RT @ndyGrosso: @Nextdoor helped 8 dogs that were about to be euthanized find foster homes today in Charlotte! Thanks, this app rocks!!",0,4,en,,,,,,,,
662768525765836804,2015-11-06 23:08:24,Co-Ops at Nextdoor: How Engineers Self-Organize to Get Things Done || https://t.co/s2uY7yoU4X via @prak_daddy,2,1,en,,,,,,,,
662756891454529537,2015-11-06 22:22:11,RT @SacAppraiser: A neighbor through @Nextdoor gave me 16 pallets so I can build a backyard nerf battlefield for my son's birthday. https:/…,0,3,en,,,,,,,,
662397926153449473,2015-11-05 22:35:47,.@LemorAbrams and @CBSSacramento feature Nextdoor as a life-saving tool during the #ValleyFire: https://t.co/2g8WSr4lds,6,1,en,,,,,,,,
662342141453008896,2015-11-05 18:54:06,"A Social Network Dedicated to Connecting Neighbors – a Q&amp;A with our Co-Founder and CEO, @niravtolia || https://t.co/5XIXgNE1I9 @goodnet_org",6,5,en,,,,,,,,
662024311524343808,2015-11-04 21:51:10,RT @LemorAbrams: U wouldn't think @Nextdoor saves lives- until u see what it did for a town trapped in a deadly blaze. My in depth report @…,0,9,en,,,,,,,,
662011123659440128,2015-11-04 20:58:46,Tune into @CBSSacramento tonight at 10:30 p.m. to catch a feature on @Nextdoor by @LemorAbrams.,5,1,en,,,,,,,,
661778681468051456,2015-11-04 05:35:07,"@Bensign we are not aware of any issues. Are you still having problems? If so, please let us know: https://t.co/AvipuZzLR3",0,0,en,Bensign,16941166,661699879501062144,,,,,
661761283671240704,2015-11-04 04:25:59,RT @PennyScientist: .@nextdoor is amazing! Moving is scary – and this one has been tough for me. So nice to have neighbors welcome you digi…,0,3,en,,,,,,,,
661014249049821188,2015-11-02 02:57:32,RT @dshiao: Neat! @SeattlePD used Craigslist and @Nextdoor to solve the case of a stolen camera https://t.co/6BEjORWIt2,0,4,en,,,,,,,,
660601893048094720,2015-10-31 23:38:59,RT @DogGuyJosh: The @Nextdoor app allows you to set whether or not you have candy for Trick or Treaters in your neighborhood. Love this fea…,0,3,en,,,,,,,,
660497807208415232,2015-10-31 16:45:23,"From all of us at Nextdoor, we hope you have a very happy Halloween! || https://t.co/RoBUPG9K4F",5,2,en,,,,,,,,
660476420758507520,2015-10-31 15:20:24,RT @LeoJuarez: Put my house on Nextdoor's Halloween Treat Map despite bitterness that this sorta tech wasn't avail when I was a kid #backin…,0,1,en,,,,,,,,
660240846806106112,2015-10-30 23:44:19,New from our engineering blog: Engineering a culture of fluidity and learning at Nextdoor || https://t.co/8MZW74gfSy by @VivekxK,2,1,en,,,,,,,,
660202470388314112,2015-10-30 21:11:49,"RT @Bobakkabob37: Halloween at @Nextdoor. Always a treat, never any tricks. #LoveMyCoworkers #AmazingCostumes #DarkKnight #Empire https://t…",0,3,en,,,,,,,,
660136960304939008,2015-10-30 16:51:30,RT @GoogleMapsAPI: Plan your trick-or-treating route with @NextDoor’s Treat Map https://t.co/TEDOyicOVM https://t.co/5yQF5n8UIB,0,19,en,,,,,,,,
659850741054509056,2015-10-29 21:54:10,@JaysonElliot you should have an email from our support team in your inbox. Thanks!,0,0,en,JaysonElliot,5002321,659845765196460036,,,,,
659850694036361216,2015-10-29 21:53:59,"@JaysonElliot hi Jayson, thanks for the feedback. We’re constantly improving our help center and we appreciate the feedback.",0,0,en,JaysonElliot,5002321,659845765196460036,,,,,
659834435487961091,2015-10-29 20:49:23,"@TammyEnright hi Tammy, that’s odd. Please contact us here and we’ll look into it: https://t.co/AvipuZzLR3",0,0,en,TammyEnright,63887389,659810270051770368,,,,,
659801411647963137,2015-10-29 18:38:09,RT @JenniferJolly: I'll show you my zombie if you show me yours: our latest USA Today story here: https://t.co/2mCiCjVFbU via @usatoday @tu…,0,2,en,,,,,,,,
659461558662070272,2015-10-28 20:07:42,RT @TimeOutKids: Need help planning your trick-or-treating route? These apps can help! https://t.co/jL2pBSVbXA @target @nextdoor,0,2,en,,,,,,,,
659429302132277248,2015-10-28 17:59:31,RT @MarkBowder: The folks at @Nextdoor have given connected trick-or-treaters a high-tech edge. https://t.co/t0CA2zgypP #Halloween https://…,0,8,en,,,,,,,,
659405883340787712,2015-10-28 16:26:28,"Nice #Halloween tips on @WXYZDetroit, @CoachJim4UM! Did you know that Ann Arbor is the #2 city in the US for treats? https://t.co/aB6qkvYyVZ",2,0,en,,,,,,,,
659027977846530048,2015-10-27 15:24:48,RT @IvankaTrump: A few new ways to connect with your community: https://t.co/IaYSPUicEz #womenwhowork @nextdoor  @VolunteerMatch,0,19,en,,,,,,,,
658763721473458176,2015-10-26 21:54:45,RT @KXAN_News: Top 10 best #Austin neighborhoods for #TrickorTreat according to @Nextdoor https://t.co/gKyjjrqx6J https://t.co/hoChiYdInS,0,7,en,,,,,,,,
658729720662642689,2015-10-26 19:39:38,RT @quincymapolice: Talking @Nextdoor at Social Media Boot Camp #IACP2015 in Chicago. Have you signed up yet? https://t.co/g6zwKN5SFF,0,7,en,,,,,,,,
658344284001665024,2015-10-25 18:08:03,RT @robbiewturner: Come by and see @Nextdoor at #IACP2015 booth 4247 #LESM https://t.co/rBShj1MIxY,0,6,en,,,,,,,,
657942528361111552,2015-10-24 15:31:37,RT @MtJulietPolice: #MtJuliet's new neighborhood watch signs are here. They'll be hitting neighborhoods who are active on @Nextdoor. https:…,0,9,en,,,,,,,,
