id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670291775127359489,2015-11-27 17:23:07,Let us prove the value of #Nutanix – or the product is on us! Sign up now  #NutanixChallenge https://t.co/uY0SNLj3ZP https://t.co/gTDBSg66T8,0,1,en,,,,,,,,
670249001938247680,2015-11-27 14:33:09,Congrats to the winners of Total Recode Challenge 2015 Winners Announced https://t.co/QK3NQjbi7o #Nutanix https://t.co/BIOvmyJJkL,0,2,en,,,,,,,,
670237148910649344,2015-11-27 13:46:03,#Nutanix Brings Community Edition To The #Cloud https://t.co/TsRH4p9qr8 @awscloud @googlecloud https://t.co/u8yAdcEBTW,1,4,en,,,,,,,,
670156632068890624,2015-11-27 08:26:06,[Video] #OpenStack and #Nutanix Acropolis https://t.co/0Dw7MOiOOv // @OpenStack https://t.co/aoTFddzFG2,2,2,en,,,,,,,,
670147565225144320,2015-11-27 07:50:04,Reasons to Make #Acropolis your infrastructure platform of choice https://t.co/eXqUlCTEqz #Nutanix #AHV #Podcast https://t.co/RXu59A1mti,3,7,en,,,,,,,,
670140762080870400,2015-11-27 07:23:02,Maximum Performance from #Acropolis Hypervisor and #OpenvSwitch https://t.co/nYzw83ZFWE #Nutanix (via @bbbburns) https://t.co/dmUNqOjf2r,5,5,en,,,,,,,,
670125468956405760,2015-11-27 06:22:16,Configuring @Docker Storage on #Nutanix https://t.co/FIHwLjQ4Jj (via @cannybag) #DevOps #containers,2,9,en,,,,,,,,
670097997313777665,2015-11-27 04:33:07,Get started today with #Nutanix certifications  https://t.co/wttAQvfzHz #NPSR #NPSE #NPP #NSS #NPX https://t.co/KslE5nnaXl,6,5,en,,,,,,,,
670067304110161920,2015-11-27 02:31:09,Visit #Nutanix in Las Vegas 12/07-12/10 - The @Gartner_Inc Data Center Conference https://t.co/DzaRyyVhyO #VegasTech https://t.co/QJhOaHOEW7,0,2,en,,,,,,,,
670034581068890112,2015-11-27 00:21:07,ICYMI: The World of #VDI Made Better with Assurance https://t.co/a0UUfwW8zq #Nutanix #EUC,1,3,en,,,,,,,,
670028336899465216,2015-11-26 23:56:18,Reasons to Make Acropolis your infrastructure platform of choice https://t.co/LzUnJowJLo #Podcast #Nutanix #sysadmin https://t.co/eptpKFis57,2,2,en,,,,,,,,
670015934808068096,2015-11-26 23:07:01,Have you pre-registered for #Nutanix #NEXTconf 2016 @WynnLasVegas - Save 40% https://t.co/R26wcJ9Lld #VegasTech https://t.co/FQe5vsRGeI,0,5,en,,,,,,,,
669954091192291328,2015-11-26 19:01:17,Flexible DR and Reduce Cost By Using #Acropolis Hypervisor https://t.co/mJoHLKtTYe #Nutanix #Hyperconverged https://t.co/wiqmoYcV1r,1,8,en,,,,,,,,
669929448544804865,2015-11-26 17:23:21,Helkama Emotor Group moves up a gear with #Nutanix converged infrastructure https://t.co/lgmXLYtQn4 https://t.co/sUGztnj8E2,3,8,en,,,,,,,,
669886681936457729,2015-11-26 14:33:25,How to deploy @Citrix @NetScaler VPX on #Nutanix AHV https://t.co/r4XexmURvD (via @KBaggerman),1,5,en,,,,,,,,
669874754808111104,2015-11-26 13:46:01,"We’re so sure you’ll love #Nutanix, we’ll bet our product on it. Take the #NutanixChallenge https://t.co/f4roqtXf8E https://t.co/eNNal1tRPJ",0,4,en,,,,,,,,
669794229514838016,2015-11-26 08:26:03,.@Westfield_MA Moves All Municipal Applications and Services to #Nutanix https://t.co/PoASSutGtP,3,3,en,,,,,,,,
669786744749969408,2015-11-26 07:56:18,Reasons to Make Acropolis your infrastructure platform of choice https://t.co/YAJlLJyMJM #Podcast #Nutanix #sysadmin https://t.co/v8ARILIzEy,4,13,en,,,,,,,,
669785191548895232,2015-11-26 07:50:08,Flexible DR and Reduce Cost By Using #Acropolis Hypervisor https://t.co/tI1ONWygEW #Nutanix #Hyperconverged https://t.co/PuJJmYFTdk,1,6,en,,,,,,,,
669778381085548544,2015-11-26 07:23:04,Have you pre-registered for #Nutanix #NEXTconf 2016 @WynnLasVegas - Save 40% https://t.co/EzVzqgR0aN #VegasTech https://t.co/PMiPl0pXwS,1,1,en,,,,,,,,
669763025575018496,2015-11-26 06:22:03,ICYMI: The World of #VDI Made Better with Assurance https://t.co/2Vej4ul0LW #Nutanix #EUC,0,2,en,,,,,,,,
669735639689076736,2015-11-26 04:33:14,Visit #Nutanix in Las Vegas 12/07-12/10 - The @Gartner_Inc Data Center Conference https://t.co/SlVHgxra28 #VegasTech https://t.co/FYu2Ga0zBZ,1,1,en,,,,,,,,
669704914461962240,2015-11-26 02:31:08,Get started today with #Nutanix certifications  https://t.co/72Lb8QMy5x #NPSR #NPSE #NPP #NSS #NPX https://t.co/DdYzlIT4F0,2,1,en,,,,,,,,
669672189411655680,2015-11-26 00:21:06,Configuring @Docker Storage on #Nutanix https://t.co/yO6DNEBn4Y (via @cannybag) #DevOps #containers,9,5,en,,,,,,,,
669657147995758592,2015-11-25 23:21:20,Maximum Performance from #Acropolis Hypervisor and #OpenvSwitch https://t.co/lDSCBwhJ9q #Nutanix (via @bbbburns) https://t.co/hYnVWbXh5j,5,16,en,,,,,,,,
669653607860563969,2015-11-25 23:07:16,Reasons to Make #Acropolis your infrastructure platform of choice https://t.co/7dCTcx6ZmZ #Nutanix #AHV #Podcast https://t.co/rMTWkt9B5P,6,7,en,,,,,,,,
