id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670356445892866048,2015-11-27 21:40:05,Anxiously awaiting #CyberMonday? So are we. Sign up to be notified when our offer goes live: https://t.co/2bd2VVlHzr https://t.co/8XbgiL6Tux,1,0,en,,,,,,,,
670339822507180032,2015-11-27 20:34:02,#Java's wildcard can be downright confusing. How to use it right: https://t.co/QF5eKAr5hk #JavaGenerics https://t.co/Yzt1l0Y7mI,2,0,en,,,,,,,,
670323211784032257,2015-11-27 19:28:02,Our latest course for the Architecting #MicrosoftAzure Solutions (70-534) exam is out now: https://t.co/CUUMr1gf83 https://t.co/XrQY1QOJTQ,17,6,en,,,,,,,,
670303850092433409,2015-11-27 18:11:06,A post-Thanksgiving recipe for success--directions for #Agile in the Pluralsight Cookbook: https://t.co/XOA4bAMAOE https://t.co/lbl5ZJfDu8,7,2,en,,,,,,,,
670298985677000704,2015-11-27 17:51:46,"@Stuart_Weir Yep, deals will go live through email. You can sign up here to be notified: https://t.co/LNyuh68yCc",0,0,en,Stuart_Weir,56772326,670294036582940672,,,,,
670286700397096960,2015-11-27 17:02:57,We're counting down to #CyberMonday. Sign up to be notified when deals go live: https://t.co/LNyuh6qa0M https://t.co/QWE1rj5bcA,3,3,en,,,,,,,,
670284075505061888,2015-11-27 16:52:31,RT @codeschool: Black Friday is here! Pick up a 6-month Code School subscription for just $99. Details at: https://t.co/sdW05Fs5Kw https://…,0,21,en,,,,,,,,
670283761733373952,2015-11-27 16:51:16,@bytesizedalex Glad to hear it. Thanks Alex!,0,0,en,bytesizedalex,3048202127,669945658493792256,,,,,
670282983811616768,2015-11-27 16:48:11,@smithdaryl Sorry for your issues. We'd like to share your detailed feedback with our dev team. DM us or email support@pluralsight.com.,0,0,en,smithdaryl,253655487,670029022890430465,,,,,
670282221631082496,2015-11-27 16:45:09,"@tevildo42 Thanks, you as well!",0,0,en,tevildo42,385110646,670279827438632960,,,,,
670282106568708097,2015-11-27 16:44:42,"@jacob_stamm @codeschool Hey Jacob, here's how the two compare: https://t.co/M134GUsuuN",0,0,en,jacob_stamm,2864082655,670279445765349376,,,,,
670279606172295168,2015-11-27 16:34:45,@Stuart_Weir We're Cyber Monday people. Stay tuned.,0,0,en,Stuart_Weir,56772326,670152304432164864,,,,,
670279415222378497,2015-11-27 16:34:00,@tevildo42 Thanks for letting us know. This feedback is being forwarded directly to our dev team.,0,0,en,tevildo42,385110646,670157578773643265,,,,,
670279224075268097,2015-11-27 16:33:14,@pashsridhar Sorry for your trouble. Our support team would like to look at this - email support@pluralsight.com and include chrome version.,0,0,en,pashsridhar,622085498,670217372611952640,,,,,
670278508485222400,2015-11-27 16:30:24,"@jjmillsy Hey James, our support team can check in on this. Email support@pluralsight.com and specify that it's the most recent version.",0,0,en,jjmillsy,253946052,670241122074144768,,,,,
669886834890158082,2015-11-26 14:34:01,We may be slow to respond to tweets as we spend Thanksgiving with our families. You can always get support 24/7 at support@pluralsight.com.,12,2,en,,,,,,,,
669864445217267712,2015-11-26 13:05:03,Our free course this week is for .NET or Java developers writing apps with a backend Oracle database. Get it here: https://t.co/9kIGTaslEp,6,2,en,,,,,,,,
669840546052104192,2015-11-26 11:30:05,Our Android update brings improvements to Chromecast support and downloads. Available now: https://t.co/xGU7opwe6k https://t.co/hFuEw9nxeH,8,3,en,,,,,,,,
669818387133038592,2015-11-26 10:02:02,New course just added: Introduction to #Windows10. Learn functions and features from Windows expert Alan Wright: https://t.co/UlN0aXL8JU,6,5,en,,,,,,,,
669795487013330945,2015-11-26 08:31:02,We may be slow to respond to tweets as we celebrate Thanksgiving in the US. Support is available 24/7 via email at support@pluralsight.com.,1,1,en,,,,,,,,
669678617375277056,2015-11-26 00:46:39,@fstorr Your feedback will get sent to the right people if you email support@pluralsight.com. They're there 24/7. Thanks in advance!,0,0,en,fstorr,790637,669645559716671488,,,,,
669653183355035649,2015-11-25 23:05:35,Combine knowledge with desire to learn. Our open source recipe in the Pluralsight Cookbook: https://t.co/voFg8Ww0dF https://t.co/dwOTheaqaI,15,10,en,,,,,,,,
669635038040977408,2015-11-25 21:53:28,"@joe_mighty Thanks Joseph, glad you're enjoying the new look.",0,0,en,joe_mighty,273631940,669620702744608768,,,,,
669634557965111296,2015-11-25 21:51:34,"RT @megbruss: .@WomenWhoCode, @pluralsight &amp; @codeschool are awarding scholarships. Ladies, have you applied? #womenintech https://t.co/hTb…",0,10,en,,,,,,,,
669591286068981760,2015-11-25 18:59:37,"@MikeMKH Will do, thanks!",0,0,en,MikeMKH,14174177,669590824913666048,,,,,
669591187532201984,2015-11-25 18:59:14,"@SamRueby Hey it was a long time coming, and we're always working to improve the experience. Thanks for your support!",0,0,en,SamRueby,1658453329,669586828081557504,,,,,
669586822553583620,2015-11-25 18:41:53,@UliArmbruster Please contact support@pluralsight.com and we can discuss this with you further.,0,0,en,UliArmbruster,233129013,669572764907499521,,,,,
669585915766054912,2015-11-25 18:38:17,@MikeMKH Thanks for the love!,0,0,en,MikeMKH,14174177,669566110723887104,,,,,
