id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670318752534151169,2015-11-27 19:10:19,"RT @BBC6Music: Thanks @Shazam team! 

Check out the live blog for more #TShirtDay goodness! https://t.co/epMRVWsyDd https://t.co/n6sNi20E5o",0,23,en,,,,,,,,
670318706572967936,2015-11-27 19:10:08,RT @FerryCorsten: Have you entered to win a signed vinyl? @Shazam 'Heart's Beating Faster' &amp; tweet a screenshot using #HBF2Win! https://t.c…,0,17,en,,,,,,,,
670316666002145280,2015-11-27 19:02:01,"5 unstoppable videos from hip hop’s freshest stars, ft @PUSHA_T @iamdiddy @Stormzy1 &amp; more: https://t.co/5JyReXsEfz https://t.co/5T1am5g7Yr",71,38,en,,,,,,,,
669988822726238208,2015-11-26 21:19:17,#HappyThanksgiving from Shazam! Here's some of the things we're most thankful for in 2015: https://t.co/eDX0JVP2sE https://t.co/XvUFYcTjGp,43,25,en,,,,,,,,
669931132473905152,2015-11-26 17:30:03,"5 new pop videos you CANNOT miss, ft @troyesivan @adele @elliegoulding &amp; more: https://t.co/mB2Y2jqt5Y ✨📺 https://t.co/ASitipydtL",37,22,en,,,,,,,,
669736433582665728,2015-11-26 04:36:23,RT @aliciakeys: It’s almost time! I'm playin it cool but I'm sooo excited! 😉 AND if you @Shazam my song 2nite you unlock something special …,0,317,en,,,,,,,,
669669660636241924,2015-11-26 00:11:03,Follow the biggest rappers in the game in #Shazam &amp; see what new jams they're discovering: https://t.co/D8U4pmGVbo 🎤 https://t.co/cBbsJdZtdu,30,13,en,,,,,,,,
669644458598658048,2015-11-25 22:30:54,RT @TheVampsband: Wake up with our CUSTOM alarm clock! @Shazam #WakeUp now for your chance to win one!!!! https://t.co/zYx6FltrBV,0,1039,en,,,,,,,,
669637449253949441,2015-11-25 22:03:03,ICYMI: Listen to @Borgore’s slammin’ remix of @SelenaGomez's #SameOldLove: https://t.co/NvNQCBl2Xv https://t.co/MMdy6SsvAJ,193,221,en,,,,,,,,
669607509523431424,2015-11-25 20:04:05,#Shazam any @KevinRossMusic track now for an exclusive mashup video of Kevin's fav songs from the #ShazamChart! https://t.co/iPy24s4DML,27,16,en,,,,,,,,
669596892527915008,2015-11-25 19:21:54,RT @MOMOMOYOUTH: I AM THE WORST WITH 'S' AND 'Z' - tounge twister for sure! 💙u @Shazam thanks for hanging w me https://t.co/77clBzTy1z,0,49,en,,,,,,,,
669582676999802882,2015-11-25 18:25:25,"@DaCollinsRSmexy Yep! Simply #Shazam the song, and tap where it says to ""enter &amp; win""!",1,0,en,DaCollinsRSmexy,3004180177,669582445289873408,,,,,
669581832342540288,2015-11-25 18:22:03,Make sure to #Shazam #WakeUp for your chance to win a CUSTOM @TheVampsBand alarm clock! #OMGOurAlbumIsOutOnFriday ⏰ https://t.co/46b5gQcWhe,122,50,en,,,,,,,,
669568326251638785,2015-11-25 17:28:23,RT @TechCrunch: Shazam update offers faster song recognition and better search https://t.co/wJ0GcKuueh,0,46,en,,,,,,,,
669552380149501952,2015-11-25 16:25:01,"5 essential dance &amp; EDM videos you need to watch, ft @SteveAngello, @99SoulsOfficial &amp; more: https://t.co/JOe5ImF60L https://t.co/EOm79cpSFP",66,36,en,,,,,,,,
669548839708192768,2015-11-25 16:10:57,RT @dimitrivegas: #HigherPlace is going Strong on @shazam @likemike @NeYoCompound #Shazam https://t.co/HgAJLjGaxi,0,119,en,,,,,,,,
669335458157981696,2015-11-25 02:03:03,QUIZ: See if you can guess who's who in our new Male Voice #BeatShazam challenge: https://t.co/QhTcBxyU4q https://t.co/TplhXU8vHS,21,9,en,,,,,,,,
669305036921409537,2015-11-25 00:02:10,"Have you heard the new @ShawnMendes &amp; @camilacabello97 jam? Listen to ""I Know What You Did Last Summer"" now: https://t.co/8EcZaRXGFx 💥🎵",91,108,en,,,,,,,,
669298698166267904,2015-11-24 23:36:59,RT @FerryCorsten: .@Shazam 'Heart's Beating Faster' &amp; tweet a screenshot w/ #HBF2Win to enter to win a signed vinyl! https://t.co/eMocDenccn,0,30,en,,,,,,,,
669292170784862208,2015-11-24 23:11:03,.@ChrisStapleton &amp; @ZacBrownBand serenade their way to the #Shazam Country Top 10: https://t.co/8o73suUY9p 🎸🎵 https://t.co/QGMzRBPXCK,31,15,en,,,,,,,,
669261262648283137,2015-11-24 21:08:13,"""I'ma tell you one time."" 🙌 https://t.co/zQ7Wq52MtO #TheFeels #6YearsOfOneTime @justinbieber",44,22,en,,,,,,,,
669245296245735425,2015-11-24 20:04:47,RT @rkelly: Needin some more Kellz? @Shazam one of my songs to unlock a lil somethin new https://t.co/YPnDIKCsDW,0,42,en,,,,,,,,
669231509518192640,2015-11-24 19:10:00,"The only 10 music videos you need this week, ft @kellyclarkson @joeyBADASS &amp; more: https://t.co/qi61iIKRGQ https://t.co/cLvxTMc6IX",45,16,en,,,,,,,,
669208640096612352,2015-11-24 17:39:07,"#808sAndHeartbreak was released 7 years ago today. The most Shazamed track: ""Heartless"". https://t.co/MDB4s6FxYV @kanyewest",42,20,en,,,,,,,,
669190318806269952,2015-11-24 16:26:19,RT @engadget: •@Shazam's song recognition just got a lot faster https://t.co/q27i714MoQ https://t.co/KcgiB1tM9y,0,66,en,,,,,,,,
669190000576086017,2015-11-24 16:25:03,"Unlock an EXCLUSIVE behind-the-scenes look from @rkelly's ""Backyard Party"" new video when you #Shazam the song! https://t.co/fgGns8lm8c",63,37,en,,,,,,,,
668987914068475904,2015-11-24 03:02:02,What was YOUR favorite moment of the #AMAs? See which performances were the most Shazamed: https://t.co/ToTebJV8zK https://t.co/FWX48AoCLk,49,23,en,,,,,,,,
668957466630090753,2015-11-24 01:01:03,".@ShawnMendes, @SamSmithWorld, &amp; (of course) @Adele hold down the Top 10 #Shazam Pop chart: https://t.co/GI3jzdZ93P https://t.co/9E5F934Fs4",42,12,en,,,,,,,,
668929780272660480,2015-11-23 23:11:02,This week's fastest-climbing Shazams – @TheChainsmokers @justinbieber &amp; more: https://t.co/GLg9uXeOfV #MusicMonday https://t.co/xS3IeUqnfO,520,588,en,,,,,,,,
668923661835829249,2015-11-23 22:46:43,RT @whoisfancy: Make sure to @Shazam my performance on @DancingABC to unlock an exclusive look at my new #BoysLikeYou video! https://t.co/w…,0,47,en,,,,,,,,
668905154209443841,2015-11-23 21:33:11,Tune in to @DancingABC tonight &amp; #Shazam @WhoIsFancy's performance for an EXCLUSIVE look at the #BoysLikeYou video! https://t.co/TR4Kzx9xVb,55,37,en,,,,,,,,
