id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670278411382861824,2015-11-27 16:30:01,How @Groupon set a new standard when it comes to #socialselling: https://t.co/tkvrnUbOwf https://t.co/V1SwNXnIsq,1,1,en,,,,,,,,
670269350927073282,2015-11-27 15:54:00,"@byHannahMcG Glad you got in touch with us about this, Hannah. Please let us know if you have any additional questions.",0,0,en,byHannahMcG,536721797,670266014752505856,,,,,
670257271834845184,2015-11-27 15:06:01,@byHannahMcG Hi Hannah. Happy to help. Can you follow us so we can DM? Thanks!,0,0,en,byHannahMcG,536721797,670238542237466624,,,,,
670248215015530496,2015-11-27 14:30:01,Prepare your team for a data breach with a short &amp; long term cost estimate plan: https://t.co/DKFSrMdyW1 https://t.co/TtaFs07P9S,0,0,en,,,,,,,,
670218010985107456,2015-11-27 12:30:00,Here’s how brands used social &amp; digital technologies at #FashionWeek to create amazing customer experiences: https://t.co/qXnDdnkaDC,1,3,en,,,,,,,,
670187814143791104,2015-11-27 10:30:01,Why customer experience management is the future of marketing: https://t.co/jr3P2Vhzgt #custexp https://t.co/mGZs12RHua,4,1,en,,,,,,,,
670157614819508224,2015-11-27 08:30:00,Here are 3 qualities that make @NASA’s social media presence absolutely interstellar: https://t.co/1CPwRDLJfU https://t.co/wVn3qWuKJo,0,0,en,,,,,,,,
670127416002637826,2015-11-27 06:30:00,Learn how enterprise companies are integrating social listening &amp; paid advertising: https://t.co/atsEA3q29C https://t.co/Mt8Tx6CUlf,0,0,en,,,,,,,,
670097218297286656,2015-11-27 04:30:01,6 resources that will help you better understand how to connect with Millennials: https://t.co/QaoZIzl3so https://t.co/4PA6RFJNkL,1,1,en,,,,,,,,
670067018473873408,2015-11-27 02:30:01,Here’s how you can engage customers more effectively and create more meaningful #custexp: https://t.co/sRIsuPbnXm https://t.co/jiIzFw975a,1,1,en,,,,,,,,
670036818226774016,2015-11-27 00:30:00,Forget what you heard about @LinkedIn. Here’s what you need to know about their ad options: https://t.co/TQpqzufh2f https://t.co/kT2CcuTplK,4,1,en,,,,,,,,
670006620768833536,2015-11-26 22:30:01,This is how the world's top brands are creating awesome content on @instagram: https://t.co/yhD2bvNMUE https://t.co/1blJZ7XN2f,1,1,en,,,,,,,,
669976419703922688,2015-11-26 20:30:00,"Engagement is important, but it will only take you so far. Here's what you need to drive customer experience forward https://t.co/nDk5krsCGa",3,2,en,,,,,,,,
669946221327482881,2015-11-26 18:30:00,Which @NFL team can boast the largest following off the field? Find out here: https://t.co/cQryLJliaT https://t.co/GUcVGGIpBG,1,0,en,,,,,,,,
669916022682570752,2015-11-26 16:30:00,How @Scholastic engaged with their audience through the power of our Command Centers: https://t.co/0klcFz0vmi,0,1,en,,,,,,,,
669885824075476992,2015-11-26 14:30:00,The face of customer service is changing. What this will mean for your business: https://t.co/dY6fgpnfq2 https://t.co/Eafgfu4xE8,0,0,en,,,,,,,,
669878275515224064,2015-11-26 14:00:01,Happy Thanksgiving from the Sprinklr family! https://t.co/QV6hwUYWSn,4,2,en,,,,,,,,
669855626768596992,2015-11-26 12:30:01,"16 lessons on passion, authenticity &amp; communication from women leaders at our #SprinklrCXM: https://t.co/XqCQJrw9fc https://t.co/3gNzHGzBlu",2,1,en,,,,,,,,
669825426399825920,2015-11-26 10:30:01,"Here’s how you can deliver innovative, customer-centric global content: https://t.co/6Jd6hoXrEk #contentmarketing https://t.co/gKJHXCxJSd",0,0,en,,,,,,,,
669795227729817600,2015-11-26 08:30:01,Get advice on @LinkedIn Sponsored Updates from @JasonMillerCA &amp; @SimonMansell: https://t.co/AiEgFHzEes https://t.co/IEOmnAY6aK,0,1,en,,,,,,,,
669765027507912704,2015-11-26 06:30:00,A guide to mobile video ads for all of the major social media platforms: https://t.co/WPCxm9VVQa https://t.co/GAo1wHz2h7,1,0,en,,,,,,,,
669734828519104512,2015-11-26 04:30:00,Everything you need to know about @Snapchat's new advertising products: https://t.co/LQKEJggHtd https://t.co/W74O5dhOgV,3,7,en,,,,,,,,
669704629593235457,2015-11-26 02:30:00,"Here's what you need to know to boost your holiday ad strategy, one tweet at a time: https://t.co/753cCrKgzd https://t.co/jc14IlfSKt",0,1,en,,,,,,,,
669674430495354880,2015-11-26 00:30:00,Find your most influential customers and turn them into brand advocates: https://t.co/Au6IxIPVux #customeradvocacy https://t.co/rgiFm0u6KV,1,0,en,,,,,,,,
669644234564239361,2015-11-25 22:30:01,How @StarwoodBuzz handles thousands of monthly inbound #socialmedia messages: https://t.co/Um9AfzNyBt https://t.co/PTaHH3OfJy,1,0,en,,,,,,,,
669614032597463040,2015-11-25 20:30:00,Your command center should be in the same environment as your #socialmedia management system https://t.co/S0zmdRmFvU https://t.co/vpIrFkJvgL,0,0,en,,,,,,,,
669583836758581249,2015-11-25 18:30:01,Learn how @LogMeIn used Sprinklr to integrate data for over 40+ social and blog accounts: https://t.co/al4bGpuR9r https://t.co/t3Mjgr8th8,0,1,en,,,,,,,,
669567406860279808,2015-11-25 17:24:44,Why @NASDAQ is on @Snapchat: https://t.co/Cait2L7LC4 via @digiday,0,3,en,,,,,,,,
669553635999793152,2015-11-25 16:30:01,Is in-house #paid social right for your brand? Industry experts share their insights: https://t.co/ZzmAW4McOz https://t.co/oeEAWSQHYR,0,0,en,,,,,,,,
669523435538763776,2015-11-25 14:30:00,See how @SAP used our Command Center to launch their #BeyondCRM event at #YankeeStadium: https://t.co/dTwqaT7w6k https://t.co/mP48UUvxul,3,0,en,,,,,,,,
669515266410356736,2015-11-25 13:57:33,We debunk the most common myths about @LinkedIn Ads so you don’t have to: https://t.co/Z3JWUWph1r https://t.co/wSoKKNNRul,0,1,en,,,,,,,,
669493245068632064,2015-11-25 12:30:02,Here’s how you can avoid the hidden dangers of a data breach: https://t.co/9kCLlUfDvq https://t.co/YxT4VWZNNc,1,2,en,,,,,,,,
669463256180916224,2015-11-25 10:30:52,Find out how your brand can succeed with paid advertising on @instagram: https://t.co/lIRRsEXSXy https://t.co/GBP7BLBmKm,3,0,en,,,,,,,,
669432838777905155,2015-11-25 08:30:00,The social media space continues to evolve at a lightning pace. Let's look at the numbers: https://t.co/5b2ji5Zk7d https://t.co/3rZnGaYpjx,9,4,en,,,,,,,,
669402639222874113,2015-11-25 06:30:00,"Learn more about the past, present, and future of #socialmedia management software: https://t.co/cB6vR7A4oc https://t.co/nXRt1SLV6H",1,1,en,,,,,,,,
669372441190375424,2015-11-25 04:30:00,These @Tinder marketing campaigns will inspire your brand to think outside the box: https://t.co/tsQZRqNwrN https://t.co/U5BKeOMgon,1,2,en,,,,,,,,
669342242646204416,2015-11-25 02:30:01,This is how @Dell ran a successful #paidsocial campaign during the holiday season: https://t.co/UWEPSUNjw4 https://t.co/7gtb0drBOs,3,7,en,,,,,,,,
669324478376230912,2015-11-25 01:19:25,@ryanlaf So glad you had a great time at our event. Hope to see you at a future #SprinklrCXM!,1,0,en,ryanlaf,12851792,669319828763611136,,,,,
669312041958666240,2015-11-25 00:30:00,Engage customers by embracing these key disruptors this holiday season: https://t.co/4EYRP9TB4c via @RodSides of @DeloitteDigital,0,0,en,,,,,,,,
669292412515328000,2015-11-24 23:12:00,"@nicolaskerebel You're welcome, Nico. Hope to see you at a future #SprinklrCXM!",1,0,en,nicolaskerebel,21216554,669283668087697408,,,,,
669281844035264512,2015-11-24 22:30:00,This guide will help you understand the benefits of #socialselling: https://t.co/K1lW6t7j6J https://t.co/QOQTjApzLM,3,1,en,,,,,,,,
669273034604310528,2015-11-24 21:55:00,RT @anitawky: Truth. #SprinklrCXM https://t.co/Ck3qSEQjfr,0,1,en,,,,,,,,
669261818158850049,2015-11-24 21:10:26,RT @anitawky: Great community engagement tips from Larissa @HarlequinBooks #sprinklrcxm https://t.co/gl7NCzC9I7,0,3,en,,,,,,,,
669261687002963972,2015-11-24 21:09:55,RT @kuyakix: Fun swag from the awesome @harlequinbooks team! #SprinklrCXM https://t.co/85CYu2jvbt,0,1,en,,,,,,,,
669257938809307136,2015-11-24 20:55:01,RT @mikeldkelso: Hearing from Larissa @HarlequinBooks on how they are transforming their business in the digital age. #sprinklrcxm https://…,0,3,en,,,,,,,,
669257432019951617,2015-11-24 20:53:00,@ShirraD You're welcome. Thank you for the wonderful presentation! #SprinklrCXM,2,0,en,ShirraD,49669878,669256618169733120,,,,,
669255293470162944,2015-11-24 20:44:30,Doug Shirra (@ShirraD) of @SAP presenting at today's #SprinklrCXM in Toronto: https://t.co/tqzxdHI6Op,2,0,en,,,,,,,,
669253154375118849,2015-11-24 20:36:00,@daveiam Thanks Dave! We appreciate the share 😊 Hope you're having a great day!,1,0,en,daveiam,11148502,669252237902880769,,,,,
669251646988402688,2015-11-24 20:30:01,A data breach can cost millions. Protect your brand with the best cost estimate plan: https://t.co/1Oq6NQOFJ3 https://t.co/pVqQFbMGMS,0,0,en,,,,,,,,
669249130250768384,2015-11-24 20:20:01,@kuyakix @RoisinB We are looking forward to it too! 😊,2,0,en,kuyakix,29535665,669246262886076416,,,,,
669246602058534912,2015-11-24 20:09:58,RT @kuyakix: Excited for the Microsoft Fireside Chat with @RoisinB ⛺🔥#SprinklrCXM https://t.co/FXsBMMZOUC,0,3,en,,,,,,,,
669242836429185024,2015-11-24 19:55:00,"RT @Jerry_L_Nichols: https://t.co/YCJoMi3rhV

Nice overview of data visualizations of social media. #SAP #Sprinklr #RunSimple",0,1,en,,,,,,,,
