id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670108935173599232,2015-11-27 05:16:34,"@BrunoPosts Sorry, we don't have an ETA yet, but you can sign up to get notified at https://t.co/8WuzYjDyVk! 🇭🇷",0,0,en,BrunoPosts,331584684,670106515311861760,,,,,
669990848961056769,2015-11-26 21:27:20,@RahilTheMaster We take security and protecting customers seriously -- would love to discuss more. Can you email us at support@stripe.com?,0,0,en,RahilTheMaster,731315358,669982024904663040,,,,,
669974141500571648,2015-11-26 20:20:57,@MMcCreesh Happy to help with this. Could you send us a DM w/the email address associated with your account?,0,0,en,MMcCreesh,23006976,669970275170152449,,,,,
669973093595652096,2015-11-26 20:16:47,"@MACKATTAQ We'll follow-up w/you in our email thread again soon -- in the meantime, let us know if you have any other questions or feedback!",0,0,en,MACKATTAQ,334813966,669972065240268800,,,,,
669921691989078016,2015-11-26 16:52:32,@Stevie_C91 Anything we can help with?,0,0,en,Stevie_C91,434518842,669885284344025090,,,,,
669751964520042496,2015-11-26 05:38:06,@Sankofa_Adwoa 🙂 Glad to help! Feel free to reach out if you have any other questions. 🦃🛍,1,0,en,Sankofa_Adwoa,20119758,669750446907662338,,,,,
669749065387778048,2015-11-26 05:26:35,@ellisthedev Great! Let us know if you run into any other issues or questions.,1,0,en,ellisthedev,17199208,669745161069400064,,,,,
669748959322251264,2015-11-26 05:26:09,"@hamletpri Sorry, we don't have a solid ETA on this just yet, but you can stay tuned here on Twitter or at https://t.co/Lg43As2Amt.",1,0,en,hamletpri,62252146,669744403674632192,,,,,
669748567171538944,2015-11-26 05:24:36,@allenthird You can read more here: https://t.co/mza3DzJH0L. Would love to discuss more -- can you write into us at support@stripe.com?,0,0,en,allenthird,3232302794,669734404793626624,,,,,
669748355447279620,2015-11-26 05:23:45,"@allenthird We take fraud seriously -- we have integrated fraud protection, and equip merchants w/tools to avoid &amp; respond to chargebacks.",0,0,en,allenthird,3232302794,669734404793626624,,,,,
669747029816553473,2015-11-26 05:18:29,"@Sankofa_Adwoa You can change your Sales Terms for Twitter by clicking the Relay tab in Account Settings, then Edit next to Twitter.",0,0,en,Sankofa_Adwoa,20119758,669729399751745536,,,,,
669744873910771712,2015-11-26 05:09:55,@MACKATTAQ We've just sent you a DM -- could you take a look and let us know if you have any other questions?,0,0,en,MACKATTAQ,334813966,669702329348718592,,,,,
669742006768398336,2015-11-26 04:58:32,"@hamletpri No, at the moment, Alipay payments can only be paid out in USD to USD-denominated bank accounts.",0,0,en,hamletpri,62252146,669702129347485696,,,,,
669741602139734018,2015-11-26 04:56:55,"@MikeBoyd Sorry, no ETA yet -- you can sign up to be notified at https://t.co/RCLFnPU34H.",0,0,en,MikeBoyd,14999812,669692577919184897,,,,,
669699794714173440,2015-11-26 02:10:48,@MACKATTAQ Hey Mack. Sorry about the delay. Just responded to your question. Let us know if we can do anything else to help.,0,0,en,MACKATTAQ,334813966,669691272186040320,,,,,
669679610527948800,2015-11-26 00:50:35,@KevinWGrossman 👍 Glad to hear -- let us know if we can help with anything else.,0,0,en,KevinWGrossman,14738804,669669505128353792,,,,,
669655191805894661,2015-11-25 23:13:33,@xavizalote Let us know if there's anything else we can help with! 😃,0,0,en,xavizalote,10255432,669652426014785536,,,,,
669635261266006016,2015-11-25 21:54:22,@xavizalote That's because that event is exclusive to *Connect* webhooks -- it's not on the list when you create an *Account* webhook.,0,0,en,xavizalote,10255432,669627321557626880,,,,,
669622439995928578,2015-11-25 21:03:25,"@ellisthedev Looks all good from our end currently -- are you still having trouble? If you are, do you have an event ID?",0,0,en,ellisthedev,17199208,669613628773896192,,,,,
669589940448153604,2015-11-25 18:54:16,@KevinWGrossman We've just sent a reply to your email -- can you take a look and reply if you have any other questions?,0,0,en,KevinWGrossman,14738804,669580262909616128,,,,,
669587162443227136,2015-11-25 18:43:14,@AustinGray ♥️,1,0,und,AustinGray,19101759,669585669954605056,,,,,
669582275340840960,2015-11-25 18:23:49,@TValkenbur We're currently investigating this and will post updates at @stripestatus. Sorry for any trouble.,0,0,en,TValkenbur,3272250720,669581246377279488,,,,,
669582097003225089,2015-11-25 18:23:06,@iansltx Sorry about this -- we're looking into this now and will post updates.,0,0,en,iansltx,698483,669578531928584192,,,,,
669557973476352000,2015-11-25 16:47:15,@Marco_Poloo23 ♥️ Drop us a line if you ever have feedback or questions.,1,1,en,Marco_Poloo23,573136715,669554541755392000,,,,,
669557636052987904,2015-11-25 16:45:54,@ThinkYumMeals 😃Feel free to reach out if you have any questions or feedback!,1,0,en,ThinkYumMeals,3040563715,669536997627793408,,,,,
669557116164788224,2015-11-25 16:43:50,@KevinWGrossman Happy to help identify -- we process payments for online merchants. Can you send us charge details to support@stripe.com?,0,0,en,KevinWGrossman,14738804,669546352532168704,,,,,
669556391686897665,2015-11-25 16:40:58,"@AnglDavd No ETA yet, but you can sign up to get notified at https://t.co/d0SzpWkzX5! 🇪🇪",0,0,en,AnglDavd,109162055,669515762340642816,,,,,
669556017504649216,2015-11-25 16:39:28,"@NickKiran Sorry, iDEAL isn't supported currently -- but can you let us know you're interested by emailing us at support@stripe.com?",0,0,en,NickKiran,44352046,669500527194021888,,,,,
669555623688847360,2015-11-25 16:37:55,@BuyMyWardrobe Can you shoot us an email at support@stripe.com? Happy to get this sorted for you.,0,0,en,BuyMyWardrobe,113623636,669498057961115648,,,,,
669366030205104129,2015-11-25 04:04:32,@CustomTrackSwag Let us know if you have any questions or feedback! 🏎,1,0,en,CustomTrackSwag,4184333652,669365607008043012,,,,,
669359375853686784,2015-11-25 03:38:05,@kiddiecoupeTV Sorry for the delay here -- we've just sent you a DM.,0,0,en,kiddiecoupeTV,3325066884,669346334302797824,,,,,
669335703696900096,2015-11-25 02:04:02,"@jwilliams9720 Hm, looks like a phishing attempt. Could you hit ""report spam"" and forward it to us at support@stripe.com?",1,0,en,jwilliams9720,633796917,669334783458041857,,,,,
669317063224205313,2015-11-25 00:49:57,@jordanpuchinger So glad to hear -- feel free to reach out if you have any questions or feedback! 😀,1,0,en,jordanpuchinger,30756291,669316211314823168,,,,,
669297054770962432,2015-11-24 23:30:27,@100lbslater We've just sent you a DM -- sorry for the trouble.,0,0,en,100lbslater,3248410765,669295540740341761,,,,,
669277250462851072,2015-11-24 22:11:45,"@nickdawg Hm, sounds like a phishing attempt. Can you hit the ""report spam"" button and forward it to support@stripe.com?",0,0,en,nickdawg,19773492,669275661698277377,,,,,
669263404369096704,2015-11-24 21:16:44,@CitizenCliff Thanks for writing in -- we're looking into it now and will be sending you a reply shortly!,0,0,en,CitizenCliff,67322834,669258330620215299,,,,,
669262528170602497,2015-11-24 21:13:15,@CitizenCliff Anything we can help with? Happy to help if you get in touch with us at https://t.co/vcpmLAihJ4.,0,0,en,CitizenCliff,67322834,669258330620215299,,,,,
669237928246255617,2015-11-24 19:35:30,@itsmadreal Thanks for writing in -- we're taking a look and will send a reply to your email shortly.,1,0,en,itsmadreal,1315719486,669237102618533889,,,,,
669235775112916992,2015-11-24 19:26:57,@itsmadreal Can you write into us at https://t.co/vcpmLAihJ4 with the charge ID and some more details and we'll take a look?,0,0,en,itsmadreal,1315719486,669235609618292736,,,,,
669228807803568129,2015-11-24 18:59:16,@OpenLink 👍 Let us know if you have any other questions or feedback!,0,0,en,OpenLink,18686921,669227630391132160,,,,,
669221572163608576,2015-11-24 18:30:30,@roy Sorry for the trouble -- we're still looking into this bug. 🔎🐞 Would you mind sending us a DM with your email address?,0,0,en,roy,8837982,669156297875570689,,,,,
669216580518199296,2015-11-24 18:10:40,@CodingSamurai Can you DM us the email address you wrote in from and we'll take a look right away?,0,0,en,CodingSamurai,47731236,669215892782366720,,,,,
669214093652451328,2015-11-24 18:00:47,"@DavisonVideo Right below their ""Top questions..."" list, you can click ""Technical issues"" to fill out the form. (https://t.co/VtOee3cfk3)",0,0,en,DavisonVideo,73758245,669210308754436096,,,,,
669206321451900928,2015-11-24 17:29:54,@OpenLink Hope this helps -- let us know if you have any other questions!,0,0,en,OpenLink,18686921,669203125111246848,,,,,
669206261452394497,2015-11-24 17:29:40,@OpenLink Attributes can't be edited after creation -- I'd suggest creating a new product altogether if you made a mistake the first time.,0,0,en,OpenLink,18686921,669203125111246848,,,,,
669206225826013184,2015-11-24 17:29:32,"@OpenLink  Unfortunately, products can't be deleted at the moment -- but on that product's page, you can uncheck “Active.""",0,0,en,OpenLink,18686921,669203125111246848,,,,,
669203309513805824,2015-11-24 17:17:56,@wearecanteen 😀 So glad to hear -- let us know if you run into any other questions or have feedback!,0,0,en,wearecanteen,550040792,669203113140756480,,,,,
