id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670260303930740736,2015-11-27 15:18:03,Waiting in line right now? Remember to #ShareKindness.,1,0,en,,,,,,,,
670210205985185792,2015-11-27 11:58:59,@3Dmarius Merci !,0,0,fr,3Dmarius,1547674651,670198791505596416,,,,,
670210110870941696,2015-11-27 11:58:36,"RT @3Dmarius: @SurveyMonkey #UX pour faire des questionnaires rapidement en ligne, avec une bibliothèque de questions bien garni. https://t…",0,1,fr,,,,,,,,
670171542660243457,2015-11-27 09:25:21,RT @alexmujica_: @SurveyMonkey La mejor manera de organizar posadas navideñas entre amigos 🙌🏼🙌🏼🙌🏼,0,1,es,,,,,,,,
669586290644529158,2015-11-25 18:39:46,70% say 'no thanks' to #BlackFriday. How about you? #HappyThanksgiving https://t.co/OVEctE8iIM https://t.co/DW7MBNccTM,6,0,en,,,,,,,,
669546039783890945,2015-11-25 15:59:50,"RT @GoogleCapital: Take a look around @SurveyMonkey's new London HQ, as the firm focuses on expansion in the UK https://t.co/AFv1LrWLGV htt…",0,2,en,,,,,,,,
669464313900462081,2015-11-25 10:35:05,RT @Jobbio: ¿Lo entiendes?  @SurveyMonkey are hiring Customer Engagement Rep with Spanish &amp; English https://t.co/JfWZ8Z7wSM #jobfairy,0,1,en,,,,,,,,
669286403746983937,2015-11-24 22:48:08,"#ShareKindness: When asked abt kindness along gender lines, ppl think... @NBCNews https://t.co/TWCZZro18p https://t.co/hUWymNGetb",1,1,en,,,,,,,,
669235128175075330,2015-11-24 19:24:23,Here's what your part of America eats on #Thanksgiving. @FiveThirtyEight @WaltHickey https://t.co/FBBIjQewdf https://t.co/AJUKXfpaKZ,0,0,en,,,,,,,,
668907266280681472,2015-11-23 21:41:34,"It's okay to admit, people. You're not alone. #toilettips @mashable   https://t.co/Qix8xrHrHD https://t.co/Vmgr5PLN0l",0,1,en,,,,,,,,
668898211457822720,2015-11-23 21:05:35,Skip logic is a beautiful thing and here's why. #tips https://t.co/DcHK81PXZN https://t.co/HiFXvd1GoP,3,0,en,,,,,,,,
668882185148088320,2015-11-23 20:01:54,RT @Zachary_Cohen: .@chucktodd interview w/ @ThePollsters is a revealing look into his polling ideology &amp; @NBC's use of @SurveyMonkey. http…,0,1,en,,,,,,,,
668874132524810240,2015-11-23 19:29:54,RT @BW: Can Silicon Valley and services like @SurveyMonkey crack the code to calling elections? https://t.co/f1MD7KXuKW https://t.co/6JIpkH…,0,18,en,,,,,,,,
668805922022629384,2015-11-23 14:58:52,RT @JobbioJobsIRE: .@SurveyMonkey are looking for bilingual Customer Engagement Reps for their team https://t.co/grAwAITD9x #jobfairy https…,0,3,en,,,,,,,,
667793037117022208,2015-11-20 19:54:01,@Marelize_db Hi there! You can try: https://t.co/0eIVzuTJnG. Looks to be up and runnin'!,0,0,en,Marelize_db,48453466,667773268762472448,,,,,
667774917706956800,2015-11-20 18:42:01,Poll: Donald Trump retakes the lead  @NBCNews  https://t.co/lH2CPB5UdK https://t.co/Y3V1hOsZgp,0,0,en,,,,,,,,
667773448387756034,2015-11-20 18:36:11,.@mwbuckingham talks seismic shifts in emp engagement &amp; shares 4 trends mgrs can't ignore! https://t.co/sdqKcZ47KL https://t.co/Z8126AKdIK,0,0,en,,,,,,,,
667743221674549248,2015-11-20 16:36:04,"""SurveyMonkey Fills the Gap as Traditional Political Polls Flounder"" @timkhiggins, @business https://t.co/vm91fkFX26 https://t.co/ru3bzV1cBe",0,0,en,,,,,,,,
667627736308056064,2015-11-20 08:57:10,RT @bzikulea: .@SurveyMonkey is hiring a VP of North America #Sales. Come join the troop! https://t.co/ddToYxaomx https://t.co/u8VBE3wG2w,0,1,en,,,,,,,,
