id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669586877888921600,2015-11-25 18:42:06,"Thanks for having us, @GemmaPats &amp; @RANTEvents!  https://t.co/uzKiMWa0gq",1,0,en,,,,,,,,
669416414021857281,2015-11-25 07:24:44,"How do we move into Security 3.0: Defend, Detect, Respond? Join the Waitlist for tonight's #InfoSec event in London. https://t.co/zjpYNmYu7s",7,5,en,,,,,,,,
667795857287290880,2015-11-20 20:05:14,RT @CNET: Windows is 30 today! Here's how it took over the world https://t.co/dQIu5douKN https://t.co/CP0YzhT2Wl,0,120,en,,,,,,,,
666978204339609600,2015-11-18 13:56:10,"""We still have gaps in our security"" Join Trevor Kennedy in the Moore room #GECyber15 https://t.co/q1wTsuOD2f",3,3,en,,,,,,,,
666722004297490433,2015-11-17 20:58:07,Looking forward to joining our friends @PaloAltoNtwks &amp; @splunk for @GECyber pop by and ask about what we can do in 15 seconds #gecyber15,2,3,en,,,,,,,,
666316586630971392,2015-11-16 18:07:08,ICYMI: New capabilities added to the @Tanium #IncidentResponse module: https://t.co/s2t2rUUz59 #DFIR #cybersecurity,0,0,en,,,,,,,,
664153806427570176,2015-11-10 18:53:01,"#Cybersecurity is now a top priority in legal negotiations and contracts, much has changed since 5 years ago, says @VinBange #taniumtechbar",1,4,en,,,,,,,,
664152045499326464,2015-11-10 18:46:01,RT @tonylarks: @Tanium @VinBange with 24 hour disclosure how do companies manage to know what's happened before they disclose #taniumtechbar,0,1,en,,,,,,,,
664151938330730496,2015-11-10 18:45:36,"People need #technology to protect themselves from themselves as we can all be ""click happy"" @AndreOnCyber #taniumtechbar #cybersecurity",2,2,en,,,,,,,,
664150747261640704,2015-11-10 18:40:52,"Organisations must get to grips with digital security in #business especially with new #data protection laws, says @VinBange #taniumtechbar",1,1,en,,,,,,,,
664150305681092608,2015-11-10 18:39:06,How do we close the knowledge gap in #cybersecurity ? @shanerichmond and @VinBange ruminate . What do you think #taniumtechbar,1,0,en,,,,,,,,
664149360704385025,2015-11-10 18:35:21,"#Cybersecurity is an enabler for business, it has to be in place, as it's not if you get attacked it's when, says @PwC_UK at #taniumtechbar",0,1,en,,,,,,,,
664148930771476480,2015-11-10 18:33:39,How do you stop people breaking through a door you didn't know you had? Issues the board face : @VinBange and @shanerichmond #taniumtechbar,2,2,en,,,,,,,,
664147768806612992,2015-11-10 18:29:02,"Vulnerabilities exploited by easily available techniques, in porous cyber environment says @PwC_UK and @AndreOnCyber #taniumtechbar",2,2,en,,,,,,,,
664146133380423681,2015-11-10 18:22:32,Over to the panel for tonight's #taniumtechbar https://t.co/8EUFi3sk5u,1,1,en,,,,,,,,
664139169933991937,2015-11-10 17:54:51,Refreshing the team before #taniumtechbar kicks off in ten! #cybersecurity https://t.co/YP8YrECcCO,1,0,en,,,,,,,,
664128113849290752,2015-11-10 17:10:55,Gearing up for tonight's #taniumtechbar at hospital club London!,0,0,en,,,,,,,,
664111304131649536,2015-11-10 16:04:08,UK launch #taniumtechbar at @TheHospitalClub https://t.co/anOYR9qPOx,1,1,en,,,,,,,,
662796979190132738,2015-11-07 01:01:28,Find out what 6 questions every board must ask their #infosec leadership w/ Orion and @NASDAQ's Brad Peterson https://t.co/ZvXh39eoEN,2,2,en,,,,,,,,
662423131106095104,2015-11-06 00:15:56,The best cyber teams are developing the capability to respond to threats in-house v. bringing in an external partner https://t.co/ZvXh39eoEN,2,5,en,,,,,,,,
662071510689968128,2015-11-05 00:58:43,#CyberSecurity is like any other operational #risk. Boards should treat it that way and plan accordingly: https://t.co/b43dpnvdDw,2,3,en,,,,,,,,
662018737055203329,2015-11-04 21:29:01,.@ryankaz42 walks you through 3 exciting new @Tanium enhancements for #IncidentResponse: https://t.co/s2t2rUCXGz,2,0,en,,,,,,,,
661953334023032833,2015-11-04 17:09:07,We've added more capabilities to the @Tanium #IncidentResponse module. Check out use cases #OnTheBlog today: https://t.co/s2t2rUCXGz #DFIR,5,6,en,,,,,,,,
661930027416576000,2015-11-04 15:36:31,RT @stevesi: The key to corporate cyber safety: basic hygiene via @FortuneMagazine https://t.co/inskGgcHhr ft @Tanium,0,6,en,,,,,,,,
661595264092921856,2015-11-03 17:26:17,RT @FortuneMagazine: The Key to Corporate Cyber Safety: Basic Hygiene https://t.co/HrH3DCwoqR,0,17,en,,,,,,,,
661354879168806912,2015-11-03 01:31:05,"ICYMI: Orion on 3 things to help prevent a breach: Understand what you own, good hygiene &amp; user education. #FortuneGlobal",2,1,en,,,,,,,,
661340734159724544,2015-11-03 00:34:52,NOW: @Tanium's Orion Hindawi on-stage @ #FortuneGlobal Forum alongside @FireEye's Kevin Mandia. 4:40 PT Livestream: https://t.co/0eAqei8M94,0,0,en,,,,,,,,
661231802007363585,2015-11-02 17:22:01,Catch Tanium's Orion Hindawi @ 4:40 PT at #FortuneGlobal Forum via livestream: https://t.co/0eAqei8M94 https://t.co/x1ZhUl3gUq,1,2,en,,,,,,,,
660148899194146816,2015-10-30 17:38:57,"ICYMI: Watch CFO &amp; COO Eric Brown on @NASDAQ's panel ""#Cybersecurity: What Board Members Need to Know"" https://t.co/tMRzV1GBBg",2,1,en,,,,,,,,
659840431425851392,2015-10-29 21:13:12,"@WSTAorg Thanks for reaching out. Please follow, and we'll follow up with a DM. -KS",1,0,en,WSTAorg,563810550,659799390232576001,,,,,
659521078570520576,2015-10-29 00:04:13,1 in 5 board directors said they only discussed cybersecurity after an internal incident or one in the same industry https://t.co/yjm6tSqjpn,2,1,en,,,,,,,,
659505866165514241,2015-10-28 23:03:46,RT @NASDAQ: Want some insight before our webcast tomorrow? Read Tanium's: The Case for Board Cyber Risk Oversight https://t.co/UyXG0At8mf #…,0,8,en,,,,,,,,
659442870596726784,2015-10-28 18:53:26,"Register now for Thursday's panel ft. Tanium's Eric Brown, @Nasdaq &amp; others on how boards can determine #CyberRisk.  https://t.co/6dgl6Ot7bP",1,0,en,,,,,,,,
659424094010671104,2015-10-28 17:38:50,Tanium's CFO &amp; COO Eric Brown on the need for #cybersecurity risk oversight at the board level: https://t.co/2JdtOr2EGX,4,10,en,,,,,,,,
657674914384646144,2015-10-23 21:48:13,RT @DarkReading: ICYMI DR Radio: #Endpoint Security Transformed&gt; @KJHiggins w @McAfeeSECURE's Edward Metcalf &amp; @Tanium's @ryankaz42 https:/…,0,4,en,,,,,,,,
657617197725036550,2015-10-23 17:58:52,"RT @NASDAQ: Register Now! Cyber Security Live Webcast on 10/29 with @BoardResources, @Tanium, and @Nasdaq #NasdaqPOINT #CorpGov https://t.c…",0,7,en,,,,,,,,
656877105158995968,2015-10-21 16:58:00,RT @InformationWeek: TODAY 1pmET @DarkReading Radio: Endpoint Security Transformed w/@ryankaz42 @Tanium &amp; @Metcalf_Ed @intel @McAfee,0,2,en,,,,,,,,
