id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669918389960216576,2015-11-26 16:39:25,Thankful for a truly extraordinary team of Theranos technicians. https://t.co/J7YWex3E3n,9,0,en,,,,,,,,
669679878279577601,2015-11-26 00:51:39,"RT @auntritas: Busy getting all things ready for RED Brunch and #grateful to @Theranos our TITLE sponsor, for your support! https://t.co/EB…",0,1,en,,,,,,,,
669592045116223488,2015-11-25 19:02:38,Our mission is to make actionable health information accessible to everyone in the world. https://t.co/eoZkFyQHs6 https://t.co/S6EC3qnwBm,14,8,en,,,,,,,,
669278281598787584,2015-11-24 22:15:51,@Eviltwiin222 @eholmes2003 @LSEpublicevents Thanks for reaching out. Please email us at pr@theranos.com with more info and we’ll be in touch,1,1,en,Eviltwiin222,4135297523,668372808154656768,,,,,
669277639488606208,2015-11-24 22:13:18,@nmaggie92 @birdwife  Thank you for your support in our mission. You can send us your resume at careers@theranos.com,0,0,en,nmaggie92,635021681,668856758249521152,,,,,
669236794840363008,2015-11-24 19:31:00,@LeloBurti @eholmes2003 Hi Nana. Thanks for reaching out. Please email us at pr@theranos.com with more information and we’ll be in touch.,0,0,en,LeloBurti,402329901,669181142042583045,,,,,
669217750351396864,2015-11-24 18:15:19,"Our story as told by the Arizona community who experiences it, every day.
https://t.co/28IWeOxjp8",12,7,en,,,,,,,,
669216744204951552,2015-11-24 18:11:19,@Aliaalpal @eholmes2003  Hi Aamir. You can view our full Test Menu with pricing here: https://t.co/MDdushH4Dv,0,0,en,Aliaalpal,1949312257,669203286298402816,,,,,
668875334356328448,2015-11-23 19:34:41,"Convenient hours and locations make it easy to get the lab tests you need, when you need them. https://t.co/oNyr0B8oFf",21,3,en,,,,,,,,
668855479938904064,2015-11-23 18:15:47,@ckrajewski @eholmes2003 Hi Colleen. Thank you for your support in our mission. You can send us your resume at careers@theranos.com,1,0,en,ckrajewski,25206844,668469163963359232,,,,,
667873152064602112,2015-11-21 01:12:22,"@dallas75024 @eholmes2003 Thank you for your kind words and support, Brian.",3,1,en,dallas75024,983467615,667802731554299904,,,,,
667872389577838592,2015-11-21 01:09:20,@PureLoveNaomi @MayoClinic We're working as fast as we can to bring our Theranos Wellness Centers to more people.,1,0,en,PureLoveNaomi,1582408274,667346012130906112,,,,,
667872127895232512,2015-11-21 01:08:18,@Abdalah_Higazy  Hi Abdallah. You can view our full list of Theranos Wellness Center locations here: https://t.co/JPrE20Z18I,0,0,en,Abdalah_Higazy,251207876,667300784288088065,,,,,
