id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669955743114731520,2015-11-26 19:07:50,"Turkey trouble? Tweet @UberEATS with a pic of your #ThanksgivingFail in Chicago, San Francisco, or Seattle and we might be able to help.",25,21,en,,,,,,,,
669608865152004096,2015-11-25 20:09:28,Destination: home,152,83,en,,,,,,,,
669505733478785024,2015-11-25 13:19:40,@breewylde Happy to help. Send us a note on https://t.co/xPVoHfWAMx and we'll follow up shortly.,1,0,en,breewylde,137901871,641711827630600192,,,,,
669289094921494528,2015-11-24 22:58:49,Be the ultimate host this holiday season! Offer your guests a ride with #UberEVENTS. https://t.co/4veN7iQgiB,33,29,en,,,,,,,,
667871801305886720,2015-11-21 01:07:00,Sunset. #TakeMeThere https://t.co/WcV9cQiPOP,165,58,en,,,,,,,,
667757637266599938,2015-11-20 17:33:21,"Driving part time allows Jose to dive deeper into his passion—marine biology. 

Full story: https://t.co/Vd6XfVjwle
https://t.co/Wx8szrqNIJ",43,26,en,,,,,,,,
667477464956977152,2015-11-19 23:00:03,Thank you to all of the @passport_health nurses who helped people in over 35 cities drive toward a healthier future.,63,27,en,,,,,,,,
667368990096891904,2015-11-19 15:49:01,Flu season is right around the corner—beat the bug with #UberHEALTH. Request today: https://t.co/MXagfhvIF7 https://t.co/TpHXRzMFTy,53,38,en,,,,,,,,
667146018287427584,2015-11-19 01:03:00,Convenience is key when making the decision to get vaccinated. #UberHEALTH helps you stay well at the tap of an app. https://t.co/9eUhJ4YPL8,58,54,en,,,,,,,,
667120477865975808,2015-11-18 23:21:31,"From the daily grind to play time, Business Profiles make riding even easier. Learn more: https://t.co/Rq4g2WSeV1 https://t.co/pBHgmT21zv",42,22,en,,,,,,,,
667021821896753154,2015-11-18 16:49:29,#UberHEALTH is on call tomorrow to help you fight the flu and stay well this winter. https://t.co/MXagfhvIF7 https://t.co/b6j1UFhHgv,97,75,en,,,,,,,,
666781915345645568,2015-11-18 00:56:11,"Find out what motivates the employees who drive our company forward: https://t.co/iGTdsD8QDk
https://t.co/hdn89jImY7",50,31,en,,,,,,,,
666738583605260288,2015-11-17 22:04:00,Get the party started (and ended) with safe rides—#UberEVENTS to the rescue: https://t.co/4veN7iQgiB,40,30,en,,,,,,,,
666561876071813120,2015-11-17 10:21:50,RT @Uber_India: We’ve partnered with @Practo to take care of your commute when you're under the weather: https://t.co/zfZjl8LX0w https://t.…,0,71,en,,,,,,,,
666501774535168000,2015-11-17 06:23:00,Learn how other companies are using our API to put innovation in motion: https://t.co/dOjqnAPfZg https://t.co/0cJIL2OwO4,70,44,en,,,,,,,,
665650499270524928,2015-11-14 22:00:20,Our hearts go out to everyone in France after these horrific attacks.,242,71,en,,,,,,,,
665612469830725632,2015-11-14 19:29:13,RT @UberFR: Nous sommes de tout coeur avec les victimes et familles de victimes des horribles événements qui viennent d’endeuiller la Franc…,0,49,fr,,,,,,,,
665255322395795456,2015-11-13 19:50:03,Flexible earning opportunities are key in the #NextEconomy. https://t.co/zBLdlfCTl4 https://t.co/FNYawGRJgb,86,67,en,,,,,,,,
664940150519132160,2015-11-12 22:57:40,"#TBT to #UberKITTENS, which helped over 315 cat-didates find their furever homes. https://t.co/F7hZzxAUe5 https://t.co/hSqOUGHCjl",70,23,en,,,,,,,,
664565128931733504,2015-11-11 22:07:28,We're recognizing the service of our top UberMILITARY driver-partners by joining efforts with @SPG. Learn more: https://t.co/c9zMvQRAq4,43,15,en,,,,,,,,
664543245612023808,2015-11-11 20:40:31,"Show your thanks. 

Request. Ride. Give. https://t.co/c9zMvQRAq4 https://t.co/XIBvdBjMU2",43,37,en,,,,,,,,
664460904356933632,2015-11-11 15:13:19,Donate to veterans experiencing homelessness and give back to those who have given so much: https://t.co/c9zMvR9bhC https://t.co/YYYg3bxktG,86,63,en,,,,,,,,
664106545794314240,2015-11-10 15:45:13,RT @FLOTUS: Big news! This #VeteransDay @Uber and @Lyft are donating free rides for veterans. Learn more from @JoiningForces: https://t.co/…,0,962,en,,,,,,,,
664100562774974464,2015-11-10 15:21:27,Make a difference in a veteran's life tomorrow when you ride and donate. Learn more: https://t.co/c9zMvQRAq4 https://t.co/np6vEjcnpR,79,74,en,,,,,,,,
663388224643985408,2015-11-08 16:10:52,"Something’s sizzling in Chicago…
https://t.co/dwyCJPkZ8Q",117,58,en,,,,,,,,
662368154480304128,2015-11-05 20:37:28,@djsnake 🚙🎶,204,65,und,djsnake,22317367,662340348111360002,,,,,
661983112990093313,2015-11-04 19:07:27,Put the power of safe rides in your party guests’ hands with #UberEVENTS. https://t.co/drL6Ux2T9M https://t.co/M1MIiKfV6v,100,97,en,,,,,,,,
661731340358918144,2015-11-04 02:27:00,Our designers put themselves to a 100 day test and the results were incredible. https://t.co/mCsc8stZTv https://t.co/nbfO8ZWvfZ,61,33,en,,,,,,,,
