id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670258028461993984,2015-11-27 15:09:01,We're on the hunt for a talented Technical Writer to create &amp; update technical documentation. #GrowwithUptake: https://t.co/2rcGkZodLM,0,0,en,,,,,,,,
669655307413381120,2015-11-25 23:14:01,Thanks to @ValuesDriven for including Uptake's @jasonkolb in the Executives Roundtable last week. #teamUptake https://t.co/qVNrsDBvs9,0,1,en,,,,,,,,
669584267639320577,2015-11-25 18:31:44,RT @bradn: Big Yellow Goes Big Data #IoT #IIoT @CaterpillarInc @Uptake  https://t.co/ADmNsFnk6k,0,2,en,,,,,,,,
669578551092383744,2015-11-25 18:09:01,"Want to #growwithUptake? We're always looking for smart, curious and nimble doers to join our team. Apply now: https://t.co/zjUeOE3qBx",0,0,en,,,,,,,,
669293925136396288,2015-11-24 23:18:01,"Stream @adam_m_mcelhinn talk with @AllAnalytics. They discussed data science, analytics &amp; retaining tech talent. https://t.co/M6lIJDCwwv.",0,0,en,,,,,,,,
669233024370774016,2015-11-24 19:16:01,We're looking for a talented Technical Writer to create &amp; update technical documentation. Apply to #growwithUptake: https://t.co/2rcGkZodLM,0,0,en,,,,,,,,
669229100033118209,2015-11-24 19:00:25,RT @AllAnalytics: ICYMI SAS ALL ANALYTICS Radio Show&gt; Understand the Difference Between #DataScience &amp; #Analytics w @adam_m_mcelhinn https:…,0,1,en,,,,,,,,
669178766992666625,2015-11-24 15:40:25,RT @al0nd0n: '12 Steps to Better Analytics Teams' from @adam_m_mcelhinn: https://t.co/IMYtNkR9qw,0,1,en,,,,,,,,
669163315105411072,2015-11-24 14:39:01,We're looking for an organized Scrum Master to guide us on Scrum &amp; Agile practices. Apply to #growwithUptake: https://t.co/fmNswqRqFJ,0,0,en,,,,,,,,
668866378158313472,2015-11-23 18:59:06,"Don't miss @adam_m_mcelhinn talk data science, analytics &amp; more with @AllAnalytics. Starting in just a few minutes: https://t.co/J1VI0SmHFa",0,0,en,,,,,,,,
668861323980091392,2015-11-23 18:39:01,We're looking for an amazing DevOps Engineer to join our team &amp; maintain our monitoring systems: https://t.co/i9woC93HJk #GrowwithUptake,0,0,en,,,,,,,,
668830622903742465,2015-11-23 16:37:01,Today: Tune in to @AllAnalytics radio at 1 pm CST to hear @adam_m_mcelhinn discuss analytics vs data science: https://t.co/J1VI0SmHFa,2,2,en,,,,,,,,
668809774729854976,2015-11-23 15:14:10,RT @ValuesDriven: @JasonKolb shared incredible insights at the @ValuesDriven roundtable last Friday. Here's a pic! @Uptake https://t.co/KB3…,0,1,en,,,,,,,,
668808323316105216,2015-11-23 15:08:24,RT @JimCon: On @AllAnalytics today: Know the difference between #analytics and #datascience  https://t.co/dWHR2lVI0e @Uptake,0,1,en,,,,,,,,
668800171363274752,2015-11-23 14:36:01,"#Datafact of the week: in 1980, consumers spent less than 1% of their discretionary budget on tech; today it's about 3.5% [@Gartner_Inc].",1,1,en,,,,,,,,
668098800225939456,2015-11-21 16:09:01,Familiarity with stream processing technologies &amp; concurrency frameworks? #Growwithuptake as a Software Engineer: https://t.co/gTuT0B7Y2q,0,0,en,,,,,,,,
667856705074532352,2015-11-21 00:07:01,We're celebrating the end of another great week with #teamUptake. Thanks to the @KerrymanChicago for hosting us!,3,0,en,,,,,,,,
667840850341134336,2015-11-20 23:04:01,11/23: Tune in to @AllAnalytics radio to hear @adam_m_mcelhinn discuss differences between analytics &amp; data science: https://t.co/J1VI0SmHFa,0,1,en,,,,,,,,
