id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
668688970251915264,2015-11-23 07:14:08,NAB Labs hears from new Broadcast related startups at 1776’s Challenge @nablabs https://t.co/x0gUdxO1Hg @peggymiles,0,0,en,,,,,,,,
668302811441025024,2015-11-22 05:39:41,RT @Broadcast_Buzz: Thomas Silliman 1st recipient of Jules Cohen Award for Broadcast Engineering @IEEEBTSociety https://t.co/LP2t97rLzO htt…,0,2,en,,,,,,,,
662036541334777856,2015-11-04 22:39:46,NewsON App for Live Local TV News Goes Live | Broadcasting &amp; Cable: https://t.co/K1UqOFoTz4,0,0,en,,,,,,,,
661232846800084992,2015-11-02 17:26:10,BBG CEO Lansing says more emphasis on growing mobile dialogue a focus at @pdcouncil @bbgov  @peggymiles https://t.co/MWvnWD6klq,0,0,en,,,,,,,,
660819093465923585,2015-11-01 14:02:03,Rolling Stones on 50th Anniversary of Master FM on Empire State Building!! @empirestatebldg #AES  https://t.co/oCfolFK8ZH,0,0,en,,,,,,,,
654114790751604736,2015-10-14 02:01:33,I'm going to New York for #AESorg! http://t.co/XZ9IJqC6xC via @AESorg,1,0,en,,,,,,,,
648983583558778880,2015-09-29 22:11:58,This wearable wrist sensor translates sign language into English: http://t.co/qNTYT5EAsY by @mistercharlie via @FastCoExist,1,0,en,,,,,,,,
646882683209957376,2015-09-24 03:03:44,"How MIT Media Lab pictured the future of technology and marketing for ""Minority Report"" http://t.co/Te1nrtjcQv via @FastCoCreate",2,0,en,,,,,,,,
645054026992717825,2015-09-19 01:57:19,Makes you wonder who did and what show! ;-) https://t.co/i1dp2UZgFp,0,0,en,,,,,,,,
645052007288602629,2015-09-19 01:49:17,"deja vu 'tv guide' one location... google search/video, nope. not yet. https://t.co/V4clPjDo3x",0,0,en,,,,,,,,
645049646532947968,2015-09-19 01:39:54,"Really...speed dating for content (as in Television content pitch. gotta love it!

http://t.co/mhZINU48X1",0,0,en,,,,,,,,
644566959535857664,2015-09-17 17:41:53,Newseum to celebrate Freedom Week attend events Sept. 21-26  https://t.co/vGO0AaAEH8 via @sharethis @newseum @peggymiles,0,0,en,,,,,,,,
644564590316158976,2015-09-17 17:32:28,Newseum to celebrate Freedom Week Sept. 21-26 https://t.co/hPluCkjB4f via @sharethis,0,0,en,,,,,,,,
644342563974049792,2015-09-17 02:50:13,Wired Story How to Get Internet to the Next 4 Billion People http://t.co/cL838VPRp9 via @WIRED,0,0,en,,,,,,,,
644336010936061952,2015-09-17 02:24:10,We’re on the Brink of a Revolution in Crazy-Smart Digital Assistants http://t.co/It6LMJoGpp via @WIRED,1,0,en,,,,,,,,
644251969964535808,2015-09-16 20:50:13,"Likely slow down illegal content removal, increase legal fees, but worth consideration to preserve fair use. TBC https://t.co/79dNvrAyNI",0,0,en,,,,,,,,
644249516523196416,2015-09-16 20:40:28,This is getting interesting...@peggymiles https://t.co/K7X9lyonoZ,0,0,en,,,,,,,,
644248989336891392,2015-09-16 20:38:23,@peggymiles Radio Station to sell transmitter frequency for streamng http://t.co/BtuER4kKtP,0,0,en,vox,1351341,644248610511523840,,,,,
644248610511523840,2015-09-16 20:36:52,Radio Station to sell transmitter/frequency for streaming http://t.co/BtuER4kKtP,0,0,en,,,,,,,,
612337861409554432,2015-06-20 19:14:57,How will they verify content? YouTube Will Offer A Channel Of Breaking Eyewitness News Videos http://t.co/CzxwRJO61Z via @PopSci,0,0,en,,,,,,,,
612336909105414145,2015-06-20 19:11:10,YouTube Will Offer A Channel Of Breaking Eyewitness News Videos http://t.co/OOqgrxO7CF via @PopSci,0,0,en,,,,,,,,
612336056072077313,2015-06-20 19:07:47,These Are What the Google Artificial Intelligence’s Dreams Look Like http://t.co/G86QWImAW5 via @PopSci,0,0,en,,,,,,,,
611387111510413314,2015-06-18 04:17:01,Apple TV dominates the TV Everywhere market http://t.co/c1JIs8bX4y,0,1,en,,,,,,,,
609553826828394496,2015-06-13 02:52:11,LG Shows Off 'Wallpaper' TV No Thicker Than a Sticker http://t.co/Qa8yLfU0e4 via @nbcnews,0,0,en,,,,,,,,
606843483601694720,2015-06-05 15:22:15,"RT @NABCTO: Lifeline phones should be enhanced to ensure public safety, USC Annenberg urges FCC | USC News https://t.co/f9U8L3VfjA",0,1,en,,,,,,,,
606205678613495808,2015-06-03 21:07:51,"Personalized News Podcast Radio raises 3.6 million, what do you think? @peggymiles http://t.co/VlpVaX1YKK via @VentureBeat",0,0,en,,,,,,,,
600484007214751744,2015-05-19 02:11:58,CNN's user generated content site appears to have been used for other purposes...not good. http://t.co/l7aaRvCidK @peggymiles,1,0,en,,,,,,,,
599602033122013184,2015-05-16 15:47:19,Prime Members Can Stream Free Movies on JetBlue http://t.co/p3kaJkSEbj via @dealnews,1,2,en,,,,,,,,
597089306470195200,2015-05-09 17:22:38,"RT @Pontifex: Let us learn to live with kindness, to love everyone, even when they do not love us.",0,19582,en,,,,,,,,
590586776814759936,2015-04-21 18:43:54,RT @NAB_Labs: @skippizzi explains why #ATSC3 is worth moving forward w/at the ATSC 3.0 Tutorial Workshop in S219 #BEC http://t.co/3S9iIcN3Yh,0,4,en,,,,,,,,
590230153441239040,2015-04-20 19:06:49,RT @peggymiles: State of the Net wireless on cord cutting @KatyontheHill #sotnw  @vox @sotn Katy Bachman moderating http://t.co/7b4U3wJhcD,0,2,en,,,,,,,,
590217879833968640,2015-04-20 18:18:02,RT @KatyontheHill: Moffett now seems to be putting odds at 50% approval for #ComcastTWC - that's down from 70% and 60% a couple of weeks ag…,0,1,en,,,,,,,,
583369853932797952,2015-04-01 20:46:26,"Excellent Event in DC, High Level Speakers Apr 20 ""State of the Net Wireless"" http://t.co/y9K1YSHysF @tlordan @netcaucusac @vox @peggymiles",3,0,en,,,,,,,,
580456385961467905,2015-03-24 19:49:21,RT @BoulderPreston: Great new site for news and information on Telecom POLICY/LEGIS - http://t.co/tHewrVClbi,0,1,en,,,,,,,,
578675965414547456,2015-03-19 21:54:36,"RT @KatyontheHill: .@TomWheelerFCC: on FM chips in mobile phones: ""They are a great idea… but I think this is being resolved in the marketp…",0,3,en,,,,,,,,
570688596300189696,2015-02-25 20:55:38,Telegram 1939 World' Fair when TV demonstrated. I hope you smile as much as I did when you read it. Have a great day! http://t.co/VnlXT2JLy4,1,1,en,,,,,,,,
568174086561509376,2015-02-18 22:23:53,46% streaming users share passwords says Consumer Reports. Wonder what is the sharing for magazines/newspapers? http://t.co/ou3LjaI1Q0,1,1,en,,,,United States,US,"Alexandria, VA",city,
566611468104531968,2015-02-14 14:54:35,Target Ends streaming VOD Service. Who knew about this service? http://t.co/Vb5MT7XzBQ via @dealnews,0,0,en,,,,,,,,
564634933826965505,2015-02-09 04:00:33,FCC and Net neutrality: What you really need to know http://t.co/OhHh1IF4jR via @CNET @vox @peggymiles,1,0,en,,,,,,,,
563008126899986432,2015-02-04 16:16:12,RT @Newseum: Tonight: moms @DebraTice &amp; Diane Foley (@dmfaprn) talk #pressfreedom. Watch live: http://t.co/dgvUQmyKww #FreeAustinTice #Reme…,0,28,en,,,,,,,,
560946842469691395,2015-01-29 23:45:23,RT @JRosenworcel: Let's stop dreaming small &amp; instead dream big. Good that @FCC raising #broadband threshold to 25 Mbps--but we should aim …,0,39,en,,,,,,,,
560085513911427072,2015-01-27 14:42:47,Edith Ramirez Chair FTC w/ A. Bedoya of GW @SOTN #SOTN15 http://t.co/OzinjrI9fj @newseum Washington DC @peggymiles http://t.co/2fPvq2ByDL,0,0,en,,,,United States,US,"Washington, DC",city,
559819006866370561,2015-01-26 21:03:46,@alvarombedoya @peggymiles @vox tomorrow  #SOTN15 State of Net@Newseum DC Great speakers livestream http://t.co/OzinjrI9fj,0,0,en,alvarombedoya,2657787980,559793024105197568,,,,,
559817695873761280,2015-01-26 20:58:34,"RT @alvarombedoya: Students, media and government employees -- you can livestream the event free: http://t.co/mMvNGiSovG. #SOTN15",0,8,en,,,,,,,,
559817586918305792,2015-01-26 20:58:08,RT @SOTN: The first US #Bitcoin exchange launched today. Watch our #SOTN15 virtual currency panel &amp; @FEhrsam keynote tomorrow. http://t.co/…,0,2,en,,,,,,,,
542158666913169408,2014-12-09 03:27:53,YouTube shows video creators what copyright restrictions their audio will face http://t.co/GoEItEdrxz,2,1,en,,,,,,,,
537091675693125632,2014-11-25 03:53:28,SurfaceLink: Using Inertial and Acoustic Sensing to Enable Multi-Device ...: http://t.co/iOoURMzbTE via @YouTube,0,0,en,,,,,,,,
537059303929049089,2014-11-25 01:44:50,TVTechnology: Thousand TV Antennas Given Away in Washington D.C. http://t.co/xypRN6UIB4,0,0,en,,,,,,,,
536327800190300160,2014-11-23 01:18:06,How technology is changing the way we plan and experience events http://t.co/meAS3JMXM0 via @mashable,1,1,en,,,,,,,,
535976575117053952,2014-11-22 02:02:28,"RT @PatrickSeaman: CMA study finds streaming drives, not hurts, new music sales http://t.co/xiMqYgqUnP",0,1,en,,,,,,,,
535976167350996992,2014-11-22 02:00:50,ITU (Intl. Telecommunication Union) reports &gt; 60% world’s population still don’t have internet access. Worth Remembering @peggymiles,0,0,en,,,,,,,,
533038441014247424,2014-11-13 23:27:22,@vickykaseorg @Peggy Miles here - if you can record tonight's event on a smartphone or PC.  I have an idea sent email to Tony just now.,0,0,en,vickykaseorg,237453140,,,,,,
533021221425000448,2014-11-13 22:18:56,"Comcast w/ 1st voice-enabled TV interface - female voice to greet X1 visitors in weeks @comcast @peggymiles
http://t.co/NAd0H4S2PC",1,2,en,,,,,,,,
530043980546068480,2014-11-05 17:08:27,#pressfreedom21 reminder from Ray Suarez journalists still in jail. #Freeajstaff @peggymiles http://t.co/E7amuxus7S,0,0,en,,,,,,,,
527207237442228225,2014-10-28 21:16:15,Midterm Elections 2014: No TV Cable? Candidates Struggle To Court The Cord-Cutter Vote http://t.co/kYbVyu6Bdg,2,1,en,,,,,,,,
527102831484874752,2014-10-28 14:21:22,TVTechnology: EAS Community Buzzing Over False National Alert http://t.co/Ye5j92wTuN,0,0,en,,,,,,,,
526774404496519168,2014-10-27 16:36:19,The biggest Internet broadcast network? Facebook May Overtake YouTube Video Viewing - Forbes Article http://t.co/m5mfvWlWHd,3,4,en,,,,,,,,
524699190064975872,2014-10-21 23:10:10,RT @Nielsen: Adobe and Nielsen To Create Industry’s First Comprehensive Measurement Platform for Digital Content. http://t.co/G2XWkixpZH,0,42,en,,,,,,,,
523915975347806208,2014-10-19 19:17:57,Meet RIMP (Robot In My Pocket)—A Wearable Robot Controlled By Google Glass http://t.co/KH6ElWmX5R #wnt2014 via @gomodev,1,0,en,,,,,,,,
522813050957479936,2014-10-16 18:15:19,"Delayed Notice for me on Fyusion startup for anyone to make use 3-D photos, but think about what it could do http://t.co/OIhpSIxyzO via @WSJ",0,0,en,,,,,,,,
521697107418554368,2014-10-13 16:20:57,RT @AjitPaiFCC: .@UCBerkeley researchers develop tech that changes images pixel by pixel to adjust for viewer’s specific impairment. http:/…,0,7,en,,,,,,,,
521696350912532480,2014-10-13 16:17:57,UC Berkeley researchers develop technology to correct screens for visual impairments | The Daily Californian http://t.co/gURE0DeQ7Q,0,0,en,,,,,,,,
