id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
670277748137439232,2015-11-27 16:27:22,Tomorrow is #SmallBizSat &amp; Zenefits believes #smallbiz growth = great. #LetsGrowSmallBiz https://t.co/22xbOcbKdY https://t.co/XKyGRTorcR,0,0,en,,,,,,,,
670047481678315521,2015-11-27 01:12:23,"What does culture look like? @SteveBoese suggests that ""culture is a mirror:"" https://t.co/ON4w9D07uy #HRevolution https://t.co/xc40SLgZAp",3,0,en,,,,,,,,
669987325884035073,2015-11-26 21:13:20,When does your growing company need to think about HR? Find out: https://t.co/67GARvMNRi https://t.co/7EIUfgqYbo,1,0,en,,,,,,,,
669931390041886720,2015-11-26 17:31:04,Have a healthy &amp; happy Thanksgiving! We are so grateful for our Zenefamily :) https://t.co/8ED6NvKKxZ,6,1,en,,,,,,,,
669886111913668608,2015-11-26 14:31:09,"RT @marketo: .@Zenefits VP of Marketing, Matt Epstein, on Unicorns, Skynet, and fueling high growth through data and marketing. https://t.c…",0,1,en,,,,,,,,
669688873228697600,2015-11-26 01:27:24,AMAs (ask me anythings) aid transparency. Get more tips to aid engagement: https://t.co/8LSaBVMyJb #LetsGrowSmallBiz https://t.co/CyJZQttVJ1,1,1,en,,,,,,,,
669643566554087424,2015-11-25 22:27:22,"RT @betsymrogers: Check out what over 10,000 small businesses are loving about @Zenefits !!
https://t.co/uqWicDTiyn",0,1,en,,,,,,,,
669642723553513472,2015-11-25 22:24:01,"@twentee7 Hi Will, glad we were able to connect!",1,0,en,twentee7,26192349,669634309825929216,,,,,
669640795587153920,2015-11-25 22:16:21,"Learn how @LuxeValet built simple, scaleable onboarding w/ Zenefits: https://t.co/yZtTinZ57b #LetsGrowSmallBiz https://t.co/bXaneLcAHV",5,0,en,,,,,,,,
669610405086408704,2015-11-25 20:15:35,Be confident your team knows what sets you apart: https://t.co/8LSaBVMyJb #LetsGrowSmallBiz #SmallBizSat https://t.co/wu2oK6quhW,1,0,en,,,,,,,,
669592999584657408,2015-11-25 19:06:26,Using social media to recruit? @UndercoverRec has tips for attracting talent online: https://t.co/Q5fHvPNFOz https://t.co/YnkGKdDWMR,0,1,en,,,,,,,,
669567451491753984,2015-11-25 17:24:55,"@twentee7 Hi Will, we've just left you a VM. We're happy to work with you and clear this up!",0,0,en,twentee7,26192349,669553671257120768,,,,,
669547692138192896,2015-11-25 16:06:24,"Build a dynamic tech stack by leveraging resources like @Lever, @AnyPerk &amp; @Breezy_HR: https://t.co/uQ4YZappkc https://t.co/pl7rTOF2jM",10,7,en,,,,,,,,
669514979393978368,2015-11-25 13:56:24,Interested in an HR career? Good choice: https://t.co/8LSaBVMyJb #LetsGrowSmallBiz #SmallBizSat https://t.co/CxXDBL9UEC,1,1,en,,,,,,,,
669360959991885825,2015-11-25 03:44:23,Ten creative ideas for your office Thanksgiving celebration: https://t.co/GygQMuL9uD #HappyThanksgiving #Teamsgiving https://t.co/V2vbAQ0fvc,1,2,en,,,,,,,,
669341319894925313,2015-11-25 02:26:21,RT @KGoetterman: Love my @Zenefits team! #SquadGoals #TreeLighting #AMRocks https://t.co/sUoumyYI7x,0,1,en,,,,,,,,
669330847204405248,2015-11-25 01:44:44,Sales Ops is celebrating Thanksgiving a few days early with a team potluck! #ZeneLife #HappyThanksgiving @quinlyn56 https://t.co/VlaBs89FSq,8,3,en,,,,,,,,
669317904077189120,2015-11-25 00:53:18,"The gratitude is mutual! RT @Accountfully Thankful for @zenefits who simplify payroll, benefits and more https://t.co/0G6pDKIxCF",0,0,en,Accountfully,2401404937,669281018482982912,,,,,
669297308844978176,2015-11-24 23:31:28,@SocialTalent your tweet is music to our ears! Psyched you're as excited about Payroll as we are :),0,0,en,SocialTalent,145184910,669183773154521089,,,,,
669297207946801153,2015-11-24 23:31:03,RT @SocialTalent Shout it from the rooftops my HR friends! @Zenefits has just launched an automated payroll product! https://t.co/Mp7OLtPQNP,1,0,en,SocialTalent,145184910,669183773154521089,,,,,
669289216166137856,2015-11-24 22:59:18,"@Accountfully we're thankful to be included in this entrepreneurial toolbox. Great stuff, team! #LetsGrowSmallBiz",0,0,en,Accountfully,2401404937,669281018482982912,,,,,
