id,created_at,text,favorites,retweets,lang,in_reply_to_user,in_reply_to_user_id,in_reply_to_status_id,country,country_code,place_name,place_type,coordinates
669911984817774592,2015-11-26 16:13:58,Here's to a happy &amp; healthy (but also sweet potato and turkey filled) #Thanksgiving holiday https://t.co/kkc0l3MP5J,3,0,en,,,,,,,,
669563805429575680,2015-11-25 17:10:25,Read @drneustatter's take on rethinking end-of-life care: https://t.co/slov1Me0VV,0,0,en,,,,,,,,
669203954539094016,2015-11-24 17:20:30,"@benstern0 So sorry to hear you're having issues, Ben. We'd love to help. If you DM us your email/phone, we'll reach out asap",0,0,en,benstern0,399133898,669189610287812614,,,,,
669203156052656128,2015-11-24 17:17:20,Surprise! Cider donuts &amp; apple cider @ the office. A sweet treat before we head off for #Thanksgiving #lifeatzocdoc https://t.co/WWh0Z93Lt1,1,1,en,,,,,,,,
669143790125514752,2015-11-24 13:21:26,"@djbressler So sorry to hear of the troubles, David. If you'd be willing to connect, DM us ur email/phone. We'll reach out to sort this asap",0,0,en,djbressler,10252232,668989192500879361,,,,,
668943915941298177,2015-11-24 00:07:12,"@heyksquared You're making us blush, Katrina. Thanks for that awesome shout out. We'll make sure to pass along the &lt;3 to Aaron too!",0,0,en,heyksquared,280249741,668931006674653184,,,,,
668904534262063105,2015-11-23 21:30:43,"@egouldc Bummed to hear your experience wasn't a great one, Edward. DM us your email/phone? We'd like the chance to learn more about this",0,0,en,egouldc,3930140783,668899244946956288,,,,,
668808442971340800,2015-11-23 15:08:53,@KennisLora Great news. Welcome!,0,0,en,KennisLora,77830956,668534321792290816,,,,,
668806314664058880,2015-11-23 15:00:25,"@Ashalieshawn We're pumped to have you as a fan. Thx for the shout out, Ashalie.",1,1,en,Ashalieshawn,851690041,668419406805000192,,,,,
668804025794564096,2015-11-23 14:51:20,@iloveadam2003 Welcome!,0,0,en,iloveadam2003,2976616222,668231645074489344,,,,,
668803637460795393,2015-11-23 14:49:47,"@abby_b_fit Abby, welcome to the crew!",0,0,en,abby_b_fit,74865483,668041211735855105,,,,,
668803533035216898,2015-11-23 14:49:22,@MonahanNYC Welcome James!,0,0,en,MonahanNYC,1317153385,667907222417051648,,,,,
668803444904484865,2015-11-23 14:49:01,"@Katyylady We're so happy to hear it, Katelyn. Thanks for being such a great partner to ZocDoc.",1,0,en,Katyylady,1059096452,667813664280317952,,,,,
668802375218552833,2015-11-23 14:44:46,"@seasidecreature @VeroAEscobar Thx for recommending us, Liz. Here to help eliminate that hold for you, Veronica!",1,0,en,seasidecreature,14817477,668101808544481280,,,,,
668802032631980032,2015-11-23 14:43:24,@classycurlista Welcome! We're excited to have you.,0,0,en,classycurlista,3226937392,668179938986561536,,,,,
668801890197614592,2015-11-23 14:42:51,@DariaPizzuto So sorry to hear your experience wasn't a great one. DM us your email/phone? We'll reach out to learn more + help w/ur account,0,0,en,DariaPizzuto,2690856072,668441584124297217,,,,,
